baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
nothing -> free,nothing,free,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.013040114929826494,0.010019523335911898,0.2316384180790948
nothing -> free+education,nothing,free+education,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.013040114929826494,0.0005893837256418788,0.9548022598870054
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.013040114929826494,0.0003315283456735568,0.9745762711864405
free -> free+education,free,free+education,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.010019523335911898,0.0005893837256418788,0.9411764705882351
free -> free+education+hours,free,free+education+hours,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.010019523335911898,0.0003315283456735568,0.9669117647058822
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.4,0.25,rare-first,0.26748889330946224,0.0005893837256418788,0.0003315283456735568,0.4375
nothing -> free,nothing,free,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.03278446973882932,0.022138726194422968,0.3247191011235948
nothing -> free+education,nothing,free+education,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.03278446973882932,0.003941503665230051,0.8797752808988761
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.03278446973882932,0.0004788742770840265,0.9853932584269662
free -> free+education,free,free+education,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.022138726194422968,0.003941503665230051,0.8219633943427619
free -> free+education+hours,free,free+education+hours,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.022138726194422968,0.0004788742770840265,0.9783693843594009
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.4,0.5,rare-first,0.5232080100789073,0.003941503665230051,0.0004788742770840265,0.8785046728971958
nothing -> free,nothing,free,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.03278446973882932,0.03171621173610344,0.03258426966292072
nothing -> free+education,nothing,free+education,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.03278446973882932,0.009761667955943562,0.702247191011236
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.03278446973882932,0.004936088702250707,0.849438202247191
free -> free+education,free,free+education,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.03171621173610344,0.009761667955943562,0.6922183507549363
free -> free+education+hours,free,free+education+hours,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.03171621173610344,0.004936088702250707,0.8443670150987225
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.4,0.75,rare-first,0.8137059876666004,0.009761667955943562,0.004936088702250707,0.49433962264150944
nothing -> free,nothing,free,net_benefit,0.4,1.0,full,1.0,0.03278446973882932,0.03783106788963791,-0.15393258426966372
nothing -> free+education,nothing,free+education,net_benefit,0.4,1.0,full,1.0,0.03278446973882932,0.012487567687037238,0.6191011235955055
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.4,1.0,full,1.0,0.03278446973882932,0.007883007330460087,0.7595505617977527
free -> free+education,free,free+education,net_benefit,0.4,1.0,full,1.0,0.03783106788963791,0.012487567687037238,0.669912366114898
free -> free+education+hours,free,free+education+hours,net_benefit,0.4,1.0,full,1.0,0.03783106788963791,0.007883007330460087,0.7916260954235639
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.4,1.0,full,1.0,0.012487567687037238,0.007883007330460087,0.3687315634218288
nothing -> free,nothing,free,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.0,0.01648600046213042,
nothing -> free+education,nothing,free+education,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.0,0.00022101889711570455,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.0,-0.0007032419453681521,
free -> free+education,free,free+education,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.01648600046213042,0.00022101889711570455,0.9865935405240707
free -> free+education+hours,free,free+education+hours,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.01648600046213042,-0.0007032419453681521,1.042656916514321
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.45,0.25,rare-first,0.26748889330946224,0.00022101889711570455,-0.0007032419453681521,4.181818181818187
nothing -> free,nothing,free,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.008911080079164949,0.034217743798912986,-2.8399098083427288
