log,target,metric,draw,axis,S,S_total
BPIC13_closed,handover,ap,79,quality_level,0.02204959569578089,0.5109986551469448
BPIC13_closed,handover,ap,79,rung,0.18424275447235877,0.6000280922867762
BPIC13_closed,handover,auc,0,learner,0.09779683639838642,0.36145352842312994
BPIC13_closed,handover,auc,0,split,0.1164455827655429,0.5973387455369239
BPIC13_closed,handover,auc,0,quality_level,0.060129814017428444,0.14553154062255316
BPIC13_closed,handover,auc,0,rung,0.18834028558228408,0.5982515647745738
BPIC13_closed,handover,auc,1,learner,0.0004230326318096693,0.5533584809482199
BPIC13_closed,handover,auc,1,split,0.3436431283201886,0.946367262684546
BPIC13_closed,handover,auc,1,quality_level,2.220573903056559e-05,0.19465930551453917
BPIC13_closed,handover,auc,1,rung,0.001974945697996026,0.2354257933512005
BPIC13_closed,handover,auc,2,learner,0.12592577761221288,0.3550968137246717
BPIC13_closed,handover,auc,2,split,0.24424937807160532,0.7362001961698318
BPIC13_closed,handover,auc,2,quality_level,0.0002542994843139038,0.30761288332322384
BPIC13_closed,handover,auc,2,rung,0.09390666319299613,0.37372975644872686
BPIC13_closed,handover,auc,3,learner,0.059926069502066484,0.5709908382347691
BPIC13_closed,handover,auc,3,split,0.18069521378923953,0.7954019063469343
BPIC13_closed,handover,auc,3,quality_level,0.003919149310416837,0.05745326631925875
BPIC13_closed,handover,auc,3,rung,0.07364700717226424,0.48237428672042876
BPIC13_closed,handover,auc,4,learner,0.00023701345783709742,0.4223430494680204
BPIC13_closed,handover,auc,4,split,0.3873947510795178,0.48981006815516726
BPIC13_closed,handover,auc,4,quality_level,0.011817746705376359,0.07177631368033167
BPIC13_closed,handover,auc,4,rung,0.08566039027119264,0.564732172351423
BPIC13_closed,handover,auc,5,learner,0.07369288671491382,0.5167415941994099
BPIC13_closed,handover,auc,5,split,0.0020318393431672517,0.7341262521376647
BPIC13_closed,handover,auc,5,quality_level,0.029346383941087805,0.6313030116203912
BPIC13_closed,handover,auc,5,rung,0.047309533036019764,0.354194948843831
BPIC13_closed,handover,auc,6,learner,0.023914619490652364,0.3233668712172519
BPIC13_closed,handover,auc,6,split,0.2571798991830142,0.5924883053796448
BPIC13_closed,handover,auc,6,quality_level,0.0031527183597497032,0.11054699060776248
BPIC13_closed,handover,auc,6,rung,0.14536019772767841,0.6817069852778517
BPIC13_closed,handover,auc,7,learner,0.0181297383169969,0.40583719931822204
BPIC13_closed,handover,auc,7,split,0.05899833175961613,0.3542459125791089
BPIC13_closed,handover,auc,7,quality_level,0.00232282597868984,0.24407980985059002
BPIC13_closed,handover,auc,7,rung,0.354187686430708,0.7481587733770301
BPIC13_closed,handover,auc,8,learner,0.21908219711607674,0.5557175242589802
BPIC13_closed,handover,auc,8,split,0.10826647767287254,0.3722521214304486
BPIC13_closed,handover,auc,8,quality_level,0.08573760139230525,0.42102968245562195
BPIC13_closed,handover,auc,8,rung,0.020363682479872122,0.3948222758754582
BPIC13_closed,handover,auc,9,learner,0.054181522538013255,0.39272553388302056
BPIC13_closed,handover,auc,9,split,0.3212790877917275,0.5345824280466865
BPIC13_closed,handover,auc,9,quality_level,0.14266917410135105,0.34929366994501443
BPIC13_closed,handover,auc,9,rung,0.025350541421693504,0.3390681863969252
BPIC13_closed,handover,auc,10,learner,0.11439101167531993,0.5275969778031252
BPIC13_closed,handover,auc,10,split,0.05604960401712979,0.531596392069043
