rho,n,rep,R_hat,V_lo,V_hi,R_true
0.2,60000,25,0.14343382500903168,0.1955547451486943,0.1675055800533507,0.15585542439685396
0.2,60000,26,0.14561285582778016,0.19451823936596346,0.1661938830212938,0.15585542439685396
0.2,60000,27,0.16935040656562605,0.19879407110667324,0.16512821434192215,0.15585542439685396
0.2,60000,28,0.14394772160064473,0.19978457391125526,0.17102603968577446,0.15585542439685396
0.2,60000,29,0.14484027092299245,0.20555423128453887,0.1757817007359188,0.15585542439685396
0.2,60000,30,0.14545209273247883,0.19646963092304004,0.16789271194690614,0.15585542439685396
0.2,60000,31,0.14633346193330976,0.19616594634191786,0.16746030430028114,0.15585542439685396
0.2,60000,32,0.1593275252769072,0.195505707234656,0.16435626672344672,0.15585542439685396
0.2,60000,33,0.14517553818994955,0.19761717599733108,0.16892799611634057,0.15585542439685396
0.2,60000,34,0.14867924613308292,0.19778035747269795,0.16837452302372558,0.15585542439685396
0.2,60000,35,0.15982386142909988,0.19721823573291375,0.165698055753845,0.15585542439685396
0.2,60000,36,0.1564815910507713,0.19462505748915715,0.164169818834906,0.15585542439685396
0.2,60000,37,0.14267331676460293,0.20253489088775367,0.1736385662442409,0.15585542439685396
0.2,60000,38,0.15730922529039515,0.19944238281733528,0.16806825608626985,0.15585542439685396
0.2,60000,39,0.15126718743049683,0.1990586992397786,0.1689476496722041,0.15585542439685396
0.4,5000,0,0.3125402343247077,0.17965858623242048,0.12350804959289408,0.3078239074071256
0.4,5000,1,0.2860020903706624,0.17605034098747696,0.12569957545459065,0.3078239074071256
0.4,5000,2,0.2422423592151538,0.16751909510894725,0.12693887429616812,0.3078239074071256
0.4,5000,3,0.26949159771389686,0.16680302502116529,0.12185101130470033,0.3078239074071256
0.4,5000,4,0.2742351397160179,0.1350271427451929,0.09799795538901024,0.3078239074071256
0.4,5000,5,0.31533920986967867,0.14713563890311177,0.10073800278773415,0.3078239074071256
0.4,5000,6,0.28337355452370716,0.1698126457871083,0.1216922327473402,0.3078239074071256
0.4,5000,7,0.2826360814037454,0.16878611996811477,0.12108107242498434,0.3078239074071256
0.4,5000,8,0.29111778355443774,0.1720040036694379,0.12193057935870177,0.3078239074071256
0.4,5000,9,0.28777438521208065,0.17235591966774755,0.12275630084769873,0.3078239074071256
0.4,20000,0,0.3430942029211026,0.1606899952390668,0.1055581894051234,0.3078239074071256
0.4,20000,1,0.30017147442432424,0.16076300211945038,0.1125065347403742,0.3078239074071256
0.4,20000,2,0.33903272762167447,0.16094844164015998,0.10638165246443865,0.3078239074071256
0.4,20000,3,0.30346307037500064,0.16263731721593544,0.11328289757603471,0.3078239074071256
0.4,20000,4,0.30872745191891526,0.15728201049311596,0.10872473616089218,0.3078239074071256
0.4,20000,5,0.28108863320224964,0.16315977587797792,0.11729741748285172,0.3078239074071256
0.4,20000,6,0.28166913250040804,0.17002005912162166,0.1221306565611664,0.3078239074071256
0.4,20000,7,0.2876174021307485,0.16150709720930723,0.11505484548428802,0.3078239074071256
