log,target,metric,measure,component,order,share,scale
BPIC13_incidents,handover,logloss_skill,equal-level,quality_level+rung,2,0.013922031685457399,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+split+quality_level,3,0.029128721918248664,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+split+rung,3,0.01787588893232346,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+quality_level+rung,3,0.007389585454168291,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,split+quality_level+rung,3,0.04118043212345405,raw-within-metric
BPIC13_incidents,handover,logloss_skill,equal-level,learner+split+quality_level+rung,4,0.043218332342309686,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner,1,0.054171491828792454,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,split,1,0.2477305821895587,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,quality_level,1,0.018721468721037353,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,rung,1,0.0036505025878542452,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+split,2,0.24272632743721834,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+quality_level,2,0.011104083159092245,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+rung,2,0.006125467260611339,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,split+quality_level,2,0.07296305321385076,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,split+rung,2,0.020338487048157685,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,quality_level+rung,2,0.021520663145638948,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+split+quality_level,3,0.07043117320740268,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+split+rung,3,0.015509603513927422,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+quality_level+rung,3,0.01891451416197354,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,split+quality_level+rung,3,0.0970742873059227,raw-within-metric
BPIC13_incidents,handover,nagelkerke,equal-level,learner+split+quality_level+rung,4,0.09901829521896154,raw-within-metric
BPIC14,duration,ap,equal-level,learner,1,0.09220259011939198,raw-within-metric
BPIC14,duration,ap,equal-level,split,1,0.020763227536742347,raw-within-metric
BPIC14,duration,ap,equal-level,quality_level,1,0.15914483868440252,raw-within-metric
BPIC14,duration,ap,equal-level,rung,1,0.5426261441160654,raw-within-metric
BPIC14,duration,ap,equal-level,learner+split,2,0.013545658095181093,raw-within-metric
BPIC14,duration,ap,equal-level,learner+quality_level,2,0.013595289356692462,raw-within-metric
BPIC14,duration,ap,equal-level,learner+rung,2,0.06800955254478645,raw-within-metric
BPIC14,duration,ap,equal-level,split+quality_level,2,0.01051898549366804,raw-within-metric
BPIC14,duration,ap,equal-level,split+rung,2,0.007925573819038889,raw-within-metric
BPIC14,duration,ap,equal-level,quality_level+rung,2,0.04526552248306166,raw-within-metric
BPIC14,duration,ap,equal-level,learner+split+quality_level,3,0.010411256883038452,raw-within-metric
BPIC14,duration,ap,equal-level,learner+split+rung,3,0.0029915491563714714,raw-within-metric
BPIC14,duration,ap,equal-level,learner+quality_level+rung,3,0.008988010741936128,raw-within-metric
BPIC14,duration,ap,equal-level,split+quality_level+rung,3,0.0022948361935826835,raw-within-metric
BPIC14,duration,ap,equal-level,learner+split+quality_level+rung,4,0.0017169647760404288,raw-within-metric
BPIC14,duration,auc,equal-level,learner,1,0.011229670118745804,raw-within-metric
BPIC14,duration,auc,equal-level,split,1,0.012672802272849724,raw-within-metric
BPIC14,duration,auc,equal-level,quality_level,1,0.17483041099847418,raw-within-metric
BPIC14,duration,auc,equal-level,rung,1,0.601948735110313,raw-within-metric
BPIC14,duration,auc,equal-level,learner+split,2,0.0070333535520313295,raw-within-metric
BPIC14,duration,auc,equal-level,learner+quality_level,2,0.05578116647222308,raw-within-metric
BPIC14,duration,auc,equal-level,learner+rung,2,0.05684468824422252,raw-within-metric
BPIC14,duration,auc,equal-level,split+quality_level,2,0.008931862588746007,raw-within-metric
