macro,generator,line
misreportAucMpidPct,round26_numbers.py,170
misreportAucResolvedMpidPct,round26_numbers.py,172
misreportAucResolvedPct,round26_numbers.py,171
misreportConcentratedPct,round20_numbers.py,408
misreportEqualPct,round20_numbers.py,406
misreportFullyRestrictedPct,round26_numbers.py,185
misreportItsmPct,round21_numbers.py,712
misreportLatitudePct,round21_numbers.py,731
misreportMagnitudeItsmPct,round21_numbers.py,768
misreportMagnitudePct,round21_numbers.py,697
misreportMaxPct,round21_numbers.py,723
misreportMeasureSpreadPct,round20_numbers.py,409
misreportMedianPct,round21_numbers.py,722
misreportMinPct,round21_numbers.py,724
misreportPooledItsmPct,round21_numbers.py,764
misreportPooledOtherPct,round21_numbers.py,766
misreportPooledResolvedLatitudePct,round21_numbers.py,675
misreportPooledResolvedNominalPct,round21_numbers.py,667
misreportPooledResolvedPct,round21_numbers.py,665
misreportReferencePct,round20_numbers.py,407
misreportResolvedInstrumentMaxPct,round26_numbers.py,205
misreportResolvedInstrumentMinPct,round26_numbers.py,203
modalLeadingAxis,round20_numbers.py,298
modalLeadingSharePct,round20_numbers.py,300
mpidAuc,round26_numbers.py,149
nAgreeDisagree,make_numbers.py,648
nAgreeQuantities,make_numbers.py,647
nAllRulesTieDesk,round21_numbers.py,835
nAnovaComponents,round20_numbers.py,256
nArticleTables,round27_numbers.py,692
nAuditApplicable,make_numbers.py,621
nAuditEffective,make_numbers.py,590
nAuditEligible,make_numbers.py,589
nAuditFrame,make_numbers.py,572
nAuditFullText,make_numbers.py,580
nAuditNoFullText,make_numbers.py,581
nAuditOutSampled,make_numbers.py,586
nAuditRequired,make_numbers.py,622
nAuditSampled,make_numbers.py,573
nAuditScreenedIn,make_numbers.py,584
nAuditScreenedOut,make_numbers.py,585
nAuditStrata,make_numbers.py,577
nAuditTarget,make_numbers.py,578
nAxes,make_numbers.py,249
nAxesLeading,round20_numbers.py,296
nBadMajorityAuc,round20_numbers.py,340
nBadOneNumberAuc,round20_numbers.py,339
nBadUniformAuc,round20_numbers.py,341
nBandCovWholeCells,round27_numbers.py,317
nBandCoverageCells,round21_numbers.py,1427
nBandCoverageCellsAll,round21_numbers.py,1431
nBandCoverageFamilies,round21_numbers.py,1434
nBandCoverageReps,round21_numbers.py,1426
nBandResolvedRaw,make_numbers.py,541
nBandResolvedRecentred,make_numbers.py,542
nBeneficialLostToEmp,round27_numbers.py,764
nBeneficialLostToWidening,round27_numbers.py,728
nBeneficialPointwise,round20_numbers.py,461
nBeneficialSimultaneous,round20_numbers.py,460
nBeneficialSimultaneousAllCells,round27_numbers.py,724
nBeneficialSimultaneousEmp,round27_numbers.py,754
nBeneficialSimultaneousEmpAll,round27_numbers.py,762
nBeneficialSimultaneousEmpHi,round27_numbers.py,760
nBeneficialSimultaneousLowEnd,round27_numbers.py,357
nBeneficialSimultaneousWidened,round27_numbers.py,722
nBootEighty,round21_numbers.py,1481
nBootFourHundred,round21_numbers.py,1481
nBootOneFifty,round21_numbers.py,1481
nBootOneThousand,round21_numbers.py,1481
nBootThirtyThree,round21_numbers.py,1481
nBpicFifteenTwoRows,round26_numbers.py,295
nCaseQualityPoints,round21_numbers.py,1082
nCaseSweepLevels,round21_numbers.py,1083
nCaseTest,make_numbers.py,291
nCaseTrain,make_numbers.py,290
nCellsAboveMpid,round26_numbers.py,162
nCellsAuc,round26_numbers.py,161
nCellsBpicFourteen,round26_numbers.py,372
nCellsBpicFourteenHandover,round26_numbers.py,379
nCellsExcludingV,round21_numbers.py,201
nCellsFigOne,round26_numbers.py,362
nCellsFullyRestricted,round26_numbers.py,183
nCellsLargestPair,round21_numbers.py,1247
nCellsLatitude,round21_numbers.py,732
nCellsLatitudeTotal,round21_numbers.py,985
nCellsPerDecomposition,round27_numbers.py,504
nCellsPerPairMedian,round21_numbers.py,709
nCellsResolvedAuc,round26_numbers.py,163
nCellsResolvedMpid,round26_numbers.py,164
nCellsUnderApplied,round21_numbers.py,481
nCellsUniformPair,round27_numbers.py,464
nCellsWholeTotal,round21_numbers.py,202
nCertificates,round20_numbers.py,508
nClosedBefore,make_numbers.py,567
nCohort,make_numbers.py,277
nCohortCells,round21_numbers.py,376
nCohortCorpus,make_numbers.py,273
nCohortDraws,round21_numbers.py,377
nCohortResolved,round21_numbers.py,384
nCohortSignPositive,round21_numbers.py,383
nComputationalCells,round20_numbers.py,51
nComputationalRows,round20_numbers.py,53
nConcentratedExceeds,round20_numbers.py,302
nCondBeneficial,round20_numbers.py,213
nCondBeneficialCal,round21_numbers.py,560
nCondBeneficialEmpBand,round27_numbers.py,421
nCondBeneficialMinShare,round27_numbers.py,629
nCondHarmful,round20_numbers.py,215
nCondHarmfulCal,round21_numbers.py,560
nCondHarmfulEmpBand,round27_numbers.py,423
nCondHarmfulMinShare,round27_numbers.py,632
nCondHarmfulResolvedMax,round27_numbers.py,808
nConditions,make_numbers.py,642
nConfirmReject,make_numbers.py,301
nCorpusDownloaded,make_numbers.py,817
nCorpusLogs,make_numbers.py,818
nCrossedPipelines,round21_numbers.py,909
nDcGrid,round20_numbers.py,457
nDcaCellsAdmissible,round27_numbers.py,750
nDcaCellsExcludedDegenerate,round27_numbers.py,752
nDcaDraws,round21_numbers.py,1458
nDcaFamiliesWithDegenerate,round21_numbers.py,1534
nDcaFamily,round20_numbers.py,470
nDcaFamilyModal,round21_numbers.py,1458
nDcaRows,round21_numbers.py,574
nDecisionTimes,round21_numbers.py,1117
nDeclaredAdmissible,round20_numbers.py,46
nDeclaredAdmissibleDC,round20_numbers.py,49
nDeclaredAdmissibleScalar,round20_numbers.py,47
nDeclaredCells,round20_numbers.py,44
nDeclaredScalar,round20_numbers.py,45
nDecompositions,round20_numbers.py,255
nDecompositionsInference,round27_numbers.py,506
nDegenerateCellsBand,round27_numbers.py,733
nDegenerateCellsDca,round21_numbers.py,1519
nDegenerateCellsWhole,round21_numbers.py,1520
nDirectionalLabels,round26_numbers.py,256
nDisagreeAuc,round26_numbers.py,165
nDisagreeFullyRestricted,round26_numbers.py,184
nDisagreeLatitude,round21_numbers.py,678
nDisagreeMpid,round26_numbers.py,166
nDisagreeResolved,round21_numbers.py,670
nDisagreeResolvedAuc,round26_numbers.py,167
nDisagreeResolvedMpid,round26_numbers.py,168
nDisagreeTopThree,round21_numbers.py,680
nDomains,make_numbers.py,230
nDrawRows,make_numbers.py,294
nDrawsEffectiveMin,round20_numbers.py,104
nDrawsPcThree,round21_numbers.py,418
nDrawsPlanned,round20_numbers.py,415
nDrawsSurface,round20_numbers.py,90
nDrawsSurfaceMax,round20_numbers.py,92
nDrawsSurfaceMin,round20_numbers.py,91
nDriftAboveNullMedian,round27_numbers.py,830
nDriftBlocks,round27_numbers.py,821
nDriftPairs,round27_numbers.py,820
nDriftPerm,round27_numbers.py,822
nDriftSignVaries,round27_numbers.py,824
nDriftTrend,round27_numbers.py,825
nDrifts,round27_numbers.py,823
nDuplicateCells,round20_numbers.py,54
nEncodingLargerItsm,round27_numbers.py,520
nEqualExceeds,round20_numbers.py,303
nExcludedAbove,round21_numbers.py,1266
nExcludesMult,round27_numbers.py,182
nExcludesWeighted,round27_numbers.py,183
nExclusionRows,round20_numbers.py,56
nExtraCases,round21_numbers.py,364
nFamiliesDca,round21_numbers.py,212
nFamiliesWhole,round21_numbers.py,211
nFamilyLargerItsm,round27_numbers.py,521
nFieller,make_numbers.py,299
nFiellerCase,round21_numbers.py,1079
nFiellerUnbounded,make_numbers.py,300
nFiellerUnboundedCase,round21_numbers.py,1080
nFoldInteractionExceeds,round26_numbers.py,120
nFoldLeadPairsPipeline,round26_numbers.py,114
nFoldLeadPairsQuality,round26_numbers.py,113
nFoldLeadPairsRung,round26_numbers.py,112
nFoldPairs,round26_numbers.py,121
nFolds,make_numbers.py,250
nGrid,make_numbers.py,251
nHarmfulPointwise,round20_numbers.py,463
nHarmfulSimultaneous,round20_numbers.py,462
nHarmfulSimultaneousEmp,round27_numbers.py,756
nHarmfulSimultaneousWidened,round27_numbers.py,726
nHeldOutLogs,round21_numbers.py,590
nHelpdeskFamily,round27_numbers.py,668
nHelpdeskResolved,round27_numbers.py,666
nHighlights,round21_numbers.py,130
nITSMPairs,round20_numbers.py,770
nIncompleteFamilies,round20_numbers.py,200
nInferenceCells,round20_numbers.py,79
nInferenceScalar,round20_numbers.py,80
nInstruments,round20_numbers.py,358
nInstrumentsOneNumberWorse,round20_numbers.py,381
nInstrumentsOosOrdering,round20_numbers.py,376
nInstrumentsUniformWorst,round20_numbers.py,357
nInvarianceChecks,round20_numbers.py,506
nInvariancePassed,round20_numbers.py,326
nInvarianceTests,round20_numbers.py,327
nItsmCrossed,round27_numbers.py,519
nItsmPairs,round21_numbers.py,770
nLabelsLostMinOne,round26_numbers.py,274
nLabelsLostMinTen,round26_numbers.py,274
nLabelsLostToMinShare,round26_numbers.py,263
nLayerRowsExcluded,round21_numbers.py,604
nLayerSubtypeLevels,round26_numbers.py,341
nLayerTypeLevels,round26_numbers.py,341
nLearners,make_numbers.py,231
nLeaveOneOut,round20_numbers.py,399
nLintChecks,make_numbers.py,643
nLogs,make_numbers.py,229
nLogsBothTargets,make_numbers.py,311
nLogsDisagree,round21_numbers.py,681
nMapsInvariant,round20_numbers.py,401
nMarkedBelowMinShare,round27_numbers.py,647
nMeanOptimal,make_numbers.py,371
nMetrics,make_numbers.py,234
nMisreportOverQuarter,round21_numbers.py,727
nMisreportOverTen,round21_numbers.py,725
nMissingCells,round20_numbers.py,55
nModelsDca,round21_numbers.py,804
nModelsDcaAdmitted,round21_numbers.py,805
nModelsDcaExcluded,round21_numbers.py,806
nMultiplier,round20_numbers.py,182
nOneNumberOptimal,make_numbers.py,372
nOneNumberTiedWorstDesk,round21_numbers.py,833
nOneNumberWorstDesk,round21_numbers.py,831
nOrphans,make_numbers.py,565
nPairs,make_numbers.py,228
nPairsAbovePlaneN,round21_numbers.py,249
nPairsAboveTenth,round21_numbers.py,617
nPairsAtLargestGrid,round27_numbers.py,471
nPairsBanded,round20_numbers.py,226
nPairsBelowPlaneN,round21_numbers.py,248
nPairsDcaExcluded,round21_numbers.py,807
nPairsDesk,round21_numbers.py,821
nPairsExcludingV,round21_numbers.py,204
nPairsFourPipelines,round26_numbers.py,381
nPairsFourRungs,round26_numbers.py,383
nPairsInsidePlaneN,round21_numbers.py,246
nPairsNoResolvedCell,round21_numbers.py,702
nPairsNoResolvedDisagreement,round21_numbers.py,698
nPairsOther,round21_numbers.py,653
nPairsRatioAboveTenth,round20_numbers.py,238
nPairsRefResolved,round26_numbers.py,191
nPairsResamplingOverLatitude,round21_numbers.py,759
nPairsResamplingOverLatitudeCross,round21_numbers.py,761
nPairsResolveBeneficialOnly,round21_numbers.py,279
nPairsResolveBothSigns,round21_numbers.py,275
nPairsResolveHarmfulOnly,round21_numbers.py,281
nPairsResolveOneSign,round21_numbers.py,972
nPairsResolvingAny,round21_numbers.py,274
nPairsResolvingNothingEmp,round27_numbers.py,396
nPairsResolvingNothingMult,round27_numbers.py,394
nPairsSomeResolvedDisagreement,round21_numbers.py,700
nPairsSpreadUnmoved,round21_numbers.py,1008
nPairsThreePipelines,round26_numbers.py,382
nPairsThreeRealisticRungs,round26_numbers.py,285
nPairsTwoLearners,round21_numbers.py,620
nPairsTwoRealisticRungs,round26_numbers.py,283
nPairsWithNegativeCell,round21_numbers.py,350
nPenaltyDecades,make_numbers.py,524
nPerPairAxes,round26_numbers.py,384
nPilotBoot,round20_numbers.py,548
nPipelineLevelsCase,round26_numbers.py,359
nPipelineLevelsLarge,round21_numbers.py,951
nPipelineLevelsModal,round21_numbers.py,953
nPipelines,round21_numbers.py,891
nPlaneCells,round21_numbers.py,449
nPlaneCellsOffered,round21_numbers.py,479
nPlaneCellsUndefined,round21_numbers.py,478
nPlaneGridReps,round20_numbers.py,651
nPlaneReps,round21_numbers.py,450
nPlannedContrasts,round20_numbers.py,420
nPlannedReject,round20_numbers.py,418
nPlannedResolved,round27_numbers.py,548
nPooledInteractionExceeds,round26_numbers.py,138
nPrefixDraws,round27_numbers.py,91
nPrefixEight,round27_numbers.py,106
nPrefixLevels,round27_numbers.py,86
nPrefixResolved,round27_numbers.py,89
nPrefixThree,round27_numbers.py,106
nPrefixTwo,round27_numbers.py,106
nPrefixUnresolved,round27_numbers.py,90
nPrefixZero,round27_numbers.py,97
nPropN,round20_numbers.py,526
nPropP,round20_numbers.py,525
nPsiFamilies,round20_numbers.py,509
nPsiFamiliesNonAffine,round21_numbers.py,175
nQbelowEmpDca,round21_numbers.py,210
nQbelowEmpDcaAdmissible,round21_numbers.py,1525
nQbelowEmpWhole,round21_numbers.py,194
nQbelowEmpWholeAdmissible,round21_numbers.py,1526
nQuality,make_numbers.py,233
nQualityFigOne,round26_numbers.py,361
nQualityKinds,make_numbers.py,246
nQualityLeakChecked,round20_numbers.py,495
nQualityLeakPassed,round20_numbers.py,496
nQualityLevels,round20_numbers.py,488
nQualityLevelsOther,round21_numbers.py,956
nQualitySeeds,round20_numbers.py,487
nRefBelowMpid,round26_numbers.py,150
nRefSensVariants,round21_numbers.py,751
nRefUnresolvedCell,round26_numbers.py,151
nRegionChangedByFamily,round20_numbers.py,176
nRegionChangedByMC,round20_numbers.py,178
nRegionsChangedByCalibration,round21_numbers.py,501
nRegisteredCohort,round21_numbers.py,363
nRepsBlock,round20_numbers.py,691
nResamplingLargest,round26_numbers.py,91
nResolvedCorpus,round21_numbers.py,669
nResolvedCorpusNominal,round21_numbers.py,695
nResolvedDcaEmp,round21_numbers.py,221
nResolvedDcaMult,round21_numbers.py,220
nResolvedEmpBand,round27_numbers.py,419
nResolvedLatitude,round21_numbers.py,677
nResolvedLostToEmp,round27_numbers.py,398
nResolvedMax,round21_numbers.py,684
nResolvedMedian,round21_numbers.py,703
nResolvedSchemeMult,round27_numbers.py,190
nResolvedSchemeWeighted,round27_numbers.py,191
nResolvedSensCalibrated,round21_numbers.py,534
nResolvedSensNominal,round21_numbers.py,534
nResolvedSensUpper,round21_numbers.py,534
nResolvedWhole,round20_numbers.py,179
nResolvedWholeEmp,round21_numbers.py,219
nResolvedWholeMult,round21_numbers.py,218
nResolvedWithin,round20_numbers.py,180
nResultEstates,make_numbers.py,447
nResultPairs,make_numbers.py,448
nRungsFigOne,round26_numbers.py,360
nScaAgreeNull,round21_numbers.py,872
nScaCapped,round21_numbers.py,868
nScaCells,round21_numbers.py,863
nScaDisagree,round21_numbers.py,871
nScaMaxCases,round21_numbers.py,867
nScaNonNull,round21_numbers.py,869
nScaPairs,round21_numbers.py,861
nScaPerms,round21_numbers.py,862
nScaSignVaries,round21_numbers.py,870
nScaSubSurfaceDisagree,round21_numbers.py,873
nScaleReps,make_numbers.py,520
nSeeds,make_numbers.py,254
nSeparatingDesk,round21_numbers.py,813
nSignChanging,round20_numbers.py,219
nSignChangingBelowMinShare,round27_numbers.py,649
nSignChangingCal,round21_numbers.py,560
nSignChangingEmpBand,round27_numbers.py,424
nSignChangingMinShare,round27_numbers.py,631
nSignVaries,make_numbers.py,422
nSimBlockLengths,round20_numbers.py,610
nSimGridCells,round20_numbers.py,609
nSimReps,round20_numbers.py,587
nSimRuns,round20_numbers.py,736
nSimSparse,make_numbers.py,455
nSizeGrid,make_numbers.py,521
nSlopeOutIso,round20_numbers.py,433
nSlopeOutRaw,round20_numbers.py,432
nSplits,make_numbers.py,232
nSpreadExceedsIncrement,make_numbers.py,412
nSpreadExceedsRealistic,round26_numbers.py,281
nStraddleAllMax,round21_numbers.py,475
nStraddleHalfMin,round21_numbers.py,476
nSurfaceRows,make_numbers.py,235
nTauDraws,round21_numbers.py,1116
nTauOne,round21_numbers.py,1119
nTauTwo,round21_numbers.py,1120
nTauTwoMatched,round21_numbers.py,1140
nTauTwoUnmatched,round21_numbers.py,1141
nTauZero,round21_numbers.py,1118
nTests,make_numbers.py,644
nTiebreakDraws,round21_numbers.py,374
nTiebreakPositive,round21_numbers.py,375
nTiedTimestamps,round21_numbers.py,365
nTippingSeeds,round21_numbers.py,582
nTrainOnly,make_numbers.py,236
nTrainOnlyPassed,make_numbers.py,237
nUnbandableCells,round27_numbers.py,226
nUnbandableOldCells,round27_numbers.py,234
nUnbandablePairs,round27_numbers.py,237
nUnbandableSameDesign,round27_numbers.py,251
nUnbandableSameDesignOf,round27_numbers.py,253
nUnderIsotonic,round21_numbers.py,494
nUnderRatioOnly,round21_numbers.py,492
nUnderWithN,round21_numbers.py,493
nUnifBenEmpBand,round27_numbers.py,420
nUnifBenSensCalibrated,round21_numbers.py,537
nUnifBenSensMult,round27_numbers.py,401
nUnifBenSensNominal,round21_numbers.py,537
nUnifBenSensUpper,round21_numbers.py,537
nUniformlyBeneficial,round20_numbers.py,211
nUniformlyBeneficialCal,round21_numbers.py,560
nUniformlyBeneficialCalibrated,round21_numbers.py,520
nUniformlyBeneficialMinShare,round27_numbers.py,634
nUniformlyHarmful,round20_numbers.py,217
nUniformlyHarmfulCal,round21_numbers.py,560
nUnresolvedCalibrated,round21_numbers.py,524
nUnresolvedEmpBand,round27_numbers.py,425
nUnresolvedMinShare,round27_numbers.py,638
nUnresolvedPairs,round20_numbers.py,221
nUnresolvedPairsMult,round27_numbers.py,399
nUnresolvedSimultaneousEmp,round27_numbers.py,758
nWilsonInsideDesign,round20_numbers.py,549
nWorkedBefore,make_numbers.py,568
nWorlds,make_numbers.py,453
nWorldsMofnBeatsBasic,round20_numbers.py,755
nWorldsMofnPriced,round20_numbers.py,757
nWorldsNestedAtLeastNaive,round20_numbers.py,747
nWorldsSim,round20_numbers.py,748
nbExcessMajority,round20_numbers.py,403
nbExcessMean,round20_numbers.py,404
nbExcessOneNumber,round20_numbers.py,402
nbExcessUniform,round20_numbers.py,405
nestedGainInSe,round26_numbers.py,67
noisyGapFixed,make_numbers.py,529
noisyGapFixedLarge,make_numbers.py,530
noisyGapLarge,make_numbers.py,526
noisyGapLoose,make_numbers.py,528
noisyGapSmall,make_numbers.py,525
noisyGapTight,make_numbers.py,527
oosMajorityAuc,round20_numbers.py,393
oosMeanAuc,round20_numbers.py,394
oosMeanVsOneNumber,round26_numbers.py,312
oosOneNumberAuc,round20_numbers.py,392
oostMajority,round20_numbers.py,396
oostMean,round20_numbers.py,397
oostOneNumber,round20_numbers.py,395
otherHigherOrderPct,round21_numbers.py,790
otherLargestFirstOrderPct,round21_numbers.py,792
pMinAttainableHolm,round20_numbers.py,417
pMinAttainableRaw,round20_numbers.py,416
pPlannedMin,round20_numbers.py,419
pThreeRawA,make_numbers.py,440
pThreeRawB,make_numbers.py,441
pThreeSqrtA,make_numbers.py,442
pThreeSqrtB,make_numbers.py,443
pcThreeHi,round21_numbers.py,417
pcThreeLo,round21_numbers.py,416
pcThreePholm,round21_numbers.py,415
pcThreePraw,round21_numbers.py,414
pcThreeQhi,round21_numbers.py,425
pcThreeQlo,round21_numbers.py,424
pcThreeShift,round21_numbers.py,426
planeKnMax,round21_numbers.py,452
planeKnMin,round21_numbers.py,451
planeNdependenceBeta,round21_numbers.py,486
planeNdependenceT,round21_numbers.py,480
planeNtrainHi,round21_numbers.py,245
planeNtrainLo,round21_numbers.py,244
pooledInteractionMedianPct,round26_numbers.py,141
pooledLargestFirstMedianPct,round26_numbers.py,143
prefixDropFactor,round27_numbers.py,114
prefixLog,round27_numbers.py,88
prefixMax,round27_numbers.py,87
prefixRetainedPct,round27_numbers.py,113
prefixVmax,round27_numbers.py,120
prefixVmin,round27_numbers.py,119
prevAdmittedMax,round21_numbers.py,1243
prevExcludedAboveMin,round21_numbers.py,1263
prevHi,make_numbers.py,260
prevLo,make_numbers.py,259
prevRegisteredHandover,round21_numbers.py,380
prevTauOne,round21_numbers.py,1142
prevTauTwo,round21_numbers.py,1122
prevTauZero,round21_numbers.py,1121
promisedPerThousand,round21_numbers.py,852
propOneApGap,round20_numbers.py,524
propOneAucGap,round20_numbers.py,523
propOneRapA,round20_numbers.py,532
propOneRapB,round20_numbers.py,533
propOneRauc,round20_numbers.py,531
propOneRho,round20_numbers.py,527
propOneSweepAp,round20_numbers.py,529
propOneSweepAuc,round20_numbers.py,528
propTwoCancelShift,make_numbers.py,437
propTwoNonRankShift,make_numbers.py,436
propTwoRankShift,make_numbers.py,435
qCalibratedMedian,round21_numbers.py,547
qClean,round21_numbers.py,1059
qCommonHalf,round21_numbers.py,1061
qCommonHalfDelta,round21_numbers.py,1067
qCorruptThirty,round21_numbers.py,1063
qCorruptThirtyDelta,round21_numbers.py,1064
qDcaMedian,round21_numbers.py,214
qDuplicateAll,round21_numbers.py,1068
qDuplicateAllDelta,round21_numbers.py,1069
qEmpDcaMedian,round21_numbers.py,215
qEmpWholeMedian,round21_numbers.py,213
qEmpWidth,round20_numbers.py,183
qLagHalfDelta,round21_numbers.py,1072
qLagHalfPopulated,round21_numbers.py,1094
qMultWidth,round20_numbers.py,184
qRandomHalf,round21_numbers.py,1062
qRareHalf,round21_numbers.py,1060
qRareHalfDelta,round21_numbers.py,1066
qRatioDcaMedian,round21_numbers.py,217
qRatioWholeMedian,round21_numbers.py,216
qStaleDelta,round21_numbers.py,1071
qStaleKeepsDelta,make_numbers.py,731
ratioBase,make_numbers.py,669
ratioCheap,make_numbers.py,669
ratioCorpusDca,round21_numbers.py,1448
ratioCorpusDcaQone,round21_numbers.py,1448
ratioCorpusDcaQthree,round21_numbers.py,1448
ratioCorpusWhole,round21_numbers.py,1448
ratioCorpusWholeQone,round21_numbers.py,1448
ratioCorpusWholeQthree,round21_numbers.py,1448
ratioDcaAdmissible,round21_numbers.py,1524
ratioDcaAll,round21_numbers.py,1523
ratioDear,make_numbers.py,669
ratioMatchedDca,round21_numbers.py,1451
ratioMatchedWhole,round21_numbers.py,1451
ratioSynthDca,round21_numbers.py,1448
ratioSynthWhole,round21_numbers.py,1448
refSensBoostingPct,round21_numbers.py,748
refSensDeclaredPct,round21_numbers.py,745
refSensMaxPct,round21_numbers.py,747
refSensMetricMaxPct,round21_numbers.py,750
refSensMetricMinPct,round21_numbers.py,749
refSensMinPct,round21_numbers.py,746
regretMajority,make_numbers.py,362
regretMajorityAdj,make_numbers.py,364
regretMajorityGainAdjPct,make_numbers.py,379
regretMajorityGainPct,make_numbers.py,366
regretMeanRule,make_numbers.py,369
regretOneNumber,make_numbers.py,360
regretOneNumberAdj,make_numbers.py,363
regretOneNumberExcessPct,make_numbers.py,374
regretOracle,make_numbers.py,370
regretUniformRule,make_numbers.py,361
releaseTag,make_numbers.py,821
repGapMax,round20_numbers.py,61
repGapMedian,round20_numbers.py,60
resolutionLostPct,round20_numbers.py,181
resolutionLostToCalibrationPct,round21_numbers.py,563
resolvedCellsEmpDegenCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpDegenDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpDegenWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpGaussCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpGaussDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpGaussWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpHeavyCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpHeavyDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpHeavyWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiDegenCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiDegenDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiDegenWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiGaussCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiGaussDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiGaussWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiHeavyCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiHeavyDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiHeavyWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiNonzeroCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiNonzeroDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpHiNonzeroWholeAtDesign,round21_numbers.py,1512
resolvedCellsEmpNonzeroCaseAtDesign,round21_numbers.py,1512
resolvedCellsEmpNonzeroDcaAtDesign,round21_numbers.py,1512
resolvedCellsEmpNonzeroWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultDegenCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultDegenDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultDegenWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultGaussCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultGaussDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultGaussWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultHeavyCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultHeavyDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultHeavyWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultHiDegenCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultHiDegenDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultHiDegenWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultHiGaussCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultHiGaussDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultHiGaussWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultHiHeavyCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultHiHeavyDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultHiHeavyWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultHiNonzeroCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultHiNonzeroDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultHiNonzeroWholeAtDesign,round21_numbers.py,1512
resolvedCellsMultNonzeroCaseAtDesign,round21_numbers.py,1512
resolvedCellsMultNonzeroDcaAtDesign,round21_numbers.py,1512
resolvedCellsMultNonzeroWholeAtDesign,round21_numbers.py,1512
resolvedCellsRadDegenCaseAtDesign,round21_numbers.py,1512
resolvedCellsRadDegenDcaAtDesign,round21_numbers.py,1512
resolvedCellsRadDegenWholeAtDesign,round21_numbers.py,1512
resolvedCellsRadGaussCaseAtDesign,round21_numbers.py,1512
resolvedCellsRadGaussDcaAtDesign,round21_numbers.py,1512
resolvedCellsRadGaussWholeAtDesign,round21_numbers.py,1512
resolvedCellsRadHeavyCaseAtDesign,round21_numbers.py,1512
resolvedCellsRadHeavyDcaAtDesign,round21_numbers.py,1512
resolvedCellsRadHeavyWholeAtDesign,round21_numbers.py,1512
resolvedCellsRadNonzeroCaseAtDesign,round21_numbers.py,1512
resolvedCellsRadNonzeroDcaAtDesign,round21_numbers.py,1512
resolvedCellsRadNonzeroWholeAtDesign,round21_numbers.py,1512
resolvedShareDirectionalMinPct,round26_numbers.py,265
resolvedShareMaxPct,round26_numbers.py,227
resolvedShareMedianPct,round26_numbers.py,226
resultWitnessMax,make_numbers.py,450
resultWitnessMin,make_numbers.py,449
rhoMax,round20_numbers.py,225
rhoMedian,round20_numbers.py,223
rhoMedianCalibrated,round21_numbers.py,504
rhoMedianEmpBand,round27_numbers.py,426
rhoMedianMult,round27_numbers.py,393
rhoMin,round20_numbers.py,224
rhoScaDisagree,round21_numbers.py,879
rhoSensCalibrated,round21_numbers.py,536
rhoSensNominal,round21_numbers.py,536
rhoSensUpper,round21_numbers.py,536
sEncodingPct,round21_numbers.py,893
sFamilyEncodingPct,round21_numbers.py,894
sFamilyPct,round21_numbers.py,892
sLearnerPct,round20_numbers.py,306
sQualityPct,round20_numbers.py,306
sRungPct,round20_numbers.py,306
sSplitPct,round20_numbers.py,306
scaDisagreePair,round21_numbers.py,881
scaPFloor,round26_numbers.py,308
