log,target,family,K,B,kurt_med,kurt_p90,kurt_max,rho_mean,absrho_mean,eff_rank,eff_rank_frac,q,q_emp,q_emp_lo,ratio,below,ceiling,q_emp_at_ceiling,share_draws_at_ceiling,n_degenerate,share_degenerate,n_degenerate_tau50,n_degenerate_tau75,n_degenerate_tau95,n_degenerate_tau99,n_lowdistinct_20,share_lowdistinct_20,adm_K,adm_B,adm_kurt_med,adm_kurt_p90,adm_kurt_max,adm_rho_mean,adm_absrho_mean,adm_eff_rank,adm_eff_rank_frac,adm_q,adm_q_emp,adm_q_emp_lo,adm_ratio,adm_below,adm_ceiling,adm_q_emp_at_ceiling,adm_share_draws_at_ceiling
BPIC15_4,handover,whole-surface,180,150,3.3639714736441793,13.282945496237168,81.46668660726746,0.10422616051269636,0.14623021428852181,16.093927116826254,0.0894107062045903,3.4246424682674137,6.469086791361619,5.624713910451558,1.8889816532101942,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,180,150,3.3639714736441793,13.282945496237168,81.46668660726746,0.10422616051269636,0.14623021428852181,16.093927116826254,0.0894107062045903,3.4246424682674137,6.469086791361619,5.624713910451558,1.8889816532101942,True,12.165799055823118,False,0.0
BPIC15_4,handover,decision-curve,1045,150,8.427675150421303,43.613330145193345,145.00671140939616,0.03283186240763996,0.0939211101852688,41.702010193508336,0.10425502548377084,3.8400726562781333,12.165799055823115,11.118237611777047,3.1681168938127393,True,12.165799055823118,True,0.07333333333333333,180,0.1722488038277512,627,346,109,25,338,0.32344497607655504,865,150,7.01654373383532,16.831844446606198,51.13346946091849,0.0435812228563438,0.10109284986684001,36.46010060925379,0.09115025152313448,3.7942713095387437,7.223985275913805,6.890524507012706,1.9039190101542842,True,12.165799055823118,False,0.0
BPIC15_5,duration,whole-surface,180,150,0.6255214077968847,5.434781679180384,50.61538503214995,0.1017139089762297,0.14300281091211778,17.454458247496813,0.0969692124860934,3.3945190168298094,5.470156430466565,4.694551388147086,1.611467310492555,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,180,150,0.6255214077968847,5.434781679180384,50.61538503214995,0.1017139089762297,0.14300281091211778,17.454458247496813,0.0969692124860934,3.3945190168298094,5.470156430466565,4.694551388147086,1.611467310492555,True,12.165799055823118,False,0.0
BPIC15_5,duration,decision-curve,1115,150,0.8495042515015427,6.2277001615612315,123.2003756234712,0.03004253070293032,0.09261177502897681,44.77633986874235,0.11194084967185587,3.868976147485359,8.573602898820695,7.411463353460493,2.2159875305494214,True,12.165799055823118,False,0.0,11,0.009865470852017943,47,24,7,0,44,0.039461883408071746,1104,150,0.8332475013677372,5.929817055504663,123.2003756234712,0.034795423658714617,0.09557752650842181,41.96084228019638,0.10490210570049095,3.864300987220407,7.3945592186538205,6.3278173497502825,1.9135567449606792,True,12.165799055823118,False,0.0
BPIC17,duration,whole-surface,180,80,-0.06706064057792949,1.2152383602023227,7.8971875761282995,0.19094115380864976,0.23258565242071905,8.710365526883074,0.04839091959379485,3.2518433007313483,3.6873685755365337,3.199384464971331,1.1339318148286035,False,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,-0.06706064057792949,1.2152383602023227,7.8971875761282995,0.19094115380864976,0.23258565242071905,8.710365526883074,0.04839091959379485,3.2518433007313483,3.6873685755365337,3.199384464971331,1.1339318148286035,False,8.83246851112417,False,0.0
BPIC17,duration,decision-curve,1033,80,0.5744962664673712,13.43756626665422,75.01265822784812,0.02372300504848593,0.10308598034852204,44.77705830125666,0.11194264575314165,3.8881138819816212,8.83246851112417,8.832468511124167,2.2716589017764575,True,8.83246851112417,True,0.125,50,0.048402710551790906,128,87,32,0,103,0.09970958373668926,983,80,0.4793789372653574,6.9616276561657955,61.46343982797998,0.022557433046258606,0.10305441296222691,45.39021294048822,0.11347553235122054,3.873476313247243,7.36067018173666,6.7586096085784195,1.9002749949866107,True,8.83246851112417,False,0.0
BPIC19,duration,whole-surface,120,33,-0.15276868407431587,0.7088951527968128,3.2842872047339826,0.0344789977881686,0.18213876960421777,13.689196133533764,0.1140766344461147,3.3167084821052373,3.0604212125579804,2.907259011581217,0.9227284306323533,False,6.16644143732834,False,0.0,0,0.0,0,0,0,0,0,0.0,120,33,-0.15276868407431587,0.7088951527968128,3.2842872047339826,0.0344789977881686,0.18213876960421777,13.689196133533764,0.1140766344461147,3.3167084821052373,3.0604212125579804,2.907259011581217,0.9227284306323533,False,6.16644143732834,False,0.0
BPIC19,duration,decision-curve,704,33,-0.131397717271865,3.212011865933714,28.654500418565494,0.02778724931744187,0.16126889009860032,21.941601361280743,0.05485400340320186,3.859155510325399,5.8307294129252,5.563471175483198,1.5108822117493679,True,6.16644143732834,False,0.030303030303030304,11,0.01555869872701554,22,15,6,0,37,0.05233380480905234,696,33,-0.14076127228194535,3.061135395830274,27.87560791147464,0.026181486750439936,0.16185406829352542,22.0063374232678,0.055015843558169505,3.85580241061581,5.781862216449713,4.936261512492329,1.4995224341711773,True,6.16644143732834,False,0.0
Helpdesk,duration,whole-surface,180,80,0.02847419205537749,0.9938108813523904,8.564326149479305,0.14616571693565394,0.20051051643262108,10.661005046801725,0.05922780581556514,3.3123895973124102,3.643350703704327,3.428322013003012,1.0999161169508715,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.02847419205537749,0.9938108813523904,8.564326149479305,0.14616571693565394,0.20051051643262108,10.661005046801725,0.05922780581556514,3.3123895973124102,3.643350703704327,3.428322013003012,1.0999161169508715,True,8.83246851112417,False,0.0
Helpdesk,duration,decision-curve,1110,80,0.41084366163057373,4.495509498715031,75.0126582278481,0.030435074610881102,0.11031206755969293,38.66029115186683,0.09665072787966707,3.872685185918028,6.719164183435714,5.625392401476075,1.7350143016706179,True,8.83246851112417,False,0.025,13,0.011711711711711703,35,22,9,0,32,0.02882882882882883,1097,80,0.393586122400182,4.085150666160439,43.88853019437997,0.029629214344130312,0.11011895416117952,39.11408747793973,0.09778521869484931,3.8710763010229328,5.908178211553862,5.402084196048994,1.526236568882051,True,8.83246851112417,False,0.0
RoadFines,duration,whole-surface,120,40,-0.21631982601449185,1.2052004746008822,3.65594334871386,0.1824920298654288,0.2516899889703528,7.90572753519484,0.06588106279329034,3.139959571475433,3.0291007179777765,2.818741718856748,0.964694178070081,False,6.16644143732834,False,0.0,0,0.0,0,0,0,0,0,0.0,120,40,-0.21631982601449185,1.2052004746008822,3.65594334871386,0.1824920298654288,0.2516899889703528,7.90572753519484,0.06588106279329034,3.139959571475433,3.0291007179777765,2.818741718856748,0.964694178070081,False,6.16644143732834,False,0.0
RoadFines,duration,decision-curve,534,40,0.7142041608697121,18.566293874090757,35.025641025641036,0.03041837945084974,0.14351142689884946,24.67831526744876,0.061695788168621896,3.723999500248444,6.166441437328341,6.16644143732834,1.655865269830716,True,6.16644143732834,True,0.2,63,0.1179775280898876,131,87,46,0,156,0.29213483146067415,471,40,0.4190243868441095,9.683808141195794,33.90701271465219,0.03437733235942617,0.1508716369475931,22.702447818773084,0.05675611954693271,3.707226502917045,6.016133314236973,5.845793409415168,1.6228124473924528,True,6.16644143732834,False,0.0
Sepsis,duration,whole-surface,180,150,-0.0366644185867393,1.127119881146009,25.154879864586498,0.20676032467345334,0.24414006535421673,8.396307018236307,0.04664615010131282,3.3198901789696325,3.6852965958928885,3.4756659246443613,1.1100658145977178,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,180,150,-0.0366644185867393,1.127119881146009,25.154879864586498,0.20676032467345334,0.24414006535421673,8.396307018236307,0.04664615010131282,3.3198901789696325,3.6852965958928885,3.4756659246443613,1.1100658145977178,True,12.165799055823118,False,0.0
Sepsis,duration,decision-curve,1116,150,0.047552431441321374,1.161544916161612,9.54761471227348,0.07976848907913557,0.1206935425852053,28.443940476036484,0.07110985119009121,3.8372958268224204,4.880291259254468,4.500924935182731,1.2718048020018642,True,12.165799055823118,False,0.0,0,0.0,0,0,0,0,0,0.0,1116,150,0.047552431441321374,1.161544916161612,9.54761471227348,0.07875801348976388,0.12042580411498731,28.304023163920917,0.07076005790980229,3.8372958268224204,4.880291259254468,4.500924935182731,1.2718048020018642,True,12.165799055823118,False,0.0
UCI498,duration,whole-surface,180,80,-0.07612765059069204,0.971635747215248,18.20886983843061,0.2107345480252032,0.26360213234237706,7.415306753905101,0.041196148632806115,3.257492252657215,3.745037066274788,3.2544751451604332,1.1496687561481906,False,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,-0.07612765059069204,0.971635747215248,18.20886983843061,0.2107345480252032,0.26360213234237706,7.415306753905101,0.041196148632806115,3.257492252657215,3.745037066274788,3.2544751451604332,1.1496687561481906,False,8.83246851112417,False,0.0
UCI498,duration,decision-curve,1116,80,0.0760276723540787,2.2313457845356908,59.35472790126484,0.05379323039649391,0.12055124987689043,34.499619527800775,0.08624904881950193,3.868511389189661,7.101353519512071,6.079157715629796,1.8356811716662917,True,8.83246851112417,False,0.0,0,0.0,8,1,0,0,3,0.002688172043010753,1116,80,0.0760276723540787,2.2313457845356908,59.35472790126484,0.04663250339894855,0.11982194417172397,34.81476547660731,0.08703691369151828,3.868511389189661,7.101353519512071,6.079157715629796,1.8356811716662917,True,8.83246851112417,False,0.0
UCI498,handover,whole-surface,180,80,0.17792687050989864,9.879061996343024,27.909666609488813,0.12153835887752504,0.18248493184454403,13.002682628495373,0.07223712571386319,3.3294166439835093,4.740190871440716,3.679039212080439,1.423730154051634,True,8.83246851112417,False,0.0,0,0.0,0,0,0,0,0,0.0,180,80,0.17792687050989864,9.879061996343024,27.909666609488813,0.12153835887752504,0.18248493184454403,13.002682628495373,0.07223712571386319,3.3294166439835093,4.740190871440716,3.679039212080439,1.423730154051634,True,8.83246851112417,False,0.0
UCI498,handover,decision-curve,1116,80,0.13785421926068997,13.161157050565942,70.41318346716697,0.02286391072981281,0.10831674963870984,39.73970433748377,0.09934926084370943,3.884816823714972,7.958253685235762,5.483856145061198,2.048553135544096,True,8.83246851112417,False,0.0,1,0.0008960573476702871,7,3,0,0,4,0.0035842293906810036,1115,80,0.13785421926068997,13.04433942086269,70.41318346716697,0.023586643832493096,0.10795600486069284,39.67636592095433,0.09919091480238583,3.884816823714972,7.664104366675661,5.483856145061198,1.9728354551725382,True,8.83246851112417,False,0.0
