log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_4,handover,ap,average precision,reference,uniform-beneficial,216,False,0.0016627893680886215,0.0,0.0,0.0032055173611822115,0.0016627893680886215,0.0016627893680886215,-0.00154272799309359,0.3125
BPIC15_4,handover,ap,average precision,reference,majority,216,False,0.0016627893680886215,0.0,0.0,0.0032055173611822115,0.0016627893680886215,0.0016627893680886215,-0.00154272799309359,0.3125
BPIC15_4,handover,ap,average precision,reference,weighted-mean,216,False,0.0016627893680886215,0.0,0.0,0.0032055173611822115,0.0016627893680886215,0.0016627893680886215,-0.00154272799309359,0.3125
BPIC15_4,handover,ap,average precision,concentrated,one-number,216,False,0.0007006631790981979,0.0,0.0,0.0015581589762374607,0.0007006631790981979,0.0007006631790981979,-0.0008574957971392628,0.16169599999999998
BPIC15_4,handover,ap,average precision,concentrated,uniform-beneficial,216,False,0.0007006631790981979,0.0,0.0,0.0015581589762374607,0.0007006631790981979,0.0007006631790981979,-0.0008574957971392628,0.16169599999999998
BPIC15_4,handover,ap,average precision,concentrated,majority,216,False,0.0007006631790981979,0.0,0.0,0.0015581589762374607,0.0007006631790981979,0.0007006631790981979,-0.0008574957971392628,0.16169599999999998
BPIC15_4,handover,ap,average precision,concentrated,weighted-mean,216,False,0.0007006631790981979,0.0,0.0,0.0015581589762374607,0.0007006631790981979,0.0007006631790981979,-0.0008574957971392628,0.16169599999999998
BPIC15_4,handover,auc,AUC,equal-level,one-number,216,True,0.019565476437167686,0.015027476009946479,3.31147523032482,0.019565476437167686,0.0045380004272212076,0.0045380004272212076,-0.015027476009946479,0.29166666666666663
BPIC15_4,handover,auc,AUC,equal-level,uniform-beneficial,216,False,0.0045380004272212076,0.0,0.0,0.019565476437167686,0.0045380004272212076,0.0045380004272212076,-0.015027476009946479,0.29166666666666663
BPIC15_4,handover,auc,AUC,equal-level,majority,216,False,0.0045380004272212076,0.0,0.0,0.019565476437167686,0.0045380004272212076,0.0045380004272212076,-0.015027476009946479,0.29166666666666663
