log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.175,0.005769322462213289,0.3070116123327395,0.3127809347949528,0.00174540485205232,0.0009609216178375943,0.00703160557079882,200,0.004274283385998444,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.200,0.011961808038907229,0.2862609068802746,0.29822271491918184,0.0026511321162301037,0.0057560613646116905,0.01478999785438416,200,0.010091188671148619,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.225,0.01674964585803873,0.26378615824031815,0.2805358040983569,0.0019283474637025297,0.013328772938478508,0.020641054627839498,200,0.01716275764692854,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.250,0.022052162303914602,0.23966528393648978,0.2617174462404044,0.0022542356125626606,0.017395580031469064,0.025970891145758852,200,0.022018190053878797,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.275,0.028425709902880097,0.21429522686804214,0.24272093677092224,0.0022120097045397495,0.024103712161942206,0.03267020652168553,200,0.028382920898297814,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.300,0.036271124098330526,0.18708747982099433,0.22335860391932486,0.0030367387140904614,0.029016643848212977,0.040747798189508994,200,0.035721080164292866,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.325,0.03676684838178185,0.16581636707512834,0.2025832154569102,0.005105206130398658,0.02778168491764544,0.04866157281584262,200,0.03691398199801861,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.350,0.042230120044452785,0.1394980359363137,0.1817281559807665,0.006978237448173075,0.0352191829054939,0.060198689523893345,200,0.04680372016768812,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.375,0.06823058217708478,0.11155771706479761,0.1797882992418824,0.004408667712229747,0.056271277356601354,0.07296810184522955,200,0.06654613073952223,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.400,0.07736136937967864,0.08422733991322173,0.16158870929290037,0.004310266822930032,0.06942259095026942,0.08545272493205548,200,0.07823129738234876,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.425,0.03661539992412602,0.10901283016051694,0.14562823008464296,0.022415183773899023,0.026191283202626967,0.09665812566467442,200,0.045500099506819325,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.450,0.029583490461762507,0.09639016397706143,0.12597365443882394,0.005065678046162728,0.01842222467848272,0.03758614972497111,200,0.02774531540552139,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.475,0.02039016150016007,0.08278330642799248,0.10317346792815255,0.006266694695473732,0.010575246405242105,0.03454594682959725,200,0.020810923568397473,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.500,0.01752252896581319,0.07209269060220283,0.08961521956801602,0.007773919901269512,0.0005721642111286007,0.029470032899442156,200,0.016005220998426547,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.525,0.026948181496510598,0.05632429665208649,0.08327247814859709,0.01108071981584964,-0.0043357437005473445,0.03425569717456278,200,0.01860988564244254,False
