claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K629,qRatioDcaMedian,2.09,2,20_inference.tex:162; 60_dca.tex:113,Simultaneous bands change what can be said; Simultaneous bands over the family the claim ranges over,round21_numbers.py,118,s40_facts.csv,False,False,False
K630,qRatioWholeMedian,1.29,1,20_inference.tex:161,Simultaneous bands over the family the claim ranges over,round21_numbers.py,117,s40_facts.csv,False,False,False
K631,qStaleDelta,$+0.0000$,1,50_cmdb.tex:213,Register quality,round21_numbers.py,660,s39_absorption.csv,False,False,False
K632,qStaleDeltaCorpus,$+0.0000$,0,,,,0,,False,False,False
K633,qStaleKeepsDelta,$+0.0000$,0,,,make_numbers.py,717,s09_facts.csv,False,False,False
K634,ratioBase,2.3,2,60_dca.tex:25; 60_dca.tex:37,"Calibration comes first, or the threshold means nothing; The operating point is a cost ratio, not a knob",make_numbers.py,662,s11_facts.csv,False,False,False
K635,ratioCheap,9.0,1,60_dca.tex:23,"The operating point is a cost ratio, not a knob",make_numbers.py,662,s11_facts.csv,False,False,False
K636,ratioDcaAdmissible,1.80,2,75_simulation.tex:167; 80_limits.tex:160,Limitations; The band's family-wise coverage,round21_numbers.py,1001,s41_profile.csv,False,False,True
K637,ratioDcaAll,2.09,2,75_simulation.tex:167; 80_limits.tex:159,Limitations; The band's family-wise coverage,round21_numbers.py,1000,s41_profile.csv,False,False,True
K638,ratioDear,0.7,1,60_dca.tex:26,"The operating point is a cost ratio, not a knob",make_numbers.py,662,s11_facts.csv,False,False,False
K639,refSensBoostingPct,35.3\%,1,40_multilog.tex:295,What one number costs,round21_numbers.py,503,s34_family.csv,False,False,False
K640,refSensDeclaredPct,32.8\%,1,40_multilog.tex:295,What one number costs,round21_numbers.py,500,s34_family.csv,False,False,False
K641,refSensMaxPct,38.4\%,1,40_multilog.tex:294,What one number costs,round21_numbers.py,502,s34_family.csv,False,False,False
K642,refSensMetricMaxPct,38.2\%,1,40_multilog.tex:297,What one number costs,round21_numbers.py,505,s34_family.csv,False,False,False
K643,refSensMetricMinPct,32.8\%,1,40_multilog.tex:296,What one number costs,round21_numbers.py,504,s34_family.csv,False,False,False
K644,refSensMinPct,32.8\%,1,40_multilog.tex:294,What one number costs,round21_numbers.py,501,s34_family.csv,False,False,False
K645,regretMajority,0.0287,0,,,make_numbers.py,356,s38_facts.csv,False,False,False
K646,regretMajorityAdj,0.0192,0,,,make_numbers.py,358,s38_facts.csv,False,False,False
