rung,learner,threshold,dnb,se,q_maxt,q_emp,q_lo,q_hi,n_family,n_draws,sim_lo,sim_hi,pt_lo,pt_hi,construction,sim_harmful,pt_harmful
B_intake,hgb,0.425,0.0083585728234437,0.0012251296994293304,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.004072988439448547,0.012830732493676257,0.006340838842486677,0.010862413164751998,basic,False,False
B_intake,hgb,0.45,0.009596754268475,0.0013501960910677043,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.004793625101906472,0.014445396497292328,0.00703485650381651,0.012006183274599697,basic,False,False
B_intake,hgb,0.475,0.0110993045480243,0.0014450848185900231,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.006067090352998959,0.016397166412502343,0.008406982446819325,0.014066214384480696,basic,False,False
B_intake,hgb,0.5,0.0118008868545271,0.0016151806250752747,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.005419966050775197,0.016965958709630607,0.007935202403089349,0.014091331712201272,basic,False,False
B_intake,hgb,0.525,0.0135474933937619,0.0017840099282307792,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.00644456753616513,0.01919742329415057,0.009454731271032649,0.01601466923638673,basic,False,False
B_intake,hgb,0.55,0.0161159586134554,0.0029836186463191965,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.005312808388945829,0.02664097345755547,0.012026971185174592,0.019620067070360236,basic,False,False
B_intake,hgb,0.575,0.0181493853441819,0.008544889823349331,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.012640072007136148,0.04844240610055024,0.013079526618256912,0.0426572610162643,basic,False,False
B_intake,hgb,0.6,0.0044342726362465,0.00959524204631803,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.028609537656946706,0.039981301353127205,-0.01612072664854823,0.015814976398226085,basic,False,False
B_intake,hgb,0.625,0.0024793782482238,0.004671847562583445,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.015267758340557151,0.018128579396199752,-0.006985171410861794,0.00913674724645952,basic,False,False
B_intake,hgb,0.65,0.0074687863988393,0.0040927248054198,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,-0.007537512618534706,0.021719011280078908,-8.275946625239256e-05,0.015399646484255201,basic,False,False
B_intake,hgb,0.675,0.0142270831728705,0.004188532631498095,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.0016440691050229397,0.03158546777206026,0.008470093416810445,0.024348200433524283,basic,False,False
B_intake,hgb,0.7,0.0223859247604061,0.004757363619710078,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.010376620221079061,0.04438426281901974,0.017767486768702517,0.036533280884947165,basic,False,False
B_intake,hgb,0.725,0.0337901977867647,0.005319239679561833,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.023796201094983586,0.06182037086116752,0.0328963537535271,0.05277207058425746,basic,False,False
B_intake,hgb,0.75,0.0381204405664425,0.006076667840837382,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.02094270105643413,0.06438128692811727,0.03128129023029608,0.05465598626805872,basic,False,False
B_intake,hgb,0.775,0.0514470986506461,0.006823207066896799,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.03379039321981155,0.08256555649331185,0.04539030340596655,0.07251227769036386,basic,False,False
B_intake,hgb,0.8,0.0670862537548276,0.007709624453055648,3.574210982848223,6.995884198633907,3.558745670917131,3.5942540315544664,248,200,0.04761224884327224,0.10272389763076568,0.06048490916893137,0.08935953368616792,basic,False,False
