log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,rep
BPIC14,handover,brier_skill,envelope,0.8500531268898581,0.14994687311014188,0.12253319025575243,quality_level,0.43661970700933256,quality_level,0.004664691729627016,0.09340906318689586,960,0.9999999999999997,20
BPIC14,handover,logloss_skill,envelope,0.7999084037920434,0.20009159620795658,0.17580597198515313,learner,0.476673956971037,learner,0.014161034112527164,0.11433776740869989,960,1.0000000000000002,20
BPIC14,handover,nagelkerke,envelope,0.8361877568742301,0.16381224312576992,0.16138484310170254,learner,0.7785588409418311,learner,0.01800721373629031,0.0684129461949012,960,1.0000000000000002,20
BPIC14,handover,ap,envelope,0.741757666921743,0.25824233307825695,0.2288654585266876,rung,0.3547073909904239,learner,0.00017738552892658326,0.011206356832622345,960,1.0,21
BPIC14,handover,auc,envelope,0.7859660738584695,0.2140339261415305,0.17999989457983023,learner,0.401620478329329,learner,0.008658051104420007,0.08333877937920971,960,1.0000000000000004,21
BPIC14,handover,brier_skill,envelope,0.8806341818212196,0.11936581817878045,0.1085990872326732,rung,0.6645780956819506,rung,0.012667628973061092,0.13220631436440627,960,1.0,21
BPIC14,handover,logloss_skill,envelope,0.7475405901605503,0.2524594098394497,0.24084751330042053,learner,0.6218688772841989,learner,0.010860142501001844,0.05520231804090927,960,1.0,21
BPIC14,handover,nagelkerke,envelope,0.8846460061039977,0.11535399389600232,0.10516304570233181,learner,0.6453374820465746,learner,0.021181918640808706,0.18033381851357516,960,1.0,21
BPIC14,handover,ap,envelope,0.8015296307333175,0.1984703692666825,0.17958283175867007,learner,0.44273568350931003,learner,0.00023351007329239012,0.013637537659157687,960,0.9999999999999999,22
BPIC14,handover,auc,envelope,0.9312765042979716,0.0687234957020284,0.06426843555299933,rung,0.8211467034759343,rung,0.007423052206983356,0.1002275336353801,960,1.0000000000000002,22
BPIC14,handover,brier_skill,envelope,0.887503788446666,0.112496211553334,0.09659995643699615,rung,0.581995763938689,rung,0.010933221685474254,0.14644666989794394,960,0.9999999999999998,22
BPIC14,handover,logloss_skill,envelope,0.8406855965123994,0.15931440348760062,0.11241409390028345,rung,0.36588411512658986,rung,0.009064256985283835,0.11770203933536409,960,0.9999999999999999,22
BPIC14,handover,nagelkerke,envelope,0.7975242830689037,0.20247571693109634,0.17255082563755353,learner,0.5201266282437949,learner,0.022763487178960595,0.14565471631907925,960,1.0,22
BPIC14,handover,ap,envelope,0.8836641749687048,0.11633582503129525,0.11103283093136396,rung,0.7562401974194166,rung,0.00012771016809496675,0.010730719042568811,960,0.9999999999999999,23
BPIC14,handover,auc,envelope,0.8501895865017677,0.14981041349823232,0.13910642639956727,learner,0.7100048388496777,learner,0.012647638418241673,0.08908987021241054,960,1.0,23
BPIC14,handover,brier_skill,envelope,0.8332936383930569,0.16670636160694308,0.16091436761184896,learner,0.6813944016808653,learner,0.013017499065200102,0.09339780262093489,960,1.0,23
BPIC14,handover,logloss_skill,envelope,0.7181487954845425,0.28185120451545753,0.25349359245632874,learner,0.4847145090500241,learner,0.010350814633582272,0.06692810148332139,960,1.0,23
BPIC14,handover,nagelkerke,envelope,0.9104287150517076,0.08957128494829236,0.07865843971924613,rung,0.7155857311724662,rung,0.015193968395161133,0.16888137917976667,960,1.0000000000000002,23
BPIC14,handover,ap,envelope,0.7945558880172253,0.20544411198277468,0.1932367522410774,rung,0.5314384277212011,rung,0.0001390747068820173,0.010151632700368377,960,1.0000000000000004,24
BPIC14,handover,auc,envelope,0.8329878292295416,0.16701217077045838,0.14740843802691805,rung,0.5792266335985741,rung,0.011959774860161905,0.11098621764386878,960,0.9999999999999997,24
BPIC14,handover,brier_skill,envelope,0.7620816073504979,0.2379183926495021,0.19507091813442934,rung,0.40835538279921835,rung,0.010686218233556675,0.0826927346172767,960,0.9999999999999998,24
BPIC14,handover,logloss_skill,envelope,0.792035005606162,0.20796499439383798,0.17167729816141436,quality_level,0.40788137956684384,quality_level,0.016116116011848557,0.12828495707963541,960,0.9999999999999999,24
BPIC14,handover,nagelkerke,envelope,0.8393051663061477,0.1606948336938523,0.14644900213376377,rung,0.6341782814629183,rung,0.019762169895669056,0.13536845379944398,960,1.0000000000000002,24
BPIC14,handover,ap,envelope,0.8521373704614174,0.14786262953858265,0.11347636036762931,rung,0.4276768984978946,learner,0.00015593677832880515,0.015000398356729455,960,1.0,25
BPIC14,handover,auc,envelope,0.8719732819018271,0.1280267180981729,0.10391019478642327,quality_level,0.513059751111536,quality_level,0.008636081447241898,0.14189091940358103,960,1.0,25
BPIC14,handover,brier_skill,envelope,0.7317123450255608,0.2682876549744392,0.23828474044824371,learner,0.3378553995918281,rung,0.010423220294423661,0.07976550740186963,960,1.0000000000000002,25
BPIC14,handover,logloss_skill,envelope,0.9207259049526519,0.07927409504734806,0.07146105991013296,rung,0.8569947489777817,rung,0.011280713405146562,0.08310121623088279,960,1.0,25
BPIC14,handover,nagelkerke,envelope,0.8453091785857474,0.1546908214142526,0.11869689778693893,rung,0.440721831009819,rung,0.01888570861149956,0.17820764176882897,960,1.0,25
BPIC14,handover,ap,envelope,0.9395144754591277,0.060485524540872304,0.055125964135551375,learner,0.83535363893332,learner,0.00022753908784173933,0.020470526099094142,960,0.9999999999999997,26
BPIC14,handover,auc,envelope,0.7870796363204653,0.2129203636795347,0.16251870672476537,rung,0.3993238501310216,rung,0.006300982275329118,0.0785284045081609,960,0.9999999999999999,26
BPIC14,handover,brier_skill,envelope,0.696815727363907,0.30318427263609304,0.2554626177132501,learner,0.33342980745858375,learner,0.009886292084607104,0.07296111537208835,960,1.0,26
BPIC14,handover,logloss_skill,envelope,0.7392484136447868,0.2607515863552132,0.21146364202691798,rung,0.38681859113328415,rung,0.008834737509725249,0.07609091356429142,960,1.0,26
BPIC14,handover,nagelkerke,envelope,0.8148909743635752,0.18510902563642484,0.17015016989285348,learner,0.5683880331813828,learner,0.024121823739865572,0.1444540355368279,960,1.0,26
BPIC14,handover,ap,envelope,0.8670723098533313,0.13292769014666872,0.10565641498264194,rung,0.4660872087464763,rung,9.976460718928257e-05,0.012787585692800068,960,1.0000000000000002,27
BPIC14,handover,auc,envelope,0.8410560243119645,0.15894397568803553,0.1461822970716622,rung,0.5968652162188877,rung,0.008939599781647939,0.09454256752298021,960,1.0000000000000004,27
BPIC14,handover,brier_skill,envelope,0.855231182001102,0.14476881799889796,0.13820718801356324,learner,0.7231512604630737,learner,0.010090576391336517,0.08953030100167435,960,1.0,27
BPIC14,handover,logloss_skill,envelope,0.831368435098701,0.16863156490129905,0.15526326024905335,learner,0.6144492191776255,learner,0.017817593757574662,0.12762704639896863,960,0.9999999999999998,27
BPIC14,handover,nagelkerke,envelope,0.8228881727104562,0.17711182728954378,0.12466795609952175,learner,0.30772478811954307,learner,0.016662796521898348,0.15840456213228613,960,1.0000000000000002,27
BPIC14,handover,ap,envelope,0.8807753931487707,0.11922460685122926,0.10562479663011215,rung,0.7393248222834851,rung,0.00018761084857494165,0.015993580334673345,960,1.0,28
