log,target,metric,split_set,share_resampling,share_analyst,share_counterfactual,share_mixed,check_sum,var_pooled
BPIC17,duration,ap,all,0.4371302459015312,0.23010360566572388,0.2802698164652674,0.052496331967477605,1.0,9.364855569585234e-05
BPIC17,duration,auc,all,0.4189515934516395,0.448127513492617,0.08043293473906216,0.052487958316681085,0.9999999999999998,0.00014397119447333775
BPIC17,duration,brier_skill,all,0.8481804309843122,0.04169757482485643,0.05905467222940116,0.05106732196143006,0.9999999999999999,1.6091793391989363e-05
BPIC17,duration,logloss_skill,all,0.8405702037704161,0.041219906335001964,0.06156679576893666,0.0566430941256453,1.0,9.151579779524845e-06
BPIC17,duration,nagelkerke,all,0.8410382107301324,0.0413812804973331,0.06114329515225771,0.05643721362027705,1.0000000000000002,3.026522608938496e-05
BPIC19,duration,ap,all,0.6014547861472794,0.32394900148225714,0.041048087534893835,0.03354812483556985,1.0000000000000002,0.006621876033488995
BPIC19,duration,auc,all,0.7399190187420177,0.22144191188993623,0.010523793027285988,0.02811527634075986,0.9999999999999998,0.009344707414799978
BPIC19,duration,brier_skill,all,0.9772251379834251,0.007259931845786879,0.007264629432219774,0.008250300738568469,1.0000000000000002,0.024564456393312537
BPIC19,duration,logloss_skill,all,0.964751844082376,0.012638304966468106,0.009932707186344205,0.012677143764811591,0.9999999999999999,0.02685620242028299
BPIC19,duration,nagelkerke,all,0.9093589172825807,0.037526312099039685,0.017857264457350593,0.03525750616102884,0.9999999999999998,0.14735964086676295
Helpdesk,duration,ap,all,0.6768820828209924,0.2168219298222854,0.07992673579664328,0.026369251560079045,1.0000000000000002,0.0003795000178328859
Helpdesk,duration,auc,all,0.8758804516573142,0.05391081927129138,0.05709518318530524,0.013113545886089479,1.0000000000000002,0.00034711112742991123
Helpdesk,duration,brier_skill,all,0.46684845834427624,0.31703217474865053,0.18269572144293117,0.03342364546414233,1.0000000000000002,0.0011494284093204563
Helpdesk,duration,logloss_skill,all,0.5134099944343853,0.37103818240612507,0.09899357146432548,0.01655825169516413,1.0,0.0015907222865435243
Helpdesk,duration,nagelkerke,all,0.5363221463601667,0.36140384477129595,0.08583672997485452,0.01643727889368279,0.9999999999999999,0.005850926846365419
RoadFines,duration,ap,all,0.44035839099855545,0.16000940195905727,0.3400506654168021,0.05958154162558504,0.9999999999999999,0.00024618578653352294
RoadFines,duration,auc,all,0.5531614935200531,0.29395700381418577,0.104260131325885,0.048621371339876374,1.0000000000000002,0.0002939326971870154
RoadFines,duration,brier_skill,all,0.6578782726390218,0.05064078686681533,0.27082907122638117,0.02065186926778171,1.0,0.00011257759545646998
RoadFines,duration,logloss_skill,all,0.6165414630555914,0.07034745151172214,0.29381863942779424,0.019292446004892074,0.9999999999999999,7.42312450909007e-05
RoadFines,duration,nagelkerke,all,0.6214672693086826,0.06967095289388542,0.2890504544473651,0.01981132335006694,1.0,0.00025521597295168947
Sepsis,duration,ap,all,0.6733657501460905,0.18042837654824126,0.12661366163084592,0.01959221167482227,0.9999999999999999,0.00319188996020276
Sepsis,duration,auc,all,0.752423401140867,0.13729257029423306,0.09892653966117383,0.011357488903726287,1.0000000000000002,0.0025181535875676312
