log,target,unit,threshold_measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC14,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,248,True,7.689978133917089e-05,0.0,0.0,7.689978133917089e-05,0.012430731384084445,7.689978133917089e-05,0.012353831602745276,0.8859962786359308
BPIC14,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,248,True,7.689978133917089e-05,0.0,0.0,7.689978133917089e-05,0.012430731384084445,7.689978133917089e-05,0.012353831602745276,0.8859962786359308
BPIC14,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,248,True,9.747319712646947e-05,0.0,0.0,9.747319712646947e-05,0.009275868931650937,9.747319712646947e-05,0.009178395734524468,0.7500000000000006
BPIC14,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,248,False,0.009275868931650937,0.009178395734524468,94.16327775332627,9.747319712646947e-05,0.009275868931650937,9.747319712646947e-05,0.009178395734524468,0.7500000000000006
BPIC14,handover,net benefit (true positives per case),uniform over the declared operating range,majority,248,True,9.747319712646947e-05,0.0,0.0,9.747319712646947e-05,0.009275868931650937,9.747319712646947e-05,0.009178395734524468,0.7500000000000006
BPIC14,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,248,True,9.747319712646947e-05,0.0,0.0,9.747319712646947e-05,0.009275868931650937,9.747319712646947e-05,0.009178395734524468,0.7500000000000006
BPIC14,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,248,True,3.917921941518246e-05,0.0,0.0,3.917921941518246e-05,0.0010598703303153103,3.917921941518246e-05,0.0010206911109001276,0.6912178688501089
BPIC14,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,248,False,0.0010598703303153103,0.0010206911109001278,26.051849070392574,3.917921941518246e-05,0.0010598703303153103,3.917921941518246e-05,0.0010206911109001276,0.6912178688501089
BPIC14,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,248,True,3.917921941518246e-05,0.0,0.0,3.917921941518246e-05,0.0010598703303153103,3.917921941518246e-05,0.0010206911109001276,0.6912178688501089
BPIC14,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,248,True,3.917921941518246e-05,0.0,0.0,3.917921941518246e-05,0.0010598703303153103,3.917921941518246e-05,0.0010206911109001276,0.6912178688501089
BPIC15_1,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,186,True,0.010111611793110369,0.000233803341580378,0.023669556129544484,0.010111611793110369,0.00987780845152999,0.00987780845152999,-0.000233803341580378,0.3924731182795698
BPIC15_1,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.00987780845152999,0.0,0.0,0.010111611793110369,0.00987780845152999,0.00987780845152999,-0.000233803341580378,0.3924731182795698
BPIC15_1,duration,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.00987780845152999,0.0,0.0,0.010111611793110369,0.00987780845152999,0.00987780845152999,-0.000233803341580378,0.3924731182795698
BPIC15_1,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,False,0.00987780845152999,0.0,0.0,0.010111611793110369,0.00987780845152999,0.00987780845152999,-0.000233803341580378,0.3924731182795698
BPIC15_1,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,True,0.00016550908197539494,0.0,0.0,0.00016550908197539494,0.0007326009997130898,0.00016550908197539494,0.0005670919177376948,0.34812298727686475
BPIC15_1,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.0007326009997130898,0.0005670919177376949,3.4263492430101232,0.00016550908197539494,0.0007326009997130898,0.00016550908197539494,0.0005670919177376948,0.34812298727686475
BPIC15_1,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,0.0007326009997130898,0.0005670919177376949,3.4263492430101232,0.00016550908197539494,0.0007326009997130898,0.00016550908197539494,0.0005670919177376948,0.34812298727686475
BPIC15_1,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,0.00016550908197539494,0.0,0.0,0.00016550908197539494,0.0007326009997130898,0.00016550908197539494,0.0005670919177376948,0.34812298727686475
BPIC15_1,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,186,False,0.01834391446371448,0.01735006711287874,17.457476843188104,0.000993847350835738,0.01834391446371448,0.000993847350835738,0.017350067112878738,0.5698924731182795
BPIC15_1,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.01834391446371448,0.01735006711287874,17.457476843188104,0.000993847350835738,0.01834391446371448,0.000993847350835738,0.017350067112878738,0.5698924731182795
BPIC15_1,handover,net benefit (true positives per case),uniform over the declared operating range,majority,186,True,0.000993847350835738,0.0,0.0,0.000993847350835738,0.01834391446371448,0.000993847350835738,0.017350067112878738,0.5698924731182795
BPIC15_1,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.000993847350835738,0.0,0.0,0.000993847350835738,0.01834391446371448,0.000993847350835738,0.017350067112878738,0.5698924731182795
BPIC15_1,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,False,0.0006724594290494932,0.000543751960191297,4.22471178258021,0.00012870746885819623,0.0006724594290494932,0.00012870746885819623,0.000543751960191297,0.2662173599840634
BPIC15_1,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.0006724594290494932,0.000543751960191297,4.22471178258021,0.00012870746885819623,0.0006724594290494932,0.00012870746885819623,0.000543751960191297,0.2662173599840634
BPIC15_1,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,0.0006724594290494932,0.000543751960191297,4.22471178258021,0.00012870746885819623,0.0006724594290494932,0.00012870746885819623,0.000543751960191297,0.2662173599840634
BPIC15_1,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,0.00012870746885819623,0.0,0.0,0.00012870746885819623,0.0006724594290494932,0.00012870746885819623,0.000543751960191297,0.2662173599840634
BPIC15_3,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,186,True,0.010366507264413963,0.0,0.0,0.010366507264413963,0.04424793392546608,0.010366507264413963,0.033881426661052115,0.5806451612903225
BPIC15_3,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.04424793392546608,0.03388142666105212,3.2683550782200217,0.010366507264413963,0.04424793392546608,0.010366507264413963,0.033881426661052115,0.5806451612903225
BPIC15_3,duration,net benefit (true positives per case),uniform over the declared operating range,majority,186,True,0.010366507264413963,0.0,0.0,0.010366507264413963,0.04424793392546608,0.010366507264413963,0.033881426661052115,0.5806451612903225
BPIC15_3,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.010366507264413963,0.0,0.0,0.010366507264413963,0.04424793392546608,0.010366507264413963,0.033881426661052115,0.5806451612903225
BPIC15_3,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,True,0.00042538884579395117,0.0,0.0,0.00042538884579395117,0.0052029307635517155,0.00042538884579395117,0.0047775419177577645,0.5351152235812042
