log,target,learner,quality,level,rung,metric,V,se,n_draws,pct_lo,pct_hi,basic_lo,basic_hi,bc_lo,bc_hi,boot_shift,pct_resolved,basic_resolved,bc_resolved,lo,hi,resolved
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.275,0.0084856900408855,0.020071624421321294,250,-0.03809110545398436,0.03855974697215144,-0.02158836689038044,0.05506248553575536,-0.02113708246547866,0.048252296181886985,-0.0079071202653706,False,False,False,-0.02158836689038044,0.05506248553575536,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.300,0.0143815915627995,0.01979808105254836,250,-0.039413550655161306,0.037064557366570744,-0.008301374240971743,0.0681767337807603,-0.010546500479386335,0.06419525158491535,-0.01741770533716825,False,False,False,-0.008301374240971743,0.0681767337807603,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.325,-0.0042257022122793,0.021517818789509886,250,-0.04507829977628632,0.03713439390173166,-0.04558579832629026,0.03662689535172772,-0.041456227407887555,0.04189898019146602,-0.0019471372938935005,False,False,False,-0.04558579832629026,0.03662689535172772,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.350,-0.0242643262777491,0.02464996719046799,250,-0.04997848907244875,0.0420839786611598,-0.090612631216658,0.0014498365169505478,-0.061360440986351884,0.005687362192537413,0.0182412665634143,False,False,False,-0.090612631216658,0.0014498365169505478,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.375,-0.0272930648769574,0.02537430924417816,250,-0.055324384787472,0.04275167785234892,-0.09733780760626373,0.0007382550335571988,-0.07539112703776102,0.00044603058960572696,0.019239373601789702,False,False,False,-0.09733780760626373,0.0007382550335571988,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.400,-0.0268456375838926,0.023756641537703852,250,-0.05624533929903049,0.039932885906040244,-0.09362416107382544,0.002554064131245294,-0.07873421227250325,-0.0011621143297961157,0.0164056674123789,False,False,True,-0.09362416107382544,0.002554064131245294,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.425,-0.0139091528061472,0.025461481967463295,250,-0.053095516000389,0.050172648575041334,-0.07799095418733573,0.025277210388094596,-0.061994925804077075,0.0391760812962119,0.0031125376908861004,False,False,False,-0.07799095418733573,0.025277210388094596,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.450,-0.0146430750457595,0.026123227799526028,250,-0.058948545861297504,0.04627313402481191,-0.07555928411633091,0.029662395769778502,-0.062083701234129006,0.03342854578193626,0.0024405125076265508,False,False,False,-0.07555928411633091,0.029662395769778502,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.475,-0.0055395760093746,0.026541141816826694,250,-0.06080217321828057,0.03952807073612441,-0.05060722275487361,0.04972302119953137,-0.047967766103612836,0.07778048490286754,-0.00681793970384575,False,False,False,-0.05060722275487361,0.04972302119953137,False
BPIC13_closed,handover,logit,clean,1.0,B_intake,nb_0.500,-0.0089485458612975,0.025730877709226503,250,-0.05989932885906033,0.0335570469798657,-0.051454138702460704,0.04200223713646533,-0.0514541387024608,0.047976028827852506,-0.004474272930648799,False,False,False,-0.051454138702460704,0.04200223713646533,False
