log,target,metric,n_cells,n_draws,var_surface,mean_se,sigma2,rho_mean,noise_independent,noise_correlated,share_independent,share_correlated
BPIC15_4,duration,brier_skill,36,400,0.014456664219336094,0.1306556340181123,0.028501706958056608,0.12412398152243047,0.028501706958056608,0.024963961610237062,1.9715272157967791,1.726813408092251
BPIC15_4,duration,nagelkerke,36,400,0.28951190573585356,0.9820534491288687,2.9304286103914925,0.11352116877066988,2.9304286103914925,2.59776292954084,10.121962352267381,8.972905355785269
BPIC15_4,duration,logloss_skill,36,400,0.022724783682979203,0.14899621699122495,0.039618271092150374,0.12033177375412953,0.039618271092150374,0.034850934258559965,1.7433948610839514,1.5336090650958853
BPIC15_4,handover,auc,36,400,0.0007271656482047208,0.032090626520323816,0.0011613215270944053,0.09367608501936547,0.0011613215270944053,0.0010525334729874906,1.5970522396947107,1.447446638308701
BPIC15_4,handover,ap,36,400,0.00017046769225531892,0.0141293094625306,0.00027114770068781816,0.09217698815763034,0.00027114770068781816,0.0002461541222925485,1.5906104969245738,1.4439928119861551
BPIC15_4,handover,brier_skill,36,400,0.0012268221722181658,0.06362764745669675,0.008916712582316653,0.13166885110469684,0.008916712582316653,0.007742659280972225,7.268137782507402,6.311150431014013
BPIC15_4,handover,nagelkerke,36,400,8.855421433723444,25.043952209990884,2938.088023758167,0.11684918873402561,2938.088023758167,2594.7748217528683,331.78409923770135,293.01539640692647
BPIC15_4,handover,logloss_skill,36,400,0.02671372597959219,0.18978555778313044,0.06420834893958417,0.12934878456100524,0.06420834893958417,0.05590307704558005,2.403571444456524,2.092672399510533
BPIC15_5,duration,auc,36,400,0.00279707170951566,0.07836763912865687,0.007694367574117465,0.14487093716000893,0.007694367574117465,0.006579677332801483,2.7508653238818175,2.352344886410087
BPIC15_5,duration,ap,36,400,0.004590473672553683,0.07672460441202615,0.007151701850633927,0.13654183129005648,0.007151701850633927,0.0061751953831078845,1.5579442037526012,1.345219649124492
BPIC15_5,duration,brier_skill,36,400,0.013333461388599463,0.15849336149114526,0.03868316480275393,0.11804818178480535,0.03868316480275393,0.03411668753210685,2.9012094965699813,2.5587269905230845
BPIC15_5,duration,nagelkerke,36,400,0.05597409472897966,0.7446243023876589,1.1855089999266073,0.10533578440972753,1.1855089999266073,1.0606324794945465,21.17960112917788,18.948631230750777
BPIC15_5,duration,logloss_skill,36,400,0.010778976266148002,0.15742092662057067,0.03921284163587055,0.12385393047309871,0.03921284163587055,0.03435617707424881,3.637900359704914,3.187332101485961
BPIC17,duration,auc,36,400,0.00011656260029031541,0.007861157162275664,7.091030535296073e-05,0.14585745387393131,7.091030535296073e-05,6.056750876075487e-05,0.6083452597689887,0.5196135691028086
BPIC17,duration,ap,36,400,7.9352708019002e-05,0.00720788817631516,5.688001694690241e-05,0.14032666275148395,5.688001694690241e-05,4.889823399149574e-05,0.7167999475617364,0.6162138030599592
BPIC17,duration,brier_skill,36,400,2.2910888286394387e-05,0.004568897725528856,2.675641695326962e-05,0.13152049072678643,2.675641695326962e-05,2.3237399865485092e-05,1.1678472095365633,1.0142513714444064
BPIC17,duration,nagelkerke,36,400,4.425671342409549e-05,0.006467210352125067,5.409280136011807e-05,0.12819863900767592,5.409280136011807e-05,4.7158177845638374e-05,1.2222507541797565,1.0655598709678062
BPIC17,duration,logloss_skill,36,400,1.3345296039040038e-05,0.003510095488697935,1.5839485689335764e-05,0.12832010797280502,1.5839485689335764e-05,1.3806961175446499e-05,1.1868965396495723,1.0345938475291905
