log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
Helpdesk,duration,B_half,logit,platt,with_f,1374,0.07034997869694182,0.23632331815514676,0.6514949344404369,-0.07585585314692694
Helpdesk,duration,B_half,logit,isotonic,without_f,1374,0.06438833166746277,0.23745865848789918,0.5580605353149858,-0.026703090635079495
Helpdesk,duration,B_half,logit,isotonic,with_f,1374,0.07130116336274483,0.23642787999894352,0.6002648363696221,-0.06182376085454202
Helpdesk,duration,B_half,hgb,raw,without_f,1374,0.05002577818288299,0.23492627669041438,0.5966688686905686,-0.09628232310106143
Helpdesk,duration,B_half,hgb,raw,with_f,1374,0.17591602925539845,0.2773734291533866,0.24134989287740946,-0.3059743016439387
Helpdesk,duration,B_half,hgb,platt,without_f,1374,0.06568291096879361,0.2384948126552244,0.5586566358439292,-0.06485914098334625
Helpdesk,duration,B_half,hgb,platt,with_f,1374,0.0715263057304857,0.23807731609881383,0.7184758151383142,-0.11661556981589177
Helpdesk,duration,B_half,hgb,isotonic,without_f,1374,0.0759958915442274,0.2392865443852043,0.526393815826711,-0.05462778535052899
Helpdesk,duration,B_half,hgb,isotonic,with_f,1374,0.06418911299049598,0.2384918749569838,0.6206551158340603,-0.049491784390590085
Helpdesk,duration,B_intake,logit,raw,without_f,1374,0.04408687115303886,0.23317007444562948,0.6596705321221316,-0.05753341924500783
Helpdesk,duration,B_intake,logit,raw,with_f,1374,0.08561110280528562,0.24236546144882712,0.5061051625140977,-0.070452513739145
Helpdesk,duration,B_intake,logit,platt,without_f,1374,0.04451797268920653,0.23238495620907532,0.6918074130513165,-0.06304575473487257
Helpdesk,duration,B_intake,logit,platt,with_f,1374,0.07308013955536868,0.23587540383297997,0.6755929484070028,-0.08092456264162974
Helpdesk,duration,B_intake,logit,isotonic,without_f,1374,0.06426076419294452,0.2367064878309794,0.5724718654424942,-0.0076472078077471015
Helpdesk,duration,B_intake,logit,isotonic,with_f,1374,0.07330863141227596,0.2360097832350855,0.616283394975317,-0.0672970578022651
Helpdesk,duration,B_intake,hgb,raw,without_f,1374,0.08462792449259302,0.2416297643720838,0.46313287040824946,0.0075407790739232105
Helpdesk,duration,B_intake,hgb,raw,with_f,1374,0.16948281884571115,0.26881348094899343,0.285734858417102,-0.22987523622872363
Helpdesk,duration,B_intake,hgb,platt,without_f,1374,0.03944170197591426,0.23179786936071467,0.7436783945154364,0.08044874127303364
Helpdesk,duration,B_intake,hgb,platt,with_f,1374,0.05774589036808429,0.23716836346109804,0.8555445246423078,-0.11939615203112482
Helpdesk,duration,B_intake,hgb,isotonic,without_f,1374,0.0758327654480829,0.23463227598536185,0.6232836989552817,0.11648606678620012
Helpdesk,duration,B_intake,hgb,isotonic,with_f,1374,0.052600994619562615,0.2349024140623027,0.7551588550196492,-0.033207983925195556
Helpdesk,duration,B_intake_g,logit,raw,without_f,1374,0.0636188075921193,0.23655305274976193,0.6089307806483264,-0.1555015355555323
Helpdesk,duration,B_intake_g,logit,raw,with_f,1374,0.09761769082167594,0.245176718499981,0.4746059968759999,-0.14935820272863648
Helpdesk,duration,B_intake_g,logit,platt,without_f,1374,0.06693061290945994,0.23486005601947718,1.0472651615436976,-0.25365679613039915
Helpdesk,duration,B_intake_g,logit,platt,with_f,1374,0.06154096650294959,0.23750260526472813,0.9808823356340776,-0.24156467065108617
Helpdesk,duration,B_intake_g,logit,isotonic,without_f,1374,0.05938654351467275,0.23612982816326064,0.7254325731272843,-0.2651709623809767
Helpdesk,duration,B_intake_g,logit,isotonic,with_f,1374,0.0651128860214921,0.23807568572318583,0.7282551939116352,-0.2703178059063074
Helpdesk,duration,B_intake_g,hgb,raw,without_f,1374,0.10040456729759395,0.24208088599839442,0.4492745139384107,0.1242279448809056
Helpdesk,duration,B_intake_g,hgb,raw,with_f,1374,0.13621752176733434,0.2613046492434847,0.27256476172322747,0.04163427102108606
Helpdesk,duration,B_intake_g,hgb,platt,without_f,1374,0.08570049477274749,0.23924973123181323,1.226509363791201,-0.23976134249324704
Helpdesk,duration,B_intake_g,hgb,platt,with_f,1374,0.0680878787632915,0.2389139694836513,1.331743789954881,-0.22874908117904127
Helpdesk,duration,B_intake_g,hgb,isotonic,without_f,1374,0.06687562046802231,0.23910355071214923,0.7122659445443862,-0.23480542788538727
