pair,b_lo,b_hi,instrument,population,regime,V_lo,R
B0_half -> B0+g,B0_half,B0+g,nb_0.375,0.75,rare-first,0.0056787297954512,-0.34256926952143063
B0 -> B0+g,B0,B0+g,nb_0.375,0.75,rare-first,0.0056787297954512,-0.34256926952143063
empty -> B0_half,empty,B0_half,nb_0.375,1.0,full,0.0050064368473751,-0.11714285714285766
empty -> B0,empty,B0,nb_0.375,1.0,full,0.0050064368473751,-0.145714285714297
empty -> B0+g,empty,B0+g,nb_0.375,1.0,full,0.0050064368473751,-0.5628571428571489
B0_half -> B0,B0_half,B0,nb_0.375,1.0,full,0.0055929051637819,-0.025575447570342247
B0_half -> B0+g,B0_half,B0+g,nb_0.375,1.0,full,0.0055929051637819,-0.39897698209719157
B0 -> B0+g,B0,B0+g,nb_0.375,1.0,full,0.0057359462165641,-0.3640897755610888
empty -> B0_half,empty,B0_half,nb_0.400,0.5,random,0.0030277022838887,0.047244094488207766
empty -> B0,empty,B0,nb_0.400,0.5,random,0.0030277022838887,0.047244094488207766
empty -> B0+g,empty,B0+g,nb_0.400,0.5,random,0.0030277022838887,-0.2677165354331108
B0_half -> B0,B0_half,B0,nb_0.400,0.5,random,0.0028846612311065,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.400,0.5,random,0.0028846612311065,-0.3305785123967624
B0 -> B0+g,B0,B0+g,nb_0.400,0.5,random,0.0028846612311065,-0.3305785123967624
empty -> B0_half,empty,B0_half,nb_0.400,0.5,rare-first,0.0052925189529394,-0.02702702702703741
empty -> B0,empty,B0,nb_0.400,0.5,rare-first,0.0052925189529394,-0.02702702702703741
empty -> B0+g,empty,B0+g,nb_0.400,0.5,rare-first,0.0052925189529394,-0.3468468468468835
B0_half -> B0,B0_half,B0,nb_0.400,0.5,rare-first,0.0054355600057216,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.400,0.5,rare-first,0.0054355600057216,-0.3114035087719522
B0 -> B0+g,B0,B0+g,nb_0.400,0.5,rare-first,0.0054355600057216,-0.3114035087719522
empty -> B0_half,empty,B0_half,nb_0.400,0.75,rare-first,0.0061746054450959,-0.07722007722009105
empty -> B0,empty,B0,nb_0.400,0.75,rare-first,0.0061746054450959,-0.07722007722009105
empty -> B0+g,empty,B0+g,nb_0.400,0.75,rare-first,0.0061746054450959,-0.4787644787645353
B0_half -> B0,B0_half,B0,nb_0.400,0.75,rare-first,0.0066514089543698,0.0
