world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate,median_shift
linear,V_oracle,nested,0.945,200,0.06024762057221409,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-0.0008318926578965491
linear,V_oracle,naive_pct,0.9,200,0.0563469504554653,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-5.2352547765905364e-05
linear,V_oracle,naive_basic,0.925,200,0.05634695045546529,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-5.2352547765905364e-05
linear,V_oracle,naive_bc,0.905,200,0.05614379946110444,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-5.2352547765905364e-05
linear,V_oracle,nested_pct,0.945,200,0.06024762057221409,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-0.0008318926578965491
linear,V_oracle,nested_basic,0.915,200,0.06024762057221409,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-0.0008318926578965491
linear,V_oracle,nested_bc,0.915,200,0.059320022464094804,-0.0016709728728339162,0.016056433484005473,0.1919673433573298,0.19029637048449588,-0.0008318926578965491
linear,V_limit,naive,0.9,200,0.0563469504554653,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-5.2352547765905364e-05
linear,V_limit,nested,0.945,200,0.06024762057221409,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-0.0008318926578965491
linear,V_limit,naive_pct,0.9,200,0.0563469504554653,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-5.2352547765905364e-05
linear,V_limit,naive_basic,0.92,200,0.05634695045546529,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-5.2352547765905364e-05
linear,V_limit,naive_bc,0.91,200,0.05614379946110444,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-5.2352547765905364e-05
linear,V_limit,nested_pct,0.945,200,0.06024762057221409,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-0.0008318926578965491
linear,V_limit,nested_basic,0.915,200,0.06024762057221409,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-0.0008318926578965491
linear,V_limit,nested_bc,0.915,200,0.059320022464094804,-0.001518896655765441,0.01604132017433231,0.19181526714026131,0.19029637048449588,-0.0008318926578965491
noisy,V_oracle,naive,0.01,200,0.03504680637151665,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.00012057140582226649
noisy,V_oracle,nested,0.015,200,0.03668115065931254,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.0014337326816687278
noisy,V_oracle,naive_pct,0.01,200,0.03504680637151665,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.00012057140582226649
noisy,V_oracle,naive_basic,0.025,200,0.03504680637151665,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.00012057140582226649
noisy,V_oracle,naive_bc,0.02,200,0.03492947610988366,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.00012057140582226649
noisy,V_oracle,nested_pct,0.015,200,0.03668115065931254,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.0014337326816687278
noisy,V_oracle,nested_basic,0.03,200,0.03668115065931254,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.0014337326816687278
noisy,V_oracle,nested_bc,0.035,200,0.03611673805864043,-0.04052813739003556,0.04162915860379622,0.11864771682575648,0.07811957943572093,-0.0014337326816687278
noisy,V_limit,naive,0.055,200,0.03504680637151665,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.00012057140582226649
noisy,V_limit,nested,0.035,200,0.03668115065931254,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.0014337326816687278
noisy,V_limit,naive_pct,0.055,200,0.03504680637151665,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.00012057140582226649
noisy,V_limit,naive_basic,0.055,200,0.03504680637151665,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.00012057140582226649
noisy,V_limit,naive_bc,0.045,200,0.03492947610988366,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.00012057140582226649
noisy,V_limit,nested_pct,0.035,200,0.03668115065931254,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.0014337326816687278
noisy,V_limit,nested_basic,0.07,200,0.03668115065931254,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.0014337326816687278
noisy,V_limit,nested_bc,0.075,200,0.03611673805864043,-0.03533189150645797,0.03658960895088303,0.11345147094217889,0.07811957943572093,-0.0014337326816687278
nonlinear,V_oracle,naive,0.93,200,0.04273145268255498,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,0.00014115599604219904
nonlinear,V_oracle,nested,0.95,200,0.04393406576455606,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,-0.0012687818905407948
nonlinear,V_oracle,naive_pct,0.93,200,0.04273145268255498,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,0.00014115599604219904
nonlinear,V_oracle,naive_basic,0.935,200,0.04273145268255498,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,0.00014115599604219904
nonlinear,V_oracle,naive_bc,0.925,200,0.04265554477237836,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,0.00014115599604219904
