log,target,metric,scale,axis,S,S_total,levels,var_total,n_cells
BPIC13_incidents,duration,nagelkerke,raw,rung,0.0037446011538001685,0.261182964402323,3,3.091380202467547,216
BPIC13_incidents,duration,nb_0.050,raw,learner,2.9657243833456794e-05,0.4229274031508723,2,1.7323737113319064e-06,216
BPIC13_incidents,duration,nb_0.050,raw,split,0.2136721768108273,0.879279330404328,6,1.7323737113319064e-06,216
BPIC13_incidents,duration,nb_0.050,raw,quality_level,0.02237694002362549,0.585073773889818,6,1.7323737113319064e-06,216
BPIC13_incidents,duration,nb_0.050,raw,rung,0.016464371836624036,0.2916668321465431,3,1.7323737113319064e-06,216
BPIC13_incidents,duration,nb_0.075,raw,learner,0.08456946333783073,0.5052244967821327,2,2.5508755323807292e-06,216
BPIC13_incidents,duration,nb_0.075,raw,split,0.1804307268544497,0.8314737915597171,6,2.5508755323807292e-06,216
BPIC13_incidents,duration,nb_0.075,raw,quality_level,0.012776506187966843,0.4108790820435464,6,2.5508755323807292e-06,216
BPIC13_incidents,duration,nb_0.075,raw,rung,0.0020190599412614257,0.4180702245510205,3,2.5508755323807292e-06,216
BPIC13_incidents,duration,nb_0.100,raw,learner,0.1331625064073984,0.42889173852042506,2,6.000608116252351e-06,216
BPIC13_incidents,duration,nb_0.100,raw,split,0.2948913459611594,0.6937806168682298,6,6.000608116252351e-06,216
BPIC13_incidents,duration,nb_0.100,raw,quality_level,0.045648695937324645,0.42237579046348905,6,6.000608116252351e-06,216
BPIC13_incidents,duration,nb_0.100,raw,rung,0.00563267784084242,0.33871709262387983,3,6.000608116252351e-06,216
BPIC13_incidents,duration,nb_0.125,raw,learner,0.11628181966867622,0.33751240213108846,2,1.0551827894760823e-05,216
BPIC13_incidents,duration,nb_0.125,raw,split,0.28736268777228113,0.6611412666420939,6,1.0551827894760823e-05,216
BPIC13_incidents,duration,nb_0.125,raw,quality_level,0.09495649366870404,0.4442251463271776,6,1.0551827894760823e-05,216
BPIC13_incidents,duration,nb_0.125,raw,rung,0.019712268991273554,0.29521501489264546,3,1.0551827894760823e-05,216
BPIC13_incidents,duration,nb_0.150,raw,learner,0.094402925738754,0.36442081618509015,2,2.0596444555596264e-05,216
BPIC13_incidents,duration,nb_0.150,raw,split,0.20795248694568005,0.6219026230161147,6,2.0596444555596264e-05,216
BPIC13_incidents,duration,nb_0.150,raw,quality_level,0.2176009506854778,0.4833862167317442,6,2.0596444555596264e-05,216
BPIC13_incidents,duration,nb_0.150,raw,rung,1.2894740099130991e-05,0.29273550970950635,3,2.0596444555596264e-05,216
BPIC13_incidents,duration,nb_0.175,raw,learner,0.031595203322793176,0.2245330510605792,2,4.639177061611134e-05,216
BPIC13_incidents,duration,nb_0.175,raw,split,0.2217359025667347,0.6332251396560917,6,4.639177061611134e-05,216
BPIC13_incidents,duration,nb_0.175,raw,quality_level,0.2928885358288938,0.5085936383314085,6,4.639177061611134e-05,216
BPIC13_incidents,duration,nb_0.175,raw,rung,0.0022840573742830507,0.24371721005358604,3,4.639177061611134e-05,216
BPIC13_incidents,duration,nb_0.200,raw,learner,0.040543952810066314,0.18216785554896708,2,8.672982768175384e-05,216
BPIC13_incidents,duration,nb_0.200,raw,split,0.2343314704689469,0.6130900398130917,6,8.672982768175384e-05,216
BPIC13_incidents,duration,nb_0.200,raw,quality_level,0.2883641487072306,0.4883309759004454,6,8.672982768175384e-05,216
BPIC13_incidents,duration,nb_0.200,raw,rung,0.01921647185537395,0.27796619827681823,3,8.672982768175384e-05,216
BPIC13_incidents,duration,nb_0.225,raw,learner,0.012744602150389379,0.10909352960962171,2,0.00015491809725598325,216
BPIC13_incidents,duration,nb_0.225,raw,split,0.2598966246038057,0.5409868481665323,6,0.00015491809725598325,216
BPIC13_incidents,duration,nb_0.225,raw,quality_level,0.30621226613099106,0.5039318936120663,6,0.00015491809725598325,216
BPIC13_incidents,duration,nb_0.225,raw,rung,0.10330281628808133,0.30234533137714936,3,0.00015491809725598325,216
BPIC13_incidents,duration,nb_0.250,raw,learner,0.0017236270897965896,0.07889508588394012,2,0.0002762568210983554,216
BPIC13_incidents,duration,nb_0.250,raw,split,0.17769239826507205,0.438810192290894,6,0.0002762568210983554,216
BPIC13_incidents,duration,nb_0.250,raw,quality_level,0.28532148483388925,0.4324605015457974,6,0.0002762568210983554,216
BPIC13_incidents,duration,nb_0.250,raw,rung,0.22836248531654169,0.44598066744785814,3,0.0002762568210983554,216
BPIC13_incidents,duration,nb_0.275,raw,learner,0.0006213208929286327,0.15624971586729397,2,0.00045423593668579435,216
BPIC13_incidents,duration,nb_0.275,raw,split,0.14625230441281606,0.46152518425142974,6,0.00045423593668579435,216
BPIC13_incidents,duration,nb_0.275,raw,quality_level,0.22047183371423745,0.35674146888382907,6,0.00045423593668579435,216
BPIC13_incidents,duration,nb_0.275,raw,rung,0.257673216039331,0.562804360724016,3,0.00045423593668579435,216
BPIC13_incidents,duration,nb_0.300,raw,learner,0.00869769358794124,0.17005521184037276,2,0.0008291579857048675,216
BPIC13_incidents,duration,nb_0.300,raw,split,0.13785816333598128,0.48670828903326857,6,0.0008291579857048675,216
BPIC13_incidents,duration,nb_0.300,raw,quality_level,0.17616101443498805,0.2879001552694309,6,0.0008291579857048675,216
