log,target,perm,n_cells,n_cases,capped,median,share_positive,share_dominant
BPIC13_closed,handover,45,24,1487,False,-0.007741142226237119,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,43,24,1487,False,-0.00709277125689739,0.375,0.625
BPIC13_closed,handover,44,24,1487,False,-0.01170183982683981,0.25,0.75
BPIC13_closed,handover,46,24,1487,False,-0.004033674596005177,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,47,24,1487,False,-0.009435876623376693,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,48,24,1487,False,-0.011877561017974325,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,49,24,1487,False,-0.006425865800865793,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,50,24,1487,False,-0.0024912590546059543,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,51,24,1487,False,-0.030573593073593086,0.125,0.875
BPIC13_closed,handover,52,24,1487,False,-0.012344426406926456,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,54,24,1487,False,0.011877286055809011,0.5833333333333334,0.5833333333333334
BPIC13_closed,handover,53,24,1487,False,-0.002873130583157857,0.375,0.625
BPIC13_closed,handover,56,24,1487,False,-0.007402062957618527,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,55,24,1487,False,-0.00760313158687137,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,57,24,1487,False,-0.003340871777525012,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,58,24,1487,False,-0.0029252104540045676,0.4583333333333333,0.5416666666666667
BPIC13_closed,handover,59,24,1487,False,-0.006556564483393756,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,60,24,1487,False,-0.013194110416332616,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,61,24,1487,False,-0.013855791591225186,0.25,0.75
BPIC13_closed,handover,62,24,1487,False,-0.006084698856548387,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,63,24,1487,False,-0.011523888387032055,0.375,0.625
BPIC13_closed,handover,64,24,1487,False,-0.0034060581782465182,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,65,24,1487,False,-0.008849799860131957,0.375,0.625
BPIC13_closed,handover,67,24,1487,False,-0.018712988055806457,0.041666666666666664,0.9583333333333334
BPIC13_closed,handover,68,24,1487,False,-0.01237824675324678,0.125,0.875
BPIC13_closed,handover,66,24,1487,False,-0.017518939393939392,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,69,24,1487,False,-0.019045468232460172,0.125,0.875
BPIC13_closed,handover,70,24,1487,False,-0.002409462902349113,0.5,0.5
BPIC13_closed,handover,71,24,1487,False,-0.01648599819331531,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,72,24,1487,False,-0.015460348581961159,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,74,24,1487,False,-0.0099932249322493,0.375,0.625
BPIC13_closed,handover,73,24,1487,False,-0.026066372526399595,0.25,0.75
BPIC13_closed,handover,75,24,1487,False,-0.016791623731833738,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,76,24,1487,False,-0.009943181818181768,0.25,0.75
BPIC13_closed,handover,77,24,1487,False,0.005343614718614664,0.625,0.625
BPIC13_closed,handover,78,24,1487,False,0.0015898312392214065,0.5416666666666666,0.5416666666666666
BPIC13_closed,handover,79,24,1487,False,-0.003972826487223524,0.375,0.625
BPIC13_closed,handover,80,24,1487,False,-0.0027866397065245962,0.4583333333333333,0.5416666666666667
BPIC13_closed,handover,81,24,1487,False,-0.0034496753246752165,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,82,24,1487,False,-0.01034363875234473,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,83,24,1487,False,-0.0009295146913711472,0.4583333333333333,0.5416666666666667
BPIC13_closed,handover,84,24,1487,False,-0.016216250125464238,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,85,24,1487,False,-0.019371675198233462,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,87,24,1487,False,-0.01113759709626927,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,86,24,1487,False,0.0033436213991769326,0.625,0.625
BPIC13_closed,handover,88,24,1487,False,-0.008446695142155847,0.375,0.625
BPIC13_closed,handover,91,24,1487,False,-0.0075592191107096696,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,89,24,1487,False,-0.006540983294032021,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,90,24,1487,False,-0.011771191395175129,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,92,24,1487,False,0.0018767593505059077,0.5416666666666666,0.5416666666666666
BPIC13_closed,handover,94,24,1487,False,-0.015320616883116922,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,93,24,1487,False,-0.00875133285363644,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,95,24,1487,False,-0.006450999379522371,0.041666666666666664,0.9583333333333334
BPIC13_closed,handover,96,24,1487,False,-0.013048278630934551,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,99,24,1487,False,-0.003007576898159503,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,97,24,1487,False,-0.017413506679258783,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,98,24,1487,False,-0.005478896103896069,0.4166666666666667,0.5833333333333333
BPIC13_incidents,duration,0,24,7554,False,-0.008762967201410954,0.25,0.75
BPIC13_incidents,duration,-1,24,7554,False,0.009817273214659195,0.625,0.625
BPIC13_incidents,duration,2,24,7554,False,-0.007171445712036761,0.041666666666666664,0.9583333333333334
BPIC13_incidents,duration,3,24,7554,False,-0.012553808509674191,0.0,1.0
BPIC13_incidents,duration,1,24,7554,False,-0.00777687962902901,0.16666666666666666,0.8333333333333334
BPIC13_incidents,duration,5,24,7554,False,-0.00877175522287954,0.20833333333333334,0.7916666666666666
BPIC13_incidents,duration,4,24,7554,False,-0.011872079329198038,0.125,0.875
BPIC13_incidents,duration,6,24,7554,False,-0.017143957587566316,0.0,1.0
BPIC13_incidents,duration,7,24,7554,False,-0.010586630653348972,0.16666666666666666,0.8333333333333334
BPIC13_incidents,duration,8,24,7554,False,-0.00887086895076361,0.20833333333333334,0.7916666666666666
BPIC13_incidents,duration,10,24,7554,False,-0.01040437298881658,0.08333333333333333,0.9166666666666666
