log,domain,target,population,regime,populated,baseline,instrument,without_f,with_f,V,n,n_test,card_f,card_g,n_b0,f,g
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.125,0.9373888877536425,0.9374093221897541,2.0434436111660403e-05,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.150,0.9355473844522789,0.9365066009238769,0.0009592164715980234,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.175,0.93180626173045,0.9348534696124454,0.0030472078819954174,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.200,0.9297310828207695,0.933021027034759,0.0032899442139894264,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.225,0.9275220214007872,0.9312087891805594,0.003686767779772171,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.250,0.9251656892194726,0.9292423592237639,0.0040766700042912385,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.275,0.9226468513704813,0.9271896379088385,0.0045427865383571575,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.300,0.9199480965322763,0.9250873572143777,0.005139260682101465,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.325,0.9170494339282782,0.9230862961373618,0.0060368622090836155,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.350,0.9138562767514277,0.9207937678113618,0.006937491059934131,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.375,0.9105707338006008,0.9183950793877843,0.007824345587183479,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.400,0.9069279549897487,0.9164640251752253,0.009536070185476642,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.425,0.9028968922776488,0.9142375600927901,0.011340667815141314,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.450,0.89856438797935,0.9108724203846504,0.012308032405300429,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.475,0.8918950214902154,0.9062774587735252,0.01438243728330979,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.500,0.8867114861965384,0.9031612072664855,0.016449721069947132,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.525,0.8809823156087903,0.8854241167214991,0.004441801112708865,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.550,0.8746165705112923,0.8816971026240086,0.007080532112716309,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.575,0.867001270541116,0.877468509932939,0.010467239391823036,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.600,0.8382205693033901,0.8748033185524245,0.036582749249034485,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.625,0.8308777952605731,0.8637295570495398,0.03285176178896665,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.650,0.8224451846251302,0.8587776120317959,0.03633242740666576,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.675,0.8238999592883157,0.8539715898462859,0.03007163055797013,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.700,0.8145472750679446,0.8481142421208221,0.03356696705287754,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.725,0.8034941028075058,0.840385690693229,0.03689158788572322,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.750,0.7923043913603204,0.8293520240308969,0.037047632670576536,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.775,0.7764347812266565,0.8192596830846008,0.0428249018579443,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,1.0,full,1.0,B0+g,nb_0.800,0.7559004434272636,0.8059648119010155,0.05006436847375195,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,auc,0.5,0.865811487697482,0.36581148769748195,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,ap,0.9452152767844372,0.9880007747450636,0.04278549796062647,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,brier_skill,-1.9904186030261783e-05,0.2261301032469616,0.22615000743299185,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nagelkerke,-3.9619626170500563e-05,0.34977991873619513,0.3498195383623656,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.050,0.9423318702994075,0.9423318702994075,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.075,0.9407732721993914,0.9407732721993914,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.100,0.9391280853160412,0.9391280853160412,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.125,0.9373888877536425,0.9373888877536425,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.150,0.9355473844522789,0.9355473844522789,0.0,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.175,0.9335942748902268,0.9348881462313017,0.001293871341074837,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.200,0.9315190959805464,0.9331461879559434,0.0016270919753970103,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.225,0.929310034560564,0.9312918452757232,0.001981810715159127,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.250,0.9269537023792495,0.9293138797501549,0.0023601773709054363,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.275,0.9244348645302581,0.9271995028090303,0.002764638278772158,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.300,0.9217361096920531,0.9249340989435396,0.0031979892514865105,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.325,0.918837447088055,0.9225008873843089,0.0036634402962538726,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.350,0.9157158104375955,0.9198364930735121,0.004120682635916584,46606,13982,3019,57,4,CI Name (aff),assignment group
BPIC14,itsm,handover,0.75,rare-first,0.7515126807707162,empty,nb_0.375,0.9123444428550994,0.9174510084394221,0.005106565584322653,46606,13982,3019,57,4,CI Name (aff),assignment group
