family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling,ratio_emp_over_mult
decision-curve,nonzero,1100,400,q_mult_hi,2000,0.921,1100.0,0.006031542091372652,0.9954254545454546,0.9457940909090908,8.094075252184643,4.054335407546105,4.796525003780486,1.1797712763205075,1.112,79.451,1.6156326760257047,0.9553424073014797,12.303343155722235,0.0,1.1650335137244148
decision-curve,nonzero,1100,400,q_emp,2000,0.9425,1100.0,0.005205465877325487,0.9976827272727273,0.9457940909090908,11.575185750439541,4.703626736951566,4.796525003780486,1.0844699387090992,0.5375,37.98,1.6156326760257047,0.9553424073014797,12.303343155722235,0.0,1.1650335137244148
decision-curve,nonzero,1100,400,q_emp_hi,2000,0.957,1100.0,0.004536022486716751,0.9997986363636364,0.9457940909090908,17.041979750966775,8.601438816634289,4.796525003780486,0.8707179641316357,0.041,1.8575,1.6156326760257047,0.9553424073014797,12.303343155722235,0.0,1.1650335137244148
decision-curve,nonzero,1100,400,q_rad,2000,0.9155,1100.0,0.006219314672855845,0.99519,0.9457940909090908,7.931185351436476,3.972624637035603,4.796525003780486,1.2062912519339763,1.1795,85.7285,1.6156326760257047,0.9553424073014797,12.303343155722235,0.0,1.1650335137244148
whole-surface,degenerate,180,400,q_mult,2000,0.9235,180.0,0.005943389184631948,0.9959527777777778,0.9461444444444443,7.168127514837407,3.588293750759582,4.728339702374796,1.3201755266767052,0.7285,0.7285,0.0,0.5677568935935007,5.799698998231511,0.0,1.1841254384329423
whole-surface,degenerate,180,400,q_mult_hi,2000,0.924,180.0,0.005925537950262405,0.9960111111111111,0.9461444444444443,7.2037247585261195,3.606178318204046,4.728339702374796,1.313816530260625,0.718,0.718,0.0,0.5677568935935007,5.799698998231511,0.0,1.1841254384329423
whole-surface,degenerate,180,400,q_emp,2000,0.945,180.0,0.005097793640389931,0.9976944444444443,0.9461444444444443,8.923135608678512,4.251036311955893,4.728339702374796,1.0513291241661462,0.415,0.415,0.0,0.5677568935935007,5.799698998231511,0.0,1.1841254384329423
whole-surface,degenerate,180,400,q_emp_hi,2000,0.966,180.0,0.004052406692324946,0.9994861111111111,0.9461444444444443,11.969726589294147,6.048821734166661,4.728339702374796,0.8225719965213455,0.0925,0.0925,0.0,0.5677568935935007,5.799698998231511,0.0,1.1841254384329423
whole-surface,degenerate,180,400,q_rad,2000,0.92,180.0,0.006066300355241239,0.9958444444444444,0.9461444444444443,7.106110770385078,3.5566351725744765,4.728339702374796,1.3264469760524769,0.748,0.748,0.0,0.5677568935935007,5.799698998231511,0.0,1.1841254384329423
whole-surface,gaussian,180,400,q_mult,2000,0.9425,180.0,0.005205465877325487,0.9996194444444444,0.9458111111111112,7.170129981888509,3.587017815274463,3.6408960118841778,1.0154190754524055,0.0685,0.0685,0.0,-0.03874879732939196,0.29008090657173535,0.0,0.9926843828168592
whole-surface,gaussian,180,400,q_mult_hi,2000,0.945,180.0,0.005097793640389931,0.9996361111111112,0.9458111111111112,7.205928719010637,3.6047071225178744,3.6408960118841778,1.0103641987132652,0.0655,0.0655,0.0,-0.03874879732939196,0.29008090657173535,0.0,0.9926843828168592
whole-surface,gaussian,180,400,q_emp,2000,0.9365,180.0,0.005452877680637995,0.9995833333333333,0.9458111111111112,7.120261427545158,3.560811435630698,3.6408960118841778,1.0255054479804475,0.075,0.075,0.0,-0.03874879732939196,0.29008090657173535,0.0,0.9926843828168592
whole-surface,gaussian,180,400,q_emp_hi,2000,0.959,180.0,0.00443390347211123,0.9997416666666666,0.9458111111111112,7.430084150076217,3.7140483982502275,3.6408960118841778,0.9789010467456272,0.0465,0.0465,0.0,-0.03874879732939196,0.29008090657173535,0.0,0.9926843828168592
