log,target,learner,quality,level,metric,b_lo,b_hi,V_lo,V_hi,D,D_se,D_lo,D_hi,R,R_fieller_lo,R_fieller_hi,fieller_kind,denom_t
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.675,B_intake,B_intake_g,-0.002777777777777768,0.0,-0.002777777777777768,0.015026069368677867,-0.028028846153846137,0.03358974358974359,1.0,-inf,inf,unbounded,-0.22018377875699166
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.700,B_half,B_intake,0.0027777777777778234,0.0037037037037036535,-0.0009259259259258301,0.03473724430858544,-0.03527777777777783,0.0962962962962963,-0.3333333333332933,-inf,inf,unbounded,0.08869414371577836
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.700,B_half,B_intake_g,0.0027777777777778234,0.002777777777777768,5.551115123125783e-17,0.032226014093841376,-0.023148148148148202,0.096087962962963,1.9984014443252818e-14,-inf,inf,unbounded,0.08869414371577836
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.700,B_intake,B_intake_g,0.0037037037037036535,0.002777777777777768,0.0009259259259258856,0.015327520111895452,-0.025092592592592583,0.03486111111111122,0.24999999999999245,-inf,inf,unbounded,0.22805280925854082
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.725,B_half,B_intake,0.07550505050505057,-0.008333333333333415,0.08383838383838399,0.04437836586970971,-0.020340909090909114,0.1266792929292929,1.1103678929765897,-inf,inf,unbounded,1.711213837721634
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.725,B_half,B_intake_g,0.07550505050505057,0.0,0.07550505050505057,0.04483952351639057,-0.017619949494949504,0.12645202020202018,1.0,-inf,inf,unbounded,1.711213837721634
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.725,B_intake,B_intake_g,-0.008333333333333415,0.0,-0.008333333333333415,0.01145407876260295,-0.02474747474747474,0.021969696969696972,1.0,-inf,inf,unbounded,-0.6170078258227595
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.750,B_half,B_intake,0.08888888888888885,-0.002777777777777768,0.09166666666666662,0.05082199040485712,-0.018819444444444403,0.1688194444444445,1.03125,-inf,inf,unbounded,1.7797411292291583
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.750,B_half,B_intake_g,0.08888888888888885,0.0,0.08888888888888885,0.050346684705312075,-0.01388888888888884,0.1709722222222222,1.0,-inf,inf,unbounded,1.7797411292291583
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.750,B_intake,B_intake_g,-0.002777777777777768,0.0,-0.002777777777777768,0.01597005058670699,-0.02715277777777762,0.032708333333333256,1.0,-inf,inf,unbounded,-0.15905163472153977
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.775,B_half,B_intake,0.11604938271604937,0.009567901234567855,0.10648148148148151,0.06023681345419742,-0.013981481481481574,0.19622685185185182,0.9175531914893621,-1.5651044176063094,1.6898628566579585,bounded,2.0356785047094976
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.775,B_half,B_intake_g,0.11604938271604937,0.0,0.11604938271604937,0.05793699323356765,-0.010285493827160527,0.19596450617283953,1.0,0.22504361272396278,2.5890673119394094,bounded,2.0356785047094976
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.775,B_intake,B_intake_g,0.009567901234567855,0.0,0.009567901234567855,0.019484044358902605,-0.03912037037037035,0.052808641975308684,1.0,-inf,inf,unbounded,0.43820666335053843
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.800,B_half,B_intake,0.041666666666666685,0.005555555555555536,0.03611111111111115,0.07048052980828552,-0.041041666666666664,0.21388888888888907,0.8666666666666671,-inf,inf,unbounded,0.6091393183100117
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.800,B_half,B_intake_g,0.041666666666666685,0.011111111111111072,0.030555555555555614,0.07358573186128822,-0.047222222222222276,0.2083333333333335,0.7333333333333344,-inf,inf,unbounded,0.6091393183100117
BPIC15_1,handover,logit,mask_rare,0.5,nb_0.800,B_intake,B_intake_g,0.005555555555555536,0.011111111111111072,-0.005555555555555536,0.023207561415134192,-0.04166666666666674,0.052152777777777805,-1.0,-inf,inf,unbounded,0.2171177738494666
BPIC15_3,duration,logit,clean,1.0,ap,B_half,B_intake,0.12913227342008382,0.010162402055568509,0.11896987136451531,0.028159169991405157,0.048640293236310486,0.1508437171427204,0.9213023840871374,0.6453593087695169,1.3695979377991434,bounded,3.9487719930778096
BPIC15_3,duration,logit,clean,1.0,ap,B_half,B_intake_g,0.12913227342008382,0.008258520001733105,0.12087375341835072,0.028395636539313214,0.045705440851242465,0.15475439912924094,0.9360460419149667,0.661905472198568,1.3840808749824045,bounded,3.9487719930778096
BPIC15_3,duration,logit,clean,1.0,ap,B_intake,B_intake_g,0.010162402055568509,0.008258520001733105,0.001903882053835404,0.005747462042905407,-0.010523683750713993,0.01220840033460065,0.18734567314153527,-inf,inf,unbounded,0.476062937114856
BPIC15_3,duration,logit,clean,1.0,auc,B_half,B_intake,0.12298941202973634,0.03625816625366096,0.08673124577607538,0.024097579006970626,0.031486136223286595,0.12342610793035735,0.7051927832219047,0.42900975350572346,0.999823410973606,bounded,4.563855517471165
BPIC15_3,duration,logit,clean,1.0,auc,B_half,B_intake_g,0.12298941202973634,0.03537958999774726,0.08760982203198908,0.024468001012394144,0.031597239232015656,0.12484112364363104,0.7123362945324659,0.43293449794554784,1.0064992685025238,bounded,4.563855517471165
