log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.100,0.0,0.00021359886098958983,4.778936706363567,-0.0010207754372205998,0.0010207754372205998,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.125,6.130330833520325e-05,0.0003189690516865275,4.778936706363567,-0.0014630296009635207,0.0015856362176339272,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.150,7.572761617880008e-05,0.0005790727492379342,4.778936706363567,-0.002691624400809229,0.002843079633166829,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.175,0.0015279385183547545,0.0008846788053551322,4.778936706363567,-0.002699885497898756,0.005755762534608265,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.200,0.0016270919753968993,0.0009507349840613022,4.778936706363567,-0.002916410337957639,0.006170594288751437,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.225,0.002004881852704643,0.0009523362571292539,4.778936706363567,-0.0025462728432912403,0.006556036548700526,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.250,0.0017641729843130838,0.0008990973573252663,4.778936706363567,-0.0025325563792031117,0.006060902347829279,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.275,0.002481022398255872,0.0008891052448438213,4.778936706363567,-0.0017679552921486315,0.006730000088660376,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.300,0.0031366859431513072,0.0008822284100592569,4.778936706363567,-0.0010794277890776444,0.007352799675380259,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.325,0.004129648171988243,0.0009498852919480015,4.778936706363567,-0.0004097935165369342,0.008669089860513419,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.350,0.00507245579481308,0.0010283523574382478,4.778936706363567,0.00015802496677593068,0.00998688662285023,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.375,0.006150765269632319,0.0011192713633854815,4.778936706363567,0.0008018382667678474,0.011499692272496791,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.400,0.007318933867353161,0.0012451923113438246,4.778936706363567,0.0013682386241904675,0.013269629110515855,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.425,0.008641545340904111,0.0013449534726257192,4.778936706363567,0.0022140978222219146,0.015068992859586308,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.450,0.010090896087176948,0.0014491238087029552,4.778936706363567,0.003165625125701021,0.017016167048652876,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.475,0.011909870513789667,0.0016559592562625884,4.778936706363567,0.00399614603979387,0.019823594987785464,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.500,0.01273065369761106,0.0017643588221784125,4.778936706363567,0.004298894559106255,0.021162412836115866,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.525,0.01522634364483666,0.0019077167073849397,4.778936706363567,0.006109486246571727,0.024343201043101594,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.550,0.01805495955116898,0.0037477294230155974,4.778936706363567,0.00014479784600099355,0.03596512125633697,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.575,0.020841922808316538,0.00865782242157163,4.778936706363567,-0.02053326255930963,0.062217108175942705,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.600,0.005757402374481413,0.010031721067622016,4.778936706363567,-0.04218355766357815,0.05369836241254097,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.625,0.0036475468459448157,0.006338385844585859,4.778936706363567,-0.026643197925841782,0.03393829161773142,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.650,0.009297668430839678,0.0053484406332270015,4.778936706363567,-0.016262190833095238,0.0348575276947746,False
