log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC15_1,handover,True,0.45,0.0,3.4722222222222,3.4722222222222,0.5
BPIC15_1,handover,True,0.475,0.0,0.0,3.6044973544973,0.75
BPIC15_1,handover,True,0.5,0.0,1.3888888888888749,1.3888888888888749,0.5
BPIC15_1,handover,True,0.525,0.0,0.0,8.6988304093567,0.75
BPIC15_1,handover,True,0.55,0.0,0.0,0.0,1.0
BPIC15_1,handover,True,0.575,0.0,0.0,0.0,1.0
BPIC15_1,handover,True,0.6,0.0,0.0,0.0,1.0
BPIC15_1,handover,True,0.625,0.0,0.0,29.398148148148145,0.75
BPIC15_1,handover,True,0.65,0.0,0.0,46.62698412698405,0.75
BPIC15_1,handover,True,0.675,0.0,0.0,57.53205128205133,0.75
BPIC15_1,handover,True,0.7,0.0,0.0,0.0,1.0
BPIC15_1,handover,True,0.725,0.0,0.0,0.0,1.0
BPIC15_1,handover,True,0.75,0.0,0.0,62.50000000000003,0.75
BPIC15_1,handover,True,0.775,0.0,0.0,64.96913580246911,0.75
BPIC15_1,handover,True,0.8,0.0,0.0,83.33333333333327,0.75
BPIC15_3,duration,True,0.05,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.075,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.1,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.125,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.15,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.175,0.35819184755356,0.35819184755356,0.0,0.6000000000000001
BPIC15_3,duration,True,0.2,0.2364066193853178,0.2364066193853178,0.0,0.6000000000000001
BPIC15_3,duration,True,0.225,0.0,0.0,0.8846183177,0.6000000000000001
BPIC15_3,duration,True,0.25,0.0,0.0,5.673758865248219,0.6000000000000001
BPIC15_3,duration,True,0.275,0.0,0.0,14.34743621097252,0.8
BPIC15_3,duration,True,0.3,0.0,0.0,19.31779804120232,0.8
BPIC15_3,duration,True,0.325,0.0,0.0,23.55310393135452,0.8
BPIC15_3,duration,True,0.35,0.0,0.0,0.0,1.0
