term,order,share,variance,log,target,metric,total_variance
family x encoding x rung x split,4,0.0012739446764129803,2.276009299684725e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x quality_level x rung x split,4,0.00039334419076618367,7.027424759774873e-07,BPIC14,duration,logloss_skill,0.001786584097272762
encoding x quality_level x rung x split,4,0.0008107886315120043,1.4485420753088922e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family x encoding x quality_level x rung x split,5,0.0011360743789070667,2.0296924186743954e-06,BPIC14,duration,logloss_skill,0.001786584097272762
family,1,0.06830244264670467,0.0003260568352157218,BPIC14,duration,nagelkerke,0.004773721445106367
encoding,1,0.09991184677118298,0.0004769513255517776,BPIC14,duration,nagelkerke,0.004773721445106367
quality_level,1,0.06106233320606453,0.0002914945695140209,BPIC14,duration,nagelkerke,0.004773721445106367
rung,1,0.48329624716894737,0.0023071216594498316,BPIC14,duration,nagelkerke,0.004773721445106367
split,1,0.011754148405651983,5.611103031302369e-05,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding,2,0.09782012199703215,0.0004669660141401535,BPIC14,duration,nagelkerke,0.004773721445106367
family x quality_level,2,0.0004913085569688032,2.345370194566239e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x rung,2,0.015416466752438775,7.359391794388629e-05,BPIC14,duration,nagelkerke,0.004773721445106367
family x split,2,0.003505785958552569,1.673564561229518e-05,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x quality_level,2,0.012681357887225988,6.053727009931947e-05,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x rung,2,0.05455165829172419,0.00026041442105331834,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x split,2,0.004283279588349777,2.0447183626291702e-05,BPIC14,duration,nagelkerke,0.004773721445106367
quality_level x rung,2,0.010497430102677988,5.0111807199659045e-05,BPIC14,duration,nagelkerke,0.004773721445106367
quality_level x split,2,0.005841787223214741,2.7887064945208587e-05,BPIC14,duration,nagelkerke,0.004773721445106367
rung x split,2,0.005513017877920533,2.631761167108405e-05,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x quality_level,3,0.00971218268094846,4.636325474283432e-05,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x rung,3,0.032210939744185776,0.00015376605382384865,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x split,3,0.0013950108911231138,6.659393407111352e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x quality_level x rung,3,0.0007362016110129068,3.5144214184141696e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x quality_level x split,3,0.00042958203501459313,2.0507049729815976e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x rung x split,3,0.0012163952949663594,5.8067323053073955e-06,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x quality_level x rung,3,0.0021784913574912483,1.0399510911234853e-05,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x quality_level x split,3,0.005483388680644904,2.6176170136648088e-05,BPIC14,duration,nagelkerke,0.004773721445106367
encoding x rung x split,3,0.0022914086433431314,1.0938546580229193e-05,BPIC14,duration,nagelkerke,0.004773721445106367
quality_level x rung x split,3,0.000560228058390528,2.674372696489166e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x quality_level x rung,4,0.0006908060671116348,3.2977157369803997e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x quality_level x split,4,0.004722841147966367,2.254552806987782e-05,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x rung x split,4,0.0012114474679701431,5.783112757468881e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x quality_level x rung x split,4,0.00038506866436106607,1.8382105408988872e-06,BPIC14,duration,nagelkerke,0.004773721445106367
