rep,psi,is_affine,m_changed,R,R_psi,R_shift
123,beta-cdf,False,0.0780837136443791,-0.722715608629207,-0.6312925901507738,0.09142301847843326
123,affine,True,0.046313566657978034,-0.722715608629207,-0.7227156086292075,4.440892098500626e-16
124,square,False,0.007694433772410525,-1.0243581170139913,-0.8996580480592018,0.12470006895478947
124,sqrt,False,0.01935964465380202,-1.0243581170139913,-1.1783570697026065,0.1539989526886152
124,logit-shift,False,0.005927447768533489,-1.0243581170139913,-1.2373455366317043,0.21298741961771306
124,logit-scale,False,0.030096591506800108,-1.0243581170139913,-0.8837181094843447,0.14064000752964656
124,beta-cdf,False,0.04692463376540529,-1.0243581170139913,-0.7515105787433742,0.27284753827061703
124,affine,True,0.03819783154784706,-1.0243581170139913,-1.02435811701399,1.3322676295501878e-15
125,square,False,0.00322504677651414,-1.0333759585721456,-1.1137321590591172,0.08035620048697156
125,sqrt,False,0.02899150290279978,-1.0333759585721456,-1.006521856903475,0.026854101668670527
125,logit-shift,False,0.015456963074913344,-1.0333759585721456,-0.9785297680720371,0.05484619050010853
125,logit-scale,False,0.05023497707662278,-1.0333759585721456,-1.0118982997344115,0.021477658837734115
125,beta-cdf,False,0.09690844621072414,-1.0333759585721456,-0.9940048930414973,0.039371065530648286
125,affine,True,0.04878682219212377,-1.0333759585721456,-1.0333759585721478,2.220446049250313e-15
126,square,False,0.0017404568167607992,-0.504019035284275,-0.49849511052953255,0.005523924754742504
126,sqrt,False,0.032811813550176705,-0.504019035284275,-0.5218844378701424,0.01786540258586733
126,logit-shift,False,0.017367096645080737,-0.504019035284275,-0.5205062721687834,0.01648723688450837
126,logit-scale,False,0.04929137069452488,-0.504019035284275,-0.48766694734221994,0.016352087942055116
126,beta-cdf,False,0.08273684744689191,-0.504019035284275,-0.4614468023337228,0.042572232950552236
126,affine,True,0.05536645241112209,-0.504019035284275,-0.5040190352842755,4.440892098500626e-16
127,square,False,0.0021907204271264247,-0.7954726318619552,-0.7581130267113354,0.03735960515061976
127,sqrt,False,0.03361494538241616,-0.7954726318619552,-0.8302452062304846,0.03477257436852943
127,logit-shift,False,0.019669866934166058,-0.7954726318619552,-0.840558403801589,0.04508577193963381
127,logit-scale,False,0.0457021289228598,-0.7954726318619552,-0.7823795544938252,0.013093077368129924
127,beta-cdf,False,0.08036579062921723,-0.7954726318619552,-0.7722804596552011,0.02319217220675407
127,affine,True,0.0544586817100956,-0.7954726318619552,-0.7954726318619518,3.3306690738754696e-15
128,square,False,0.006119079648681414,-0.5782506849390003,-0.5662984284213788,0.011952256517621551
128,sqrt,False,0.03115233537039558,-0.5782506849390003,-0.5993796476199709,0.02112896268097053
128,logit-shift,False,0.020877775591079006,-0.5782506849390003,-0.6078990462705365,0.029648361331536144
128,logit-scale,False,0.0407555597410455,-0.5782506849390003,-0.5378204413114676,0.04043024362753278
128,beta-cdf,False,0.07276474032493646,-0.5782506849390003,-0.5087179639445825,0.06953272099441787
128,affine,True,0.046847365326297685,-0.5782506849390003,-0.5782506849389988,1.5543122344752192e-15
129,square,False,0.005416825632311578,-0.4540050728561065,-0.5644624851285156,0.11045741227240913
129,sqrt,False,0.01502612124642172,-0.4540050728561065,-0.3981204752954748,0.05588459756063169
129,logit-shift,False,0.004707629638250943,-0.4540050728561065,-0.3671756016052783,0.08682947125082818
129,logit-scale,False,0.023063961368154418,-0.4540050728561065,-0.4251011349896654,0.028903937866441076
129,beta-cdf,False,0.03870369270504059,-0.4540050728561065,-0.39894435958735386,0.055060713268752615
129,affine,True,0.030037121351474683,-0.4540050728561065,-0.4540050728561069,4.440892098500626e-16
130,square,False,0.0027464015262588792,-0.5551635608466194,-0.5991431337959756,0.04397957294935617
130,sqrt,False,0.029278497571066764,-0.5551635608466194,-0.5330332491163483,0.022130311730271135
130,logit-shift,False,0.015807321270041086,-0.5551635608466194,-0.5138804752644712,0.041283085582148216
130,logit-scale,False,0.04827566187167848,-0.5551635608466194,-0.551924329509142,0.0032392313374773885
130,beta-cdf,False,0.08877585743497829,-0.5551635608466194,-0.5542544683233352,0.000909092523284194
130,affine,True,0.048294290497230274,-0.5551635608466194,-0.5551635608466188,6.661338147750939e-16
