log,target,rung,learner,calibration,bin,n,p_mean,y_mean
BPIC13_closed,handover,B_intake_g,logit,raw,1,50,0.10007723607556943,0.0
BPIC13_closed,handover,B_intake_g,logit,raw,2,44,0.12725850317849435,0.045454545454545456
BPIC13_closed,handover,B_intake_g,logit,raw,3,45,0.1764117559374215,0.1111111111111111
BPIC13_closed,handover,B_intake_g,logit,raw,4,45,0.24204784889252956,0.35555555555555557
BPIC13_closed,handover,B_intake_g,logit,raw,5,44,0.3185951140667969,0.4318181818181818
BPIC13_closed,handover,B_intake_g,logit,raw,6,46,0.4252718342592856,0.32608695652173914
BPIC13_closed,handover,B_intake_g,logit,raw,7,42,0.5109991587555539,0.38095238095238093
BPIC13_closed,handover,B_intake_g,logit,raw,8,47,0.6009606043973478,0.3191489361702128
BPIC13_closed,handover,B_intake_g,logit,raw,9,45,0.7691209959650778,0.7111111111111111
BPIC13_closed,handover,B_intake_g,logit,platt,0,45,0.11938643976973147,0.044444444444444446
BPIC13_closed,handover,B_intake_g,logit,platt,1,39,0.16288922284146026,0.05128205128205128
BPIC13_closed,handover,B_intake_g,logit,platt,2,48,0.17748757241930993,0.041666666666666664
BPIC13_closed,handover,B_intake_g,logit,platt,3,47,0.21219851993764813,0.1276595744680851
