target,learner,mechanism,meaning,metric,n_levels,n_seeds,integral_fine,integral_coarse,grid_shift,V_at_clean,V_at_half,V_at_empty,seed_sd_median,seed_sd_max,n_sign_changes
handover,hgb,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,brier_skill,11,20,0.0949044963928683,0.07883768711804535,0.016066809274822944,0.1611565072250605,0.10104854462771648,0.00047085374031763383,0.005827905848770198,0.007982567707090625,0
handover,hgb,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,logloss_skill,11,20,0.10203691803703283,0.08458038950787186,0.017456528529160964,0.173671674170106,0.10738320732566937,1.5588209387518148e-05,0.00470061053252561,0.005775736212207165,0
handover,hgb,propensity,missing where the work is unusual: a training-estimated propensity drives the missingness,nagelkerke,11,20,0.11517650913039246,0.09564422843089525,0.01953228069949721,0.19439252963923326,0.12191987023826001,1.811614805791173e-05,0.005159975583740743,0.006276607020247871,0
handover,hgb,time,discovery: the register was populated late,ap,11,1,0.010332554488402602,0.011185444035938045,0.0008528895475354431,0.01629925851804903,0.0146323736363132,0.00012967090427529193,0.0,0.0,0
handover,hgb,time,discovery: the register was populated late,auc,11,1,0.08597634789937353,0.08933405499070679,0.003357707091333262,0.13773818940883442,0.12416787310578525,0.000244580506894021,0.0,0.0,0
handover,hgb,time,discovery: the register was populated late,brier_skill,11,1,0.1370333668800652,0.1437158150025309,0.006682448122465684,0.2123714433106273,0.2065283737859499,0.00047085374031763383,0.0,0.0,0
handover,hgb,time,discovery: the register was populated late,logloss_skill,11,1,0.14538567028173327,0.14796805244071165,0.00258238215897838,0.23677194713667882,0.21318868406158864,1.5588209387518148e-05,0.0,0.0,0
handover,hgb,time,discovery: the register was populated late,nagelkerke,11,1,0.16092696695136044,0.1646360415428629,0.0037090745915024648,0.2614648530684789,0.23661375483664868,1.811614805791173e-05,0.0,0.0,0
handover,logit,content,discovery: coverage depends on the item's type,ap,11,20,0.010740356742209557,0.009029421411228736,0.0017109353309808211,0.0165893373061776,0.012357021565728665,1.676431816433066e-05,0.0030569548782791293,0.0036826871868904827,0
handover,logit,content,discovery: coverage depends on the item's type,auc,11,20,0.09022166182675168,0.0754628113166097,0.014758850510141974,0.14597974989963902,0.10347297899057399,0.0001665439154376891,0.030555719984391164,0.03556322311055643,0
handover,logit,content,discovery: coverage depends on the item's type,brier_skill,11,20,0.12354815926325576,0.10178181759658148,0.02176634166667428,0.20651541178970784,0.13618220370653167,0.0007677072901078885,0.05707246816065883,0.06497597358182351,0
handover,logit,content,discovery: coverage depends on the item's type,logloss_skill,11,20,0.1165295869103426,0.09543925421460904,0.021090332695733557,0.199405717225801,0.12764365100316016,-8.590313719691878e-06,0.05484989367814287,0.06237026984203023,1
handover,logit,content,discovery: coverage depends on the item's type,nagelkerke,11,20,0.13081963685890644,0.10741808422909728,0.023401552629809155,0.22180878047304048,0.14394077541013045,-1.0006232407155924e-05,0.05918291440814991,0.06811719032907776,1
