learner,split,quality,level,rung,metric,log,target,scheme,V,boot_median,displacement,se,n_draws,lo,hi,width,excludes_point,resolved
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.450,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.01733218820480508,400,-0.027987001213075128,0.057150351275517146,0.08513735248859228,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.475,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.020257736993239885,400,-0.0276525313312549,0.08276695307655174,0.11041948440780663,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.500,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.01927875146443314,400,-0.025036651254215666,0.0449749648905877,0.07001161614480336,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.525,BPIC15_1,handover,weighted,-0.0076754385964912,0.0,0.0076754385964912,0.01708903818736317,400,-0.037785151458958506,0.026515626252337665,0.06430077771129616,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.550,BPIC15_1,handover,weighted,-0.0015432098765431,0.0,0.0015432098765431,0.019088639582154704,400,-0.03174167734698055,0.04120486911093198,0.07294654645791253,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.575,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.020770694775356417,400,-0.02905033618123654,0.049053598378128935,0.07810393455936547,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.600,BPIC15_1,handover,weighted,0.0104166666666666,0.0,-0.0104166666666666,0.021126095597624357,400,-0.00862408025609886,0.0626487050650962,0.07127278532119506,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.625,BPIC15_1,handover,weighted,0.0069444444444444,0.0,-0.0069444444444444,0.021243980171578542,400,-0.02501627055836267,0.04889853357046186,0.07391480412882453,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.650,BPIC15_1,handover,weighted,0.0069444444444444,0.0,-0.0069444444444444,0.023023930847219022,400,-0.02996043438878515,0.04552207092538545,0.0754825053141706,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.675,BPIC15_1,handover,weighted,-0.0069444444444444,0.0,0.0069444444444444,0.022069817016280288,400,-0.060542414679782254,0.021127068715080244,0.08166948339486249,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.700,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.02289864927140678,400,-0.056896332372154405,0.032314821972127476,0.08921115434428188,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.725,BPIC15_1,handover,weighted,0.0113636363636363,0.0,-0.0113636363636363,0.027088452945419773,400,-0.05690915190895525,0.05042655894378133,0.10733571085273658,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.750,BPIC15_1,handover,weighted,-0.0069444444444444,0.0,0.0069444444444444,0.03338951014440725,400,-0.1065493038204149,0.010720285432195718,0.11726958925261062,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.775,BPIC15_1,handover,weighted,-0.0138888888888889,0.0,0.0138888888888889,0.04617129629859941,400,-0.1514271931604409,0.005286906667511224,0.15671409982795212,False,False
logit,rolling5,mask_rare,0.5,B_intake_g,nb_0.800,BPIC15_1,handover,weighted,0.0069444444444444,0.0,-0.0069444444444444,0.03859848944777606,400,-0.1023359840113492,0.04302382650198386,0.14535981051333308,False,False
logit,rolling5,stale,1.0,B_half,ap,BPIC15_1,handover,weighted,0.0225372914944418,0.02028054799770425,-0.0022567434967375524,0.014393978566187989,400,-0.006598312252286763,0.05477909637624537,0.06137740862853213,False,False
logit,rolling5,stale,1.0,B_half,auc,BPIC15_1,handover,weighted,0.018716577540107,0.0124793015465627,-0.006237275993544299,0.044116803432622864,400,-0.07718215565095958,0.10354447736128618,0.18072663301224576,False,False
logit,rolling5,stale,1.0,B_half,brier_skill,BPIC15_1,handover,weighted,0.0465932339968565,0.0380532473139588,-0.008539986682897696,0.0585078337239385,400,-0.06833566226382864,0.14814579494668242,0.21648145721051107,False,False
logit,rolling5,stale,1.0,B_half,logloss_skill,BPIC15_1,handover,weighted,-0.0356772596456547,-0.03908082761091165,-0.003403567965256954,0.09050581790216236,400,-0.2136420495932871,0.1399850355292699,0.353627085122557,False,False
logit,rolling5,stale,1.0,B_half,nagelkerke,BPIC15_1,handover,weighted,-0.0597990568546297,-0.0665288083496541,-0.0067297514950244094,0.1972885792121476,400,-0.3119632426768224,0.40038823314396627,0.7123514758207887,False,False
logit,rolling5,stale,1.0,B_half,nb_0.050,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.075,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.100,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.125,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.150,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.00018804833225394342,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.175,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.00035426405576999395,400,0.0,0.0,0.0,False,False
logit,rolling5,stale,1.0,B_half,nb_0.200,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0004610800279763946,400,-0.0005727627714688742,0.0,0.0005727627714688742,False,False
logit,rolling5,stale,1.0,B_half,nb_0.225,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0012329265113394394,400,-0.001401528013915654,0.0,0.001401528013915654,False,False
logit,rolling5,stale,1.0,B_half,nb_0.250,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0017726719590897442,400,-0.003455632175358789,0.0,0.003455632175358789,False,False
logit,rolling5,stale,1.0,B_half,nb_0.275,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.00300907355957286,400,-0.007200322517139895,0.003328053784804797,0.010528376301944692,False,False
logit,rolling5,stale,1.0,B_half,nb_0.300,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0034357311095318983,400,-0.008588853569338117,0.005727993089078149,0.014316846658416267,False,False
logit,rolling5,stale,1.0,B_half,nb_0.325,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.0038648480104501205,400,-0.009315929095949652,0.006789338284991319,0.016105267380940973,False,False
logit,rolling5,stale,1.0,B_half,nb_0.350,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.00462781028940282,400,-0.014062823354497463,0.005898448593256885,0.01996127194775435,False,False
logit,rolling5,stale,1.0,B_half,nb_0.375,BPIC15_1,handover,weighted,0.0,0.0,0.0,0.005580478770645893,400,-0.02026691937315473,0.004870096646010882,0.02513701601916561,False,False
logit,rolling5,stale,1.0,B_half,nb_0.400,BPIC15_1,handover,weighted,0.0046296296296296,0.0,-0.0046296296296296,0.0100600055839199,400,-0.013245384146006525,0.017945591719813747,0.031190975865820272,False,False
logit,rolling5,stale,1.0,B_half,nb_0.425,BPIC15_1,handover,weighted,0.0051328502415458,0.0,-0.0051328502415458,0.01251555094797475,400,-0.018203059902859895,0.022878354257547823,0.04108141416040772,False,False
logit,rolling5,stale,1.0,B_half,nb_0.450,BPIC15_1,handover,weighted,0.0056818181818181,7.509864045166862e-05,-0.005606719541366431,0.015070713226921259,400,-0.026678281379130288,0.042498862971265275,0.06917714435039557,False,False
logit,rolling5,stale,1.0,B_half,nb_0.475,BPIC15_1,handover,weighted,0.0112433862433862,0.0012679563387741999,-0.009975429904611999,0.01662425927791127,400,-0.0237353432945925,0.05066806488808913,0.07440340818268162,False,False
logit,rolling5,stale,1.0,B_half,nb_0.500,BPIC15_1,handover,weighted,0.0138888888888889,0.0034778234126855998,-0.0104110654762033,0.01908055220342259,400,-0.028493384234458314,0.05375880087509824,0.08225218510955655,False,False
logit,rolling5,stale,1.0,B_half,nb_0.525,BPIC15_1,handover,weighted,0.0168128654970761,0.0071789922194733,-0.0096338732776028,0.021584732326551895,400,-0.029849566837003794,0.05581479468503114,0.08566436152203494,False,False
logit,rolling5,stale,1.0,B_half,nb_0.550,BPIC15_1,handover,weighted,0.0200617283950617,0.01188075055140585,-0.008180977843655849,0.02460340277203858,400,-0.03783426553682662,0.05775052220950416,0.09558478774633078,False,False
logit,rolling5,stale,1.0,B_half,nb_0.575,BPIC15_1,handover,weighted,0.042483660130719,0.01810877751835855,-0.024374882612360448,0.02804400188830121,400,-0.00634977322789311,0.10174299516407719,0.1080927683919703,False,False
logit,rolling5,stale,1.0,B_half,nb_0.600,BPIC15_1,handover,weighted,0.0486111111111111,0.0255967151405011,-0.02301439597061,0.03280889322253608,400,-0.01516291854995111,0.11345364826119761,0.12861656681114872,False,False
logit,rolling5,stale,1.0,B_half,nb_0.625,BPIC15_1,handover,weighted,0.0555555555555556,0.032092090239266,-0.0234634653162896,0.03677890743884384,400,-0.011299257812395172,0.12618242367759894,0.13748168148999412,False,False
logit,rolling5,stale,1.0,B_half,nb_0.650,BPIC15_1,handover,weighted,0.0674603174603175,0.04313115186820605,-0.02432916559211145,0.04099698184898443,400,0.00012709331971355597,0.1497643793304595,0.14963728601074594,False,True
logit,rolling5,stale,1.0,B_half,nb_0.675,BPIC15_1,handover,weighted,0.0667735042735043,0.05398883802149945,-0.012784666252004848,0.047674929689825465,400,-0.027608028633138132,0.1490812672966415,0.17668929592977964,False,False
logit,rolling5,stale,1.0,B_half,nb_0.700,BPIC15_1,handover,weighted,0.0810185185185185,0.0671342011266735,-0.013884317391845008,0.05600203985048376,400,-0.03096066236941228,0.18384336256934475,0.21480402493875703,False,False
logit,rolling5,stale,1.0,B_half,nb_0.725,BPIC15_1,handover,weighted,0.0978535353535354,0.0780111144953597,-0.019842420858175697,0.06678554300826677,400,-0.02893564875097665,0.2419256557139164,0.27086130446489304,False,False
