term,order,share,variance,log,target,metric,total_variance
rung x split,2,0.09621265803852869,4.660651139177106e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x quality_level,3,0.01663397070232796,8.05768555648865e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x rung,3,0.04460329254944273,2.1606344785564865e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x split,3,0.019788124562679966,9.585593742592666e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x quality_level x rung,3,0.003444220088749283,1.6684195829802165e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x quality_level x split,3,0.002573663825223039,1.2467121773188354e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x rung x split,3,0.0695848454916632,3.3707694602960837e-05,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x quality_level x rung,3,0.02607335691479699,1.2630232142475188e-05,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x quality_level x split,3,0.011411273712852938,5.527751432454148e-06,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x rung x split,3,0.10169838748289739,4.926386144376484e-05,UCI498,duration,logloss_skill,0.0004844114313223456
quality_level x rung x split,3,0.004556115531926387,2.207034446090431e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x quality_level x rung,4,0.02732376767680862,1.3235945409442104e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x quality_level x split,4,0.01624493755161259,7.869233451118775e-06,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x rung x split,4,0.08417427972717666,4.077498332316914e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x quality_level x rung x split,4,0.004728879643670703,2.2907233567416285e-06,UCI498,duration,logloss_skill,0.0004844114313223456
encoding x quality_level x rung x split,4,0.030945630449976235,1.499041713944535e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family x encoding x quality_level x rung x split,5,0.03015814631270303,1.4608950821365194e-05,UCI498,duration,logloss_skill,0.0004844114313223456
family,1,0.007325911110259005,1.254354926948876e-05,UCI498,duration,nagelkerke,0.0017122169626004767
encoding,1,0.021303877116568535,3.6476859768144775e-05,UCI498,duration,nagelkerke,0.0017122169626004767
quality_level,1,0.0030178284793325664,5.1671771125320225e-06,UCI498,duration,nagelkerke,0.0017122169626004767
rung,1,0.0432606231676559,7.40715728003276e-05,UCI498,duration,nagelkerke,0.0017122169626004767
split,1,0.07864266305787573,0.00013465330167176871,UCI498,duration,nagelkerke,0.0017122169626004767
