log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,boot_shift,sim_lo,sim_hi,raw_lo,raw_hi,sim_resolved,raw_resolved
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.375,0.1656815174239082,0.041933591742419826,4.558657092119184,-0.006131451257168075,-0.019347896713536317,0.36297383407568884,-0.02547934797070439,0.35684238281852076,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.400,0.2015880017644465,0.07895063749680671,4.558657092119184,-0.04014115571239529,-0.11817972607530688,0.6016380410289904,-0.15832088178770218,0.5614968853165951,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.425,0.0422508198922153,0.07037762353976992,4.558657092119184,0.001821982700753802,-0.28039861548460465,0.36125628986752767,-0.27857663278385086,0.36307827256828146,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.450,0.0538557164053414,0.04052936435654205,4.558657092119184,-0.0020852548422023026,-0.1288185030154892,0.24070044551057657,-0.13090375785769148,0.23861519066837428,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.475,0.0681412397336525,0.04444824380368341,4.558657092119184,0.006784716533282983,-0.1412677786475344,0.26398082504827347,-0.13448306211425143,0.2707655415815564,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.500,0.094397882664314,0.08895952031529387,4.558657092119184,0.000661667401852653,-0.3117997329343737,0.49927216345929637,-0.31113806553252105,0.499933830861149,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.525,-0.1098832215076729,0.1289340068754915,4.558657092119184,0.028057019478559556,-0.7257061658445354,0.44982568387207045,-0.6976491463659759,0.47788270335063,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.550,-0.1162084007253835,0.09647264633987332,4.558657092119184,0.012718717835612459,-0.5687128319937653,0.3108585948717733,-0.5559941141581528,0.32357731270738577,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.575,-0.0906614079244401,0.051908244082859226,4.558657092119184,-0.013985832533277967,-0.313307460418942,0.15995630963661772,-0.3272932929522199,0.14597047710333977,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.600,-0.0617556241729157,0.03804617418304474,4.558657092119184,-0.04543449492721655,-0.18976059101323783,0.15711833252183954,-0.23519508594045438,0.111683837594623,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.625,-0.1318923687692986,0.04108841220673149,4.558657092119184,0.011836494633142153,-0.3310368451125737,0.04357911830769218,-0.3192003504794315,0.05541561294083433,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.650,-0.1057407524103598,0.04038107581437738,4.558657092119184,-0.019062322767660206,-0.27076190729131344,0.09740504800591429,-0.2898242300589737,0.07834272523825409,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.675,-0.0862203522106477,0.03838894601035704,4.558657092119184,-0.0328458484611992,-0.22837654473854305,0.12162753723964606,-0.2612223931997423,0.08878168877844686,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.700,-0.0752830466107925,0.03755053243692729,4.558657092119184,-0.036244669901485047,-0.2102183777157575,0.13214162429714257,-0.24646304761724253,0.09589695439565753,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.725,-0.0954405100854152,0.039855937743351826,4.558657092119184,-0.016301078718370304,-0.26082898462383636,0.10255012188974656,-0.27713006334220663,0.08624904317137626,False,False
