log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
UCI498,itsm,duration,registered,primary,nb_0.2,0.1466359015516319,0.14543204922418407,0.15148475120385232,0.15415997859818084,-0.0012038523274478241,0.0026752273943285165,
UCI498,itsm,duration,registered,primary,nb_0.3,0.11075441412520062,0.10374149659863946,0.11083084919361001,0.11117480700145226,-0.007012917526561163,0.0003439578078422434,
UCI498,itsm,duration,registered,primary,nb_0.4,0.047752808988764016,0.06340288924558586,0.06741573033707862,0.06812912430889959,0.015650080256821845,0.0007133939718209636,0.9544159544159528
UCI498,itsm,duration,registered,primary,nb_0.5,0.011771000535045479,0.02086677367576244,0.0377207062600321,0.03290529695024077,0.009095773140716962,-0.004815409309791331,1.5294117647058822
UCI498,itsm,duration,registered,alt,auc,0.7557419761858665,0.7562317021085078,0.7559193731017368,0.7560040836349329,0.0004897259226412931,8.471053319603072e-05,0.8270246085011143
UCI498,itsm,duration,registered,alt,ap,0.522187706759589,0.529213929738981,0.523186836722886,0.5297242400172942,0.007026222979391927,0.006537403294408217,0.06957076176167898
UCI498,itsm,duration,registered,alt,brier_skill,0.26444359770695436,0.27063689155131454,0.2647160757674556,0.2707351688461793,0.0061932938443601815,0.006019093078723725,0.02812732126299633
UCI498,itsm,duration,registered,alt,nagelkerke,0.33276407722308754,0.3331541910137399,0.33254305111404553,0.3330556940211684,0.00039011379065234664,0.0005126429071228844,-0.3140855806856895
UCI498,itsm,duration,registered,alt,nb_0.2,0.1466359015516319,0.14543204922418407,0.1512841091492777,0.14526484751203853,-0.0012038523274478241,-0.006019261637239176,
UCI498,itsm,duration,registered,alt,nb_0.3,0.11075441412520062,0.10374149659863946,0.11035313001605135,0.10366506153023006,-0.007012917526561163,-0.006688068485821291,
UCI498,itsm,duration,registered,alt,nb_0.4,0.047752808988764016,0.06340288924558586,0.04726235063313714,0.06375958623149633,0.015650080256821845,0.016497235598359188,-0.05413105413105268
UCI498,itsm,duration,registered,alt,nb_0.5,0.011771000535045479,0.02086677367576244,0.011771000535045479,0.02113429641519529,0.009095773140716962,0.009363295880149813,-0.02941176470588225
UCI498,itsm,duration,amended,primary,auc,0.7557419761858665,0.7562317021085078,0.7869393799504498,0.7800710779658568,0.0004897259226412931,-0.006868301984592984,15.024787472040298
UCI498,itsm,duration,amended,primary,ap,0.522187706759589,0.529213929738981,0.5662837482767293,0.5596452503647189,0.007026222979391927,-0.006638497912010433,1.9448174263016273
