log,target,block,n,prevalence,base_auc,with_auc,V,unseen_share,V_whole,spread_null_median,spread_percentile,n_perm
BPIC15_4,handover,4,64,0.703125,0.6222222222222222,0.6426900584795322,0.020467836257309968,0.015625,0.001477233229058128,0.03792446317767162,0.92,400
BPIC15_5,duration,0,69,0.4057971014492754,0.6729094076655052,0.6925087108013938,0.019599303135888535,0.057971014492753624,0.03195259042033227,0.10553980025400675,0.355,400
BPIC15_5,duration,1,69,0.391304347826087,0.6186067019400353,0.6362433862433862,0.017636684303350858,0.057971014492753624,0.03195259042033227,0.10553980025400675,0.355,400
BPIC15_5,duration,2,70,0.45714285714285713,0.5353618421052632,0.6422697368421052,0.10690789473684204,0.07142857142857142,0.03195259042033227,0.10553980025400675,0.355,400
BPIC15_5,duration,3,69,0.17391304347826086,0.8355263157894737,0.8845029239766082,0.04897660818713456,0.08695652173913043,0.03195259042033227,0.10553980025400675,0.355,400
BPIC15_5,duration,4,70,0.0,,,,0.08571428571428572,0.03195259042033227,0.10553980025400675,0.355,400
BPIC17,duration,0,1890,0.5365079365079365,0.6071635234569903,0.6144338845208182,0.007270361063827835,0.015343915343915344,0.002086619231834952,0.014998280936568686,0.865,400
BPIC17,duration,1,1891,0.48175568482284503,0.5786341539909048,0.5829504469186138,0.0043162929277089646,0.012162876784769964,0.002086619231834952,0.014998280936568686,0.865,400
BPIC17,duration,2,1890,0.4925925925925926,0.5838732836859017,0.5952965237464285,0.011423240060526751,0.015873015873015872,0.002086619231834952,0.014998280936568686,0.865,400
BPIC17,duration,3,1891,0.49709148598625064,0.5887844821800121,0.5783810994026445,-0.010403382777367631,0.016922263352723427,0.002086619231834952,0.014998280936568686,0.865,400
BPIC17,duration,4,1891,0.4621893178212586,0.5770871162772906,0.5754558095893831,-0.0016313066879074523,0.013220518244315178,0.002086619231834952,0.014998280936568686,0.865,400
BPIC19,duration,0,15104,0.4120762711864407,0.7317481443525787,0.7947238711236944,0.06297572677111563,0.0025820974576271187,0.024044050203440803,0.010291820719962097,1.0,400
BPIC19,duration,1,15104,0.3236890889830508,0.6012551376735832,0.635925735368249,0.03467059769466585,0.010195974576271187,0.024044050203440803,0.010291820719962097,1.0,400
BPIC19,duration,2,15104,0.0743511652542373,0.5803417027675838,0.5429570394575057,-0.03738466331007806,0.008209745762711865,0.024044050203440803,0.010291820719962097,1.0,400
BPIC19,duration,3,15104,0.00013241525423728814,0.12112634088200239,0.1489703350549596,0.027843994172957215,0.008805614406779662,0.024044050203440803,0.010291820719962097,1.0,400
BPIC19,duration,4,15105,0.0,,,,0.023171135385633895,0.024044050203440803,0.010291820719962097,1.0,400
Helpdesk,duration,0,274,0.43795620437956206,0.6950757575757576,0.6885551948051947,-0.006520562770562899,0.08759124087591241,-0.01952276033199285,0.04173016964535625,1.0,400
Helpdesk,duration,1,275,0.5781818181818181,0.6583441769681198,0.5551398828887443,-0.10320429407937548,0.1709090909090909,-0.01952276033199285,0.04173016964535625,1.0,400
Helpdesk,duration,2,275,0.4109090909090909,0.6072052878837539,0.6218999235223424,0.014694635638588416,0.21454545454545454,-0.01952276033199285,0.04173016964535625,1.0,400
Helpdesk,duration,3,275,0.4109090909090909,0.667540697039222,0.6490768054189883,-0.018463891620233763,0.26181818181818184,-0.01952276033199285,0.04173016964535625,1.0,400
Helpdesk,duration,4,275,0.41818181818181815,0.573179347826087,0.5726358695652174,-0.0005434782608696453,0.23636363636363636,-0.01952276033199285,0.04173016964535625,1.0,400
RoadFines,duration,0,9022,0.4508978053646642,0.5414185382609485,0.5668218157689882,0.025403277508039612,0.00011084016847705608,0.030542277158241093,0.011501412166790792,1.0,400
RoadFines,duration,1,9022,0.44967856351141655,0.5397194956760423,0.5677202085786107,0.028000712902568448,0.00011084016847705608,0.030542277158241093,0.011501412166790792,1.0,400
RoadFines,duration,2,9022,0.46918643316337844,0.535670916256874,0.5807111363415165,0.04504022008464248,0.00011084016847705608,0.030542277158241093,0.011501412166790792,1.0,400
RoadFines,duration,3,9022,0.5238306362225671,0.5347582433560217,0.5833330131819617,0.04857476982594,0.0005542008423852804,0.030542277158241093,0.011501412166790792,1.0,400
RoadFines,duration,4,9023,0.2505818463925524,0.5124887156562526,0.5814535359747037,0.06896482031845108,0.0014407624958439544,0.030542277158241093,0.011501412166790792,1.0,400
Sepsis,duration,0,63,0.47619047619047616,0.5762626262626263,0.7090909090909091,0.13282828282828285,0.031746031746031744,0.15273469387755112,0.10476716581665407,0.645,400
Sepsis,duration,1,63,0.47619047619047616,0.6838383838383838,0.8161616161616162,0.1323232323232324,0.07936507936507936,0.15273469387755112,0.10476716581665407,0.645,400
Sepsis,duration,2,63,0.4603174603174603,0.7570993914807302,0.8630831643002028,0.10598377281947258,0.07936507936507936,0.15273469387755112,0.10476716581665407,0.645,400
Sepsis,duration,3,63,0.38095238095238093,0.5924145299145299,0.7318376068376068,0.13942307692307687,0.09523809523809523,0.15273469387755112,0.10476716581665407,0.645,400
Sepsis,duration,4,63,0.42857142857142855,0.5385802469135803,0.7685185185185185,0.22993827160493818,0.1111111111111111,0.15273469387755112,0.10476716581665407,0.645,400
UCI498,duration,0,1495,0.27424749163879597,0.7960953130268629,0.7809958412948185,-0.0150994717320444,0.1117056856187291,-0.007152364931399369,0.012669017574893915,0.99,400
UCI498,duration,1,1495,0.2956521739130435,0.7397384331773472,0.7491394980082763,0.009401064830929062,0.1177257525083612,-0.007152364931399369,0.012669017574893915,0.99,400
UCI498,duration,2,1495,0.2822742474916388,0.7923216565151522,0.7876077172122278,-0.004713939302924408,0.17391304347826086,-0.007152364931399369,0.012669017574893915,0.99,400
UCI498,duration,3,1495,0.26956521739130435,0.8078422817876911,0.792993710177333,-0.01484857161035813,0.19933110367892976,-0.007152364931399369,0.012669017574893915,0.99,400
UCI498,duration,4,1496,0.3074866310160428,0.7967013597448379,0.7856922528118179,-0.01100910693302004,0.20320855614973263,-0.007152364931399369,0.012669017574893915,0.99,400
UCI498,handover,0,1495,0.3785953177257525,0.946277581045769,0.943685409669579,-0.0025921713761899445,0.1117056856187291,-0.0033335921385313494,0.005015684232259066,0.095,400
UCI498,handover,1,1495,0.4193979933110368,0.9456439853298936,0.9440059092011555,-0.0016380761287381196,0.1177257525083612,-0.0033335921385313494,0.005015684232259066,0.095,400
UCI498,handover,2,1495,0.43812709030100333,0.940135405307161,0.9355970556161396,-0.004538349691021404,0.17391304347826086,-0.0033335921385313494,0.005015684232259066,0.095,400
UCI498,handover,3,1495,0.4013377926421405,0.9537541899441341,0.9506666666666667,-0.003087523277467419,0.19933110367892976,-0.0033335921385313494,0.005015684232259066,0.095,400
UCI498,handover,4,1496,0.46189839572192515,0.9383259476319313,0.9339358747337102,-0.004390072898221131,0.20320855614973263,-0.0033335921385313494,0.005015684232259066,0.095,400
