log,target,metric,split_set,S_learner,S_quality,S_rung,largest_first_order,largest_first_order_axis,interaction_total,var_foldavg,var_pooled,var_ratio,n_folds
BPIC15_4,duration,brier_skill,all,0.3268478945356457,0.08144088406939626,0.12602047608329653,0.3268478945356457,learner,0.46569074531166144,0.0013087259845241332,0.00711912840441135,0.1838323331425213,6
BPIC15_4,duration,logloss_skill,all,0.5064395077142746,0.12180274360041843,0.03485852816357683,0.5064395077142746,learner,0.33689922052173016,0.0020446899558037453,0.009437288133705719,0.21666075326248002,6
BPIC15_4,duration,nagelkerke,all,0.5586442146511749,0.15047278212013562,0.004166204774249559,0.5586442146511749,learner,0.28671679845444,0.02411982526839104,0.08938955037087029,0.2698282424323622,6
BPIC15_4,handover,ap,all,0.06412880218706521,0.08116585338408829,0.39988440032776534,0.39988440032776534,rung,0.4548209441010812,1.4591755955573646e-05,6.531649297003079e-05,0.22340078733665006,6
BPIC15_4,handover,auc,all,0.06725184257348883,0.26951319300560583,0.10400081270434254,0.26951319300560583,quality_level,0.5592341517165628,0.0002983773700184909,0.0010536684193670376,0.28317957009448275,6
BPIC15_4,handover,brier_skill,all,0.15733325637749287,0.29119873093660853,0.10774023534801218,0.29119873093660853,quality_level,0.4437277773378864,0.004114687395027749,0.012185229463843794,0.3376782856028206,6
BPIC15_4,handover,logloss_skill,all,0.5553474191560386,0.07857159585810164,0.08546179351047735,0.5553474191560386,learner,0.2806191914753824,0.008190556918272703,0.02502105160684217,0.32734662982881746,6
BPIC15_4,handover,nagelkerke,all,0.1328115208458875,0.1921380964145967,0.21373220697191048,0.21373220697191048,rung,0.46131817576760537,1.2794507821994352,7.847330419356953,0.16304280740408525,6
BPIC15_5,duration,ap,all,0.23966637644618086,0.234588822060306,0.24245307883074213,0.24245307883074213,rung,0.28329172266277103,0.0009547377515388812,0.0029341720341558557,0.32538574440252743,6
BPIC15_5,duration,auc,all,0.3442139848542324,0.15692460558852653,0.1711321984995947,0.3442139848542324,learner,0.3277292110576464,0.0002837018878631606,0.001705463637531258,0.16634883419375213,6
BPIC15_5,duration,brier_skill,all,0.23626761042100777,0.13826956346760488,0.4111936194978363,0.4111936194978363,rung,0.2142692066135511,0.002750084885152403,0.009150997149100622,0.30052297474736805,6
BPIC15_5,duration,logloss_skill,all,0.487019897747088,0.14411528848211447,0.18152078750384534,0.487019897747088,learner,0.18734402626695223,0.003386908904862148,0.01069714495135843,0.3166180247405215,6
BPIC15_5,duration,nagelkerke,all,0.4546631888941808,0.06386012054018042,0.2185570782905841,0.4546631888941808,learner,0.26291961227505467,0.03837116542797325,0.17476856008757413,0.21955416585652468,6
BPIC17,duration,ap,all,0.05278112365822613,0.49793014178593936,0.26894541953803136,0.49793014178593936,quality_level,0.1803433150178031,5.271193951620116e-05,9.364855569585235e-05,0.5628697540984687,6
BPIC17,duration,auc,all,0.02202378761410891,0.13842725293209762,0.6633899781212108,0.6633899781212108,rung,0.17615898133258268,8.365423313759698e-05,0.00014397119447333772,0.5810484065483603,6
BPIC17,duration,brier_skill,all,0.0003165563784270409,0.3889793167789786,0.008934591219236758,0.3889793167789786,quality_level,0.6017695356233576,2.443049137461316e-06,1.6091793391989363e-05,0.1518195690156877,6
BPIC17,duration,logloss_skill,all,0.002121124418531596,0.38616869132968423,0.003130993706268625,0.38616869132968423,quality_level,0.6085791905455156,1.4590344994284267e-06,9.151579779524845e-06,0.15942979622958395,6
BPIC17,duration,nagelkerke,all,0.0020341482526694383,0.384641462788616,0.002828824022141914,0.384641462788616,quality_level,0.6104955649365726,4.811014491825721e-06,3.026522608938496e-05,0.15896178926986793,6
BPIC19,duration,ap,all,0.23274878902749982,0.10299480738479731,0.507311238739582,0.507311238739582,rung,0.15694516484812093,0.0026391169998730784,0.006621876033488998,0.3985452138527207,6
BPIC19,duration,auc,all,0.25424878669843426,0.04046352400080773,0.528416605656318,0.528416605656318,rung,0.17687108364444004,0.0024303806740099197,0.009344707414799978,0.2600809812579821,6
BPIC19,duration,brier_skill,all,0.09504502077975724,0.3189757824628185,0.09407644809641857,0.3189757824628185,quality_level,0.4919027486610057,0.0005594521048698696,0.024564456393312544,0.022774862016575116,6
BPIC19,duration,logloss_skill,all,0.15456184890772928,0.2817936691371108,0.030710840634221713,0.2817936691371108,quality_level,0.5329336413209382,0.0009466316102654032,0.02685620242028299,0.0352481559176239,6
BPIC19,duration,nagelkerke,all,0.15986712087596205,0.1970107143691349,0.0295286447875651,0.1970107143691349,quality_level,0.6135935199673379,0.01335683739701344,0.14735964086676293,0.09064108271741916,6
Helpdesk,duration,ap,all,0.27476297951471335,0.24736089070654588,0.34409397105481265,0.34409397105481265,rung,0.13378215872392807,0.0001226232553315584,0.00037950001783288595,0.32311791717900773,6
Helpdesk,duration,auc,all,0.3119173658524389,0.46000153841737407,0.007583565559757196,0.46000153841737407,quality_level,0.22049753017042983,4.3083276361321144e-05,0.00034711112742991134,0.12411954834268607,6
Helpdesk,duration,brier_skill,all,0.4923345353213742,0.3426712804310048,0.04519960536263624,0.4923345353213742,learner,0.11979457888498468,0.000612819528452088,0.0011494284093204565,0.533151541655724,6
Helpdesk,duration,logloss_skill,all,0.7242037233000413,0.20344349520548574,0.01630167536161432,0.7242037233000413,learner,0.056051106132858575,0.0007740295662625614,0.0015907222865435243,0.4865900055656151,6
Helpdesk,duration,nagelkerke,all,0.7595320598529579,0.1851214788479613,0.008040220015461876,0.7595320598529579,learner,0.04730624128361893,0.002712945201926396,0.005850926846365419,0.4636778536398333,6
RoadFines,duration,ap,all,0.011225305441394781,0.6076221995422152,0.24925405210731164,0.6076221995422152,quality_level,0.13189844290907837,0.0001377758096889069,0.0002461857865335229,0.5596416090014446,6
RoadFines,duration,auc,all,0.011499593432829426,0.23332843927711955,0.6390952668749378,0.6390952668749378,rung,0.1160767004151132,0.00013134044741666855,0.0002939326971870155,0.4468385064799471,6
RoadFines,duration,brier_skill,all,0.02543271675076292,0.7916161107786791,0.09346666621541426,0.7916161107786791,quality_level,0.0894845062551437,3.8515241419712935e-05,0.00011257759545646998,0.34212172736097834,6
RoadFines,duration,logloss_skill,all,0.12383368127815289,0.766233141577939,0.04551900912901446,0.766233141577939,quality_level,0.06441416801489364,2.8464604638118586e-05,7.423124509090069e-05,0.3834585369444085,6
RoadFines,duration,nagelkerke,all,0.12386298133946164,0.7636075589011018,0.0454129415688391,0.7636075589011018,quality_level,0.0671165181905975,9.660759915744446e-05,0.0002552159729516895,0.3785327306913175,6
Sepsis,duration,ap,all,0.10897089485301448,0.38763130837465787,0.40081820539953983,0.40081820539953983,rung,0.10257959137278783,0.001042580582767054,0.0031918899602027596,0.32663424985390965,6
Sepsis,duration,auc,all,6.6281621417141234e-06,0.3995795245473153,0.5518147145683014,0.5518147145683014,rung,0.04859913272224148,0.0006234359006149185,0.0025181535875676317,0.2475765988591331,6
Sepsis,duration,brier_skill,all,0.07933242032229847,0.6671350976712183,0.004764751300886863,0.6671350976712183,quality_level,0.24876773070559643,0.0018103226327042558,0.007001067852872563,0.2585780727666386,6
Sepsis,duration,logloss_skill,all,0.3779847865848452,0.43974320139884193,0.00564476045846866,0.43974320139884193,quality_level,0.1766272515578442,0.004794405938767215,0.014525643775929475,0.3300649535900124,6
Sepsis,duration,nagelkerke,all,0.06780191718193074,0.548698843225493,0.02727626088586935,0.548698843225493,quality_level,0.35622297870670694,0.01688035096729075,0.06017721337584123,0.28051067871593305,6
UCI498,duration,ap,all,0.002167492654370667,0.02583659099778202,0.8371863735859453,0.8371863735859453,rung,0.13480954276190205,0.0004278270772822628,0.0005190417424307705,0.824263334348925,6
UCI498,duration,auc,all,0.0032579306310501267,0.032286001602415966,0.8412465886744914,0.8412465886744914,rung,0.1232094790920425,0.0006271457557067606,0.0006848388424463072,0.9157566960812831,6
UCI498,duration,brier_skill,all,0.2690074052858749,0.19232940460021603,0.2971319781886447,0.2971319781886447,rung,0.2415312119252644,3.71474509937595e-05,0.0001966527355340506,0.18889872491668128,6
UCI498,duration,logloss_skill,all,0.37413710579475795,0.2211715644216694,0.13707923309190592,0.37413710579475795,learner,0.26761209669166675,2.7614737134784365e-05,0.00017518099343949192,0.1576354637144045,6
UCI498,duration,nagelkerke,all,0.3699298962977144,0.21496839725166297,0.12724327244304026,0.3699298962977144,learner,0.2878584340075824,5.680887661061548e-05,0.0004371381741290877,0.1299563386880957,6
UCI498,handover,ap,all,8.771276154496164e-05,0.01326225353643464,0.8667352260324453,0.8667352260324453,rung,0.11991480766957507,0.00020682084497916588,0.0002674207731914123,0.7733910964019587,6
UCI498,handover,auc,all,0.001049517226300422,0.00986957620507677,0.9515741628875105,0.9515741628875105,rung,0.03750674368111229,0.0004004578176458592,0.0005309263069708199,0.7542625264335766,6
UCI498,handover,brier_skill,all,0.18930895860712624,0.12654516095410145,0.497617611821753,0.497617611821753,rung,0.18652826861701932,0.00011318916194828381,0.0001964021640720892,0.5763132116341542,6
UCI498,handover,logloss_skill,all,0.1794482908735988,0.14978194175325504,0.4727470996758636,0.4727470996758636,rung,0.1980226676972826,8.906210644798939e-05,0.00016032153286842332,0.5555217995643985,6
UCI498,handover,nagelkerke,all,0.15155039662608774,0.1367496247006806,0.46073280114996523,0.46073280114996523,rung,0.25096717752326647,0.0002250917581797714,0.00043425607579341874,0.5183387653667522,6
BPIC13_closed,handover,ap,rolling,0.23670693030275824,0.22056274198366435,0.20621902442859877,0.23670693030275824,learner,0.3365113032849787,0.0001563316626394943,0.0010409648385041384,0.15017958038250567,5
BPIC13_closed,handover,auc,rolling,0.35366870558464086,0.22969326181392305,0.07686052828693157,0.35366870558464086,learner,0.3397775043145045,8.985773712735913e-05,0.0010366926151962178,0.08667731959328319,5
BPIC13_closed,handover,brier_skill,rolling,0.24048359283769602,0.06103093613249245,0.2232320639621431,0.24048359283769602,learner,0.4752534070676684,0.0032545345968054223,0.007906728007694708,0.4116158534400271,5
BPIC13_closed,handover,logloss_skill,rolling,0.4442787521059507,0.07197811392900516,0.17502144630936223,0.4442787521059507,learner,0.308721687655682,0.010520684823776072,0.0243888367955287,0.43137296427785643,5
BPIC13_closed,handover,nagelkerke,rolling,0.44396445812866514,0.08340263537882456,0.16448617432168125,0.44396445812866514,learner,0.3081467321708291,0.17910768877377192,0.43693225029705646,0.4099209629227466,5
BPIC13_incidents,duration,ap,rolling,0.01698015989880343,0.4252524687539658,0.3942825369379055,0.4252524687539658,quality_level,0.16348483440932526,0.00023057609911637138,0.001090226416609152,0.21149377377363007,5
BPIC13_incidents,duration,auc,rolling,0.09298381192292114,0.42359426422111274,0.38306685565832344,0.42359426422111274,quality_level,0.10035506819764273,0.00040108911925210085,0.0015252313173533237,0.26296937040874274,5
