log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,scale
BPIC13_incidents,handover,brier_skill,reference,0.7752808373863876,0.22471916261361236,0.17080802382247,split,0.3147960891812567,rung,0.003234444308070591,0.08230457359149576,216,1.0,raw-within-metric
BPIC13_incidents,handover,logloss_skill,reference,0.5112958516832752,0.4887041483167248,0.45738524660760255,split,0.387690833098777,split,0.013847594609277945,0.04248252440737447,216,1.0000000000000002,raw-within-metric
BPIC13_incidents,handover,nagelkerke,reference,0.38351119177471715,0.6164888082252828,0.5914618514585873,split,0.32827312735714576,split,0.449089615437383,-0.035978276866888696,216,0.9999999999999998,raw-within-metric
BPIC14,duration,ap,reference,0.8690323145765741,0.13096768542342585,0.0993124802671278,rung,0.567196999107368,rung,0.002875761235135568,0.0863249659913302,960,1.0000000000000002,raw-within-metric
BPIC14,duration,auc,reference,0.8667879443271451,0.13321205567285488,0.0960377712763767,rung,0.6657237493715837,rung,0.0017271045033505027,0.07680037481098609,960,0.9999999999999999,raw-within-metric
BPIC14,duration,brier_skill,reference,0.8391434593169781,0.1608565406830219,0.13066385207042897,rung,0.4342453247173965,rung,0.002621877379047523,0.07254205420023573,960,1.0000000000000002,raw-within-metric
BPIC14,duration,logloss_skill,reference,0.8433056175311673,0.15669438246883272,0.12657641345540083,rung,0.4192995036673115,rung,0.001734494685221795,0.057921812529386794,960,1.0,raw-within-metric
BPIC14,duration,nagelkerke,reference,0.8430505342927337,0.1569494657072663,0.12724444474940255,rung,0.4320871505839936,rung,0.004431781108697506,0.0934591251445578,960,0.9999999999999999,raw-within-metric
BPIC14,handover,ap,reference,0.8255339278326888,0.17446607216731125,0.14190813053654894,learner,0.4546567920078689,learner,0.00018105260069722952,0.013644965280704377,960,1.0,raw-within-metric
BPIC14,handover,auc,reference,0.8403643426059739,0.15963565739402608,0.13302934668624972,rung,0.374926326618981,rung,0.009383808242250151,0.11047438731639875,960,0.9999999999999999,raw-within-metric
BPIC14,handover,brier_skill,reference,0.8389514941270576,0.1610485058729424,0.12148678296459203,learner,0.3282204372841142,rung,0.01190505767777064,0.13905882125042807,960,0.9999999999999999,raw-within-metric
BPIC14,handover,logloss_skill,reference,0.8415089080291003,0.15849109197089972,0.12113049602024695,learner,0.3409126359029711,rung,0.014425252567266737,0.15058940963431924,960,1.0,raw-within-metric
BPIC14,handover,nagelkerke,reference,0.8424212304803624,0.15757876951963756,0.12129907489110608,learner,0.3529567402122197,rung,0.01843888944625943,0.1697501170766248,960,1.0000000000000004,raw-within-metric
BPIC15_1,duration,ap,reference,0.3240478346651747,0.6759521653348253,0.5182933910088813,rung,0.15892136820913536,split,0.0016821633754517523,0.03019150721515819,216,0.9999999999999997,raw-within-metric
BPIC15_1,duration,auc,reference,0.31137405876968155,0.6886259412303184,0.5399976000438875,rung,0.15221027807574736,rung,0.001936681257293703,0.015837171435536198,216,1.0000000000000002,raw-within-metric
BPIC15_1,duration,brier_skill,reference,0.4469698441172798,0.5530301558827202,0.46580164018387615,split,0.29943421115569324,split,0.005333466859169471,-0.001416784872149667,216,1.0,raw-within-metric
BPIC15_1,duration,logloss_skill,reference,0.4909160871141367,0.5090839128858633,0.4421986230047799,split,0.3133439442016283,split,0.006896281733889378,-0.028750069499160796,216,0.9999999999999998,raw-within-metric
BPIC15_1,duration,nagelkerke,reference,0.4969556203189761,0.5030443796810239,0.4479952132611036,split,0.30118322631710226,split,0.032573485534775515,-0.06605089297679415,216,0.9999999999999998,raw-within-metric
BPIC15_1,handover,ap,reference,0.7252361230657779,0.2747638769342221,0.23606009519763183,rung,0.6707734722626876,rung,6.752309016842939e-05,0.0051962343535773186,216,0.9999999999999999,raw-within-metric
