family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,heavy,248,200,q_rad,3,1.0,248.0,5.773502691896258e-07,1.0,0.9422043010752689,7.065360865819802,3.578626345619581,3.182691107014195,0.8891923666314079,0.0,0.0,0.0,0.9918405331064686,10.690949406380808,0.0
decision-curve,heavy,1100,400,q_mult,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9690909090909091,8.238444769869224,4.042837164783609,3.5065278173091414,0.8675087243598966,0.0,0.0,0.0,1.96323889903038,11.100755753317486,0.0
decision-curve,heavy,1100,400,q_mult_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9690909090909091,8.274280424895393,4.0613579470877585,3.5065278173091414,0.8635616747837493,0.0,0.0,0.0,1.96323889903038,11.100755753317486,0.0
decision-curve,heavy,1100,400,q_emp,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9690909090909091,15.370584125303088,7.5416279631474055,3.5065278173091414,0.4669839423805064,0.0,0.0,0.0,1.96323889903038,11.100755753317486,0.0
decision-curve,heavy,1100,400,q_emp_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9690909090909091,16.196142255707972,7.932625682699245,3.5065278173091414,0.43926457238492356,0.0,0.0,0.0,1.96323889903038,11.100755753317486,0.0
decision-curve,heavy,1100,400,q_rad,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9690909090909091,8.096519527336659,3.9730493359604573,3.5065278173091414,0.8826408790763526,0.0,0.0,0.0,1.96323889903038,11.100755753317486,0.0
decision-curve,nonzero,248,200,q_mult,3,1.0,248.0,5.773502691896258e-07,1.0,0.9717741935483871,7.408010098714804,3.676478753620379,2.6324466876840815,0.7171842513591824,0.0,21.0,1.577109100842098,1.4214983009233548,9.859414036509808,0.0
decision-curve,nonzero,248,200,q_mult_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9717741935483871,7.441365851581517,3.6930609471841236,2.6324466876840815,0.7139092077186366,0.0,21.0,1.577109100842098,1.4214983009233548,9.859414036509808,0.0
decision-curve,nonzero,248,200,q_emp,3,1.0,248.0,5.773502691896258e-07,1.0,0.9717741935483871,12.283036860402603,6.047998537940298,2.6324466876840815,0.4372669925612735,0.0,2.6666666666666665,1.577109100842098,1.4214983009233548,9.859414036509808,0.0
decision-curve,nonzero,248,200,q_emp_hi,3,1.0,248.0,5.773502691896258e-07,1.0,0.9717741935483871,13.922290182917138,6.8216230689147155,2.6324466876840815,0.386219887006897,0.0,1.0,1.577109100842098,1.4214983009233548,9.859414036509808,0.0
decision-curve,nonzero,248,200,q_rad,3,1.0,248.0,5.773502691896258e-07,1.0,0.9717741935483871,7.242236287472006,3.5942865220612754,2.6324466876840815,0.7320616156254436,0.0,23.0,1.577109100842098,1.4214983009233548,9.859414036509808,0.0
decision-curve,nonzero,1100,400,q_mult,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9669696969696969,8.025545192744268,4.040999663054046,3.7243992171358857,0.9188681661543364,0.0,72.33333333333333,1.6156326760257052,2.0019481582395096,11.101839895203122,0.0
decision-curve,nonzero,1100,400,q_mult_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9669696969696969,8.06025714472473,4.058695418662373,3.7243992171358857,0.9146256639301316,0.0,71.33333333333333,1.6156326760257052,2.0019481582395096,11.101839895203122,0.0
decision-curve,nonzero,1100,400,q_emp,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9669696969696969,14.947494924940644,7.591248434886043,3.7243992171358857,0.4915595252240667,0.0,1.0,1.6156326760257052,2.0019481582395096,11.101839895203122,0.0
decision-curve,nonzero,1100,400,q_emp_hi,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9669696969696969,16.201403043391142,8.192801590102219,3.7243992171358857,0.4553385130673136,0.0,1.0,1.6156326760257052,2.0019481582395096,11.101839895203122,0.0
decision-curve,nonzero,1100,400,q_rad,3,1.0,1100.0,5.773502691896258e-07,1.0,0.9669696969696969,7.86922890352768,3.967626833410316,3.7243992171358857,0.9409128427857433,0.0,79.0,1.6156326760257052,2.0019481582395096,11.101839895203122,0.0
whole-surface,degenerate,180,400,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9555555555555556,7.05925545593357,3.5791454780348904,3.0769023003004894,0.8595052218870076,0.0,0.0,0.0,1.1741213615715043,12.94192442988068,0.0
whole-surface,degenerate,180,400,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9555555555555556,7.094579421982314,3.5971201026325232,3.0769023003004894,0.8552247467020919,0.0,0.0,0.0,1.1741213615715043,12.94192442988068,0.0
whole-surface,degenerate,180,400,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9555555555555556,7.463865669825641,3.7060660553023177,3.0769023003004894,0.832872444586119,0.0,0.0,0.0,1.1741213615715043,12.94192442988068,0.0
whole-surface,degenerate,180,400,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9555555555555556,13.675404377983154,6.799875158956397,3.0769023003004894,0.4753218519897607,0.0,0.0,0.0,1.1741213615715043,12.94192442988068,0.0
whole-surface,degenerate,180,400,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9555555555555556,6.984305356822532,3.543998699180716,3.0769023003004894,0.8680874748544627,0.0,0.0,0.0,1.1741213615715043,12.94192442988068,0.0
whole-surface,gaussian,180,400,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9277777777777777,7.1949433572272845,3.5871183071936725,2.8755716393634443,0.803147778499118,0.0,0.0,0.0,-0.021276107905231267,0.28468621825741386,0.0
whole-surface,gaussian,180,400,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9277777777777777,7.231510170100315,3.6050708750119442,2.8755716393634443,0.7984176018128707,0.0,0.0,0.0,-0.021276107905231267,0.28468621825741386,0.0
whole-surface,gaussian,180,400,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9277777777777777,7.117775006850752,3.5644333204508944,2.8755716393634443,0.8129383377965191,0.0,0.0,0.0,-0.021276107905231267,0.28468621825741386,0.0
whole-surface,gaussian,180,400,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9277777777777777,7.422662408235351,3.688544447776588,2.8755716393634443,0.7857943300584239,0.0,0.0,0.0,-0.021276107905231267,0.28468621825741386,0.0
whole-surface,gaussian,180,400,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9277777777777777,7.1520512983817115,3.572536622137807,2.8755716393634443,0.809369578629108,0.0,0.0,0.0,-0.021276107905231267,0.28468621825741386,0.0
whole-surface,heavy,180,33,q_mult,3,0.6666666666666666,180.0,0.2721655269759087,0.9407407407407407,0.825925925925926,6.813484162631379,3.481784399087187,8.72759973579581,2.4944759292394454,10.666666666666666,10.666666666666666,0.0,0.006320595237817361,3.4272275660309206,0.0
