log,target,admitted,threshold_measure,rule,n_cells,adopts,loss_per_1000,excess_per_1000,rel_excess,share_positive,mean_dnb_per_1000
BPIC15_1,duration,True,uniform over the declared range,one-number,155,True,12.13162174567394,5.656575863353979,0.8735962595723369,0.32258064516129026,-5.656575863353978
BPIC15_1,duration,True,uniform over the declared range,uniform-beneficial,155,False,6.475045882319961,0.0,0.0,0.32258064516129026,-5.656575863353978
BPIC15_1,duration,True,uniform over the declared range,majority,155,False,6.475045882319961,0.0,0.0,0.32258064516129026,-5.656575863353978
BPIC15_1,duration,True,uniform over the declared range,weighted-mean,155,False,6.475045882319961,0.0,0.0,0.32258064516129026,-5.656575863353978
BPIC15_1,duration,True,desk distribution,one-number,155,True,1.8949408578292188,0.17991831380029005,0.10490725875685936,0.3162241586466844,-0.1799183138002896
BPIC15_1,duration,True,desk distribution,uniform-beneficial,155,False,1.7150225440289288,0.0,0.0,0.3162241586466844,-0.1799183138002896
BPIC15_1,duration,True,desk distribution,majority,155,False,1.7150225440289288,0.0,0.0,0.3162241586466844,-0.1799183138002896
BPIC15_1,duration,True,desk distribution,weighted-mean,155,False,1.7150225440289288,0.0,0.0,0.3162241586466844,-0.1799183138002896
BPIC15_1,duration,True,fixed 1:2,one-number,155,True,0.8847736625514001,0.0,0.0,0.6000000000000001,0.16460905349793983
BPIC15_1,duration,True,fixed 1:2,uniform-beneficial,155,False,1.04938271604934,0.16460905349793994,0.18604651162791266,0.6000000000000001,0.16460905349793983
BPIC15_1,duration,True,fixed 1:2,majority,155,True,0.8847736625514001,0.0,0.0,0.6000000000000001,0.16460905349793983
BPIC15_1,duration,True,fixed 1:2,weighted-mean,155,True,0.8847736625514001,0.0,0.0,0.6000000000000001,0.16460905349793983
BPIC15_1,duration,True,fixed 1:4,one-number,155,True,0.0,0.0,,0.6000000000000001,0.41666666666664
BPIC15_1,duration,True,fixed 1:4,uniform-beneficial,155,False,0.41666666666664,0.41666666666664,,0.6000000000000001,0.41666666666664
BPIC15_1,duration,True,fixed 1:4,majority,155,True,0.0,0.0,,0.6000000000000001,0.41666666666664
BPIC15_1,duration,True,fixed 1:4,weighted-mean,155,True,0.0,0.0,,0.6000000000000001,0.41666666666664
BPIC15_1,duration,True,fixed 1:9,one-number,155,True,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:9,uniform-beneficial,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:9,majority,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:9,weighted-mean,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:19,one-number,155,True,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:19,uniform-beneficial,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:19,majority,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,duration,True,fixed 1:19,weighted-mean,155,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,uniform over the declared range,one-number,124,False,18.630339517530302,17.290244801227196,12.902255781535699,0.5080645161290323,17.2902448012272
BPIC15_1,handover,True,uniform over the declared range,uniform-beneficial,124,False,18.630339517530302,17.290244801227196,12.902255781535699,0.5080645161290323,17.2902448012272
BPIC15_1,handover,True,uniform over the declared range,majority,124,True,1.3400947163031063,0.0,0.0,0.5080645161290323,17.2902448012272
BPIC15_1,handover,True,uniform over the declared range,weighted-mean,124,True,1.3400947163031063,0.0,0.0,0.5080645161290323,17.2902448012272
BPIC15_1,handover,True,desk distribution,one-number,124,False,0.6838322177077653,0.13901970589675586,0.25516981141758466,0.23383873900672883,0.13901970589675597
BPIC15_1,handover,True,desk distribution,uniform-beneficial,124,False,0.6838322177077653,0.13901970589675586,0.25516981141758466,0.23383873900672883,0.13901970589675597
BPIC15_1,handover,True,desk distribution,majority,124,False,0.6838322177077653,0.13901970589675586,0.25516981141758466,0.23383873900672883,0.13901970589675597
BPIC15_1,handover,True,desk distribution,weighted-mean,124,True,0.5448125118110093,0.0,0.0,0.23383873900672883,0.13901970589675597
BPIC15_1,handover,True,fixed 1:2,one-number,124,False,0.385802469135775,0.0,0.0,0.5,-0.6687242798354252
BPIC15_1,handover,True,fixed 1:2,uniform-beneficial,124,False,0.385802469135775,0.0,0.0,0.5,-0.6687242798354252
BPIC15_1,handover,True,fixed 1:2,majority,124,False,0.385802469135775,0.0,0.0,0.5,-0.6687242798354252
BPIC15_1,handover,True,fixed 1:2,weighted-mean,124,False,0.385802469135775,0.0,0.0,0.5,-0.6687242798354252
BPIC15_1,handover,True,fixed 1:4,one-number,124,False,1.2152777777777501,1.2152777777777501,,0.25,1.2152777777777501
BPIC15_1,handover,True,fixed 1:4,uniform-beneficial,124,False,1.2152777777777501,1.2152777777777501,,0.25,1.2152777777777501
BPIC15_1,handover,True,fixed 1:4,majority,124,False,1.2152777777777501,1.2152777777777501,,0.25,1.2152777777777501
BPIC15_1,handover,True,fixed 1:4,weighted-mean,124,True,0.0,0.0,,0.25,1.2152777777777501
BPIC15_1,handover,True,fixed 1:9,one-number,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:9,uniform-beneficial,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:9,majority,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:9,weighted-mean,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:19,one-number,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:19,uniform-beneficial,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:19,majority,124,False,0.0,0.0,,0.0,0.0
BPIC15_1,handover,True,fixed 1:19,weighted-mean,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,uniform over the declared range,one-number,155,True,12.35680100916625,0.0,0.0,0.5354838709677417,14.34065039034909
BPIC15_3,duration,True,uniform over the declared range,uniform-beneficial,155,False,26.69745139951534,14.340650390349092,1.1605471658652775,0.5354838709677417,14.34065039034909
BPIC15_3,duration,True,uniform over the declared range,majority,155,True,12.35680100916625,0.0,0.0,0.5354838709677417,14.34065039034909
BPIC15_3,duration,True,uniform over the declared range,weighted-mean,155,True,12.35680100916625,0.0,0.0,0.5354838709677417,14.34065039034909
BPIC15_3,duration,True,desk distribution,one-number,155,True,0.45638682716024476,0.0,0.0,0.43693300772214094,6.500090374877326
BPIC15_3,duration,True,desk distribution,uniform-beneficial,155,False,6.95647720203757,6.500090374877326,14.242502167125519,0.43693300772214094,6.500090374877326
BPIC15_3,duration,True,desk distribution,majority,155,False,6.95647720203757,6.500090374877326,14.242502167125519,0.43693300772214094,6.500090374877326
BPIC15_3,duration,True,desk distribution,weighted-mean,155,True,0.45638682716024476,0.0,0.0,0.43693300772214094,6.500090374877326
BPIC15_3,duration,True,fixed 1:2,one-number,155,True,1.48848612205584,0.0,0.0,0.8,23.55310393135452
BPIC15_3,duration,True,fixed 1:2,uniform-beneficial,155,False,25.041590053410363,23.55310393135452,15.823529411764937,0.8,23.55310393135452
BPIC15_3,duration,True,fixed 1:2,majority,155,True,1.48848612205584,0.0,0.0,0.8,23.55310393135452
BPIC15_3,duration,True,fixed 1:2,weighted-mean,155,True,1.48848612205584,0.0,0.0,0.8,23.55310393135452
BPIC15_3,duration,True,fixed 1:4,one-number,155,True,0.354609929078,0.2364066193853178,1.9999999999996054,0.6000000000000001,-0.23640661938531776
BPIC15_3,duration,True,fixed 1:4,uniform-beneficial,155,False,0.11820330969268222,0.0,0.0,0.6000000000000001,-0.23640661938531776
BPIC15_3,duration,True,fixed 1:4,majority,155,True,0.354609929078,0.2364066193853178,1.9999999999996054,0.6000000000000001,-0.23640661938531776
BPIC15_3,duration,True,fixed 1:4,weighted-mean,155,False,0.11820330969268222,0.0,0.0,0.6000000000000001,-0.23640661938531776
BPIC15_3,duration,True,fixed 1:9,one-number,155,True,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:9,uniform-beneficial,155,False,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:9,majority,155,False,0.0,0.0,,0.0,0.0
