split,quality,level,rung,learner,metric,without_f,with_f,V,log,target,rank
rolling1,mask_rare,0.5,B_intake,hgb,auc,0.4770365168539326,0.5990870786516854,0.12205056179775281,BPIC15_3,duration,13
holdout70,clean,1.0,B_half,logit,auc,0.641090335661185,0.7640797476909214,0.12298941202973634,BPIC15_3,duration,14
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.5384208154989862,0.6719080874070738,0.1334872719080875,BPIC15_3,duration,15
rolling1,clean,1.0,B_half,hgb,auc,0.6307584269662921,0.7922752808988763,0.1615168539325842,BPIC15_3,duration,16
rolling1,clean,1.0,B_intake_g,logit,auc,0.5232443820224719,0.6891151685393259,0.16587078651685394,BPIC15_3,duration,17
holdout70,clean,1.0,B_intake_g,hgb,auc,0.5384208154989862,0.7087857625591351,0.17036494706014882,BPIC15_3,duration,18
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.512041000225276,0.6861680558684388,0.17412705564316278,BPIC15_3,duration,19
rolling1,clean,1.0,B_intake,logit,auc,0.5211376404494382,0.6979634831460674,0.17682584269662915,BPIC15_3,duration,20
holdout70,clean,1.0,B_intake,hgb,auc,0.512041000225276,0.692160396485695,0.18011939626041906,BPIC15_3,duration,21
rolling1,clean,1.0,B_half,logit,auc,0.6617977528089887,0.8521067415730338,0.19030898876404512,BPIC15_3,duration,22
rolling1,clean,1.0,B_intake_g,hgb,auc,0.5063904494382023,0.8004213483146068,0.29403089887640443,BPIC15_3,duration,23
rolling1,clean,1.0,B_intake,hgb,auc,0.4770365168539326,0.7985955056179774,0.3215589887640448,BPIC15_3,duration,24
holdout70,clean,1.0,B_half,hgb,auc,0.7189947780678851,0.6558420365535248,-0.06315274151436034,BPIC15_3,handover,1
holdout70,mask_rare,0.5,B_half,hgb,auc,0.7189947780678851,0.666742819843342,-0.052251958224543094,BPIC15_3,handover,2
holdout70,clean,1.0,B_intake,hgb,auc,0.8849869451697128,0.8547650130548303,-0.030221932114882444,BPIC15_3,handover,3
holdout70,mask_rare,0.5,B_intake,hgb,auc,0.8849869451697128,0.8681462140992168,-0.016840731070495996,BPIC15_3,handover,4
rolling1,mask_rare,0.5,B_intake,hgb,auc,0.8660022148394241,0.8492986341823551,-0.016703580657069006,BPIC15_3,handover,5
holdout70,clean,1.0,B_intake_g,hgb,auc,0.8569516971279372,0.8442558746736292,-0.012695822454308003,BPIC15_3,handover,6
holdout70,clean,1.0,B_intake_g,logit,auc,0.9011749347258486,0.8981396866840732,-0.0030352480417754624,BPIC15_3,handover,7
holdout70,clean,1.0,B_intake,logit,auc,0.8965731070496085,0.8946801566579634,-0.001892950391645054,BPIC15_3,handover,8
holdout70,mask_rare,0.5,B_intake_g,hgb,auc,0.8569516971279372,0.8559725848563968,-0.00097911227154035,BPIC15_3,handover,9
holdout70,mask_rare,0.5,B_intake_g,logit,auc,0.9011749347258486,0.9081919060052219,0.007016971279373285,BPIC15_3,handover,10
holdout70,mask_rare,0.5,B_intake,logit,auc,0.8965731070496085,0.9038185378590078,0.0072454308093993225,BPIC15_3,handover,11
rolling1,mask_rare,0.5,B_intake_g,logit,auc,0.8805832410483573,0.903377630121816,0.022794389073458765,BPIC15_3,handover,12
rolling1,mask_rare,0.5,B_intake_g,hgb,auc,0.8235511258767072,0.8476375046142489,0.024086378737541714,BPIC15_3,handover,13
rolling1,mask_rare,0.5,B_intake,logit,auc,0.8743078626799557,0.9020856404577337,0.0277777777777779,BPIC15_3,handover,14
rolling1,clean,1.0,B_intake_g,logit,auc,0.8805832410483573,0.9118678479143596,0.03128460686600232,BPIC15_3,handover,15
rolling1,clean,1.0,B_intake,hgb,auc,0.8660022148394241,0.8995016611295682,0.03349944629014412,BPIC15_3,handover,16
rolling1,clean,1.0,B_intake,logit,auc,0.8743078626799557,0.9168512366186784,0.04254337393872265,BPIC15_3,handover,17
rolling1,clean,1.0,B_intake_g,hgb,auc,0.8235511258767072,0.89562569213732,0.07207456626061282,BPIC15_3,handover,18
