quantity,pipeline,package,difference,agrees,tolerance
S_total[UCI498/duration/rung],0.6203175931689547,0.6203175931689547,0.0,True,1e-12
S[UCI498/duration/metric],0.1607068853660153,0.16070688536601535,5.551115123125783e-17,True,1e-12
S_total[UCI498/duration/metric],0.5463761843611363,0.5463761843611363,0.0,True,1e-12
S[UCI498/duration/split],0.1159750756109932,0.1159750756109932,0.0,True,1e-12
S_total[UCI498/duration/split],0.263870182016016,0.263870182016016,0.0,True,1e-12
S[UCI498/duration/learner],0.0199360458609686,0.019936045860968664,6.245004513516506e-17,True,1e-12
S_total[UCI498/duration/learner],0.1116006773494602,0.11160067734946022,1.3877787807814457e-17,True,1e-12
S[UCI498/duration/quality_level],0.0079409898268409,0.007940989826840982,8.153200337090993e-17,True,1e-12
S_total[UCI498/duration/quality_level],0.1394088150173842,0.13940881501738422,2.7755575615628914e-17,True,1e-12
S[UCI498/handover/rung],0.3079637416225677,0.3079637416225677,0.0,True,1e-12
S_total[UCI498/handover/rung],0.6888584874427945,0.6888584874427945,0.0,True,1e-12
S[UCI498/handover/metric],0.0786748663780778,0.07867486637807782,1.3877787807814457e-17,True,1e-12
S_total[UCI498/handover/metric],0.3615966716644255,0.36159667166442555,5.551115123125783e-17,True,1e-12
S[UCI498/handover/split],0.0570525350120786,0.05705253501207864,3.469446951953614e-17,True,1e-12
S_total[UCI498/handover/split],0.3034145992066239,0.30341459920662395,5.551115123125783e-17,True,1e-12
S[UCI498/handover/learner],0.0399702417544782,0.039970241754478275,7.632783294297951e-17,True,1e-12
S_total[UCI498/handover/learner],0.2070377506283078,0.20703775062830787,8.326672684688674e-17,True,1e-12
S[UCI498/handover/quality_level],0.0251584163695141,0.02515841636951415,5.204170427930421e-17,True,1e-12
S_total[UCI498/handover/quality_level],0.1465277928435667,0.14652779284356676,5.551115123125783e-17,True,1e-12
misreport_mean[BPIC13_closed/handover],0.40691186556927295,0.40691186556927306,1.1102230246251565e-16,True,1e-12
regret_mean[BPIC13_closed/handover],0.03671774182575286,0.036717741825752916,5.551115123125783e-17,True,1e-12
misreport_mean[BPIC13_incidents/duration],0.4769272976680384,0.4769272976680384,0.0,True,1e-12
regret_mean[BPIC13_incidents/duration],0.0656669040373528,0.06566690403735284,4.163336342344337e-17,True,1e-12
misreport_mean[BPIC13_incidents/handover],0.19753086419753088,0.1975308641975309,2.7755575615628914e-17,True,1e-12
regret_mean[BPIC13_incidents/handover],0.0506600122086051,0.050660012208605144,4.163336342344337e-17,True,1e-12
misreport_mean[BPIC14/duration],0.19024991319444443,0.19024991319444443,0.0,True,1e-12
regret_mean[BPIC14/duration],0.007705685293404404,0.007705685293404467,6.245004513516506e-17,True,1e-12
misreport_mean[BPIC14/handover],0.368671875,0.368671875,0.0,True,1e-12
regret_mean[BPIC14/handover],0.023331127881060405,0.023331127881060447,4.163336342344337e-17,True,1e-12
misreport_mean[BPIC15_1/duration],0.48818758573388205,0.48818758573388216,1.1102230246251565e-16,True,1e-12
regret_mean[BPIC15_1/duration],0.031387131737839545,0.03138713173783956,1.3877787807814457e-17,True,1e-12
misreport_mean[BPIC15_1/handover],0.3665277777777778,0.3665277777777778,0.0,True,1e-12
regret_mean[BPIC15_1/handover],0.0593595101614974,0.05935951016149749,9.020562075079397e-17,True,1e-12
misreport_mean[BPIC15_3/duration],0.30871742112482853,0.30871742112482853,0.0,True,1e-12
regret_mean[BPIC15_3/duration],0.04086906530458253,0.04086906530458256,2.7755575615628914e-17,True,1e-12
misreport_mean[BPIC15_3/handover],0.4732081618655693,0.4732081618655693,0.0,True,1e-12
regret_mean[BPIC15_3/handover],0.06899253138882029,0.06899253138882033,4.163336342344337e-17,True,1e-12
misreport_mean[BPIC15_4/duration],0.46966906721536356,0.46966906721536356,0.0,True,1e-12
regret_mean[BPIC15_4/duration],0.031227909985550934,0.031227909985550962,2.7755575615628914e-17,True,1e-12
misreport_mean[BPIC15_4/handover],0.4723439643347051,0.4723439643347051,0.0,True,1e-12
regret_mean[BPIC15_4/handover],0.08416916435640619,0.08416916435640621,2.7755575615628914e-17,True,1e-12
misreport_mean[BPIC15_5/duration],0.44067901234567897,0.44067901234567897,0.0,True,1e-12
regret_mean[BPIC15_5/duration],0.0431391387066059,0.04313913870660598,8.326672684688674e-17,True,1e-12
misreport_mean[BPIC17/duration],0.4566512345679012,0.4566512345679013,1.1102230246251565e-16,True,1e-12
regret_mean[BPIC17/duration],0.002600586540807089,0.0026005865408071293,4.0332320816460765e-17,True,1e-12
misreport_mean[BPIC19/duration],0.4544427297668039,0.4544427297668039,0.0,True,1e-12
regret_mean[BPIC19/duration],0.08461064172157008,0.08461064172157012,4.163336342344337e-17,True,1e-12
misreport_mean[Helpdesk/duration],0.3822976680384088,0.3822976680384088,0.0,True,1e-12
regret_mean[Helpdesk/duration],0.01135853434180603,0.011358534341806064,3.469446951953614e-17,True,1e-12
misreport_mean[RoadFines/duration],0.23516975308641969,0.23516975308641974,5.551115123125783e-17,True,1e-12
regret_mean[RoadFines/duration],0.0031667343789523383,0.003166734378952411,7.28583859910259e-17,True,1e-12
misreport_mean[Sepsis/duration],0.10658264746227701,0.1065826474622771,8.326672684688674e-17,True,1e-12
regret_mean[Sepsis/duration],0.016604120667690094,0.01660412066769018,8.673617379884035e-17,True,1e-12
misreport_mean[UCI498/duration],0.4998902606310014,0.4998902606310014,0.0,True,1e-12
regret_mean[UCI498/duration],0.007780469755730778,0.007780469755730829,5.117434254131581e-17,True,1e-12
misreport_mean[UCI498/handover],0.49931412894375854,0.49931412894375865,1.1102230246251565e-16,True,1e-12
regret_mean[UCI498/handover],0.005921534483493656,0.00592153448349371,5.4643789493269423e-17,True,1e-12
rho[BPIC13_closed/handover],-0.0333333333333333,-0.03333333333333333,3.469446951953614e-17,True,1e-12
region[BPIC13_closed/handover],conditionally harmful,conditionally harmful,,True,
rho[BPIC13_incidents/duration],0.5333333333333333,0.5333333333333333,0.0,True,1e-12
region[BPIC13_incidents/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC13_incidents/handover],0.8666666666666667,0.8666666666666667,0.0,True,1e-12
region[BPIC13_incidents/handover],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC14/duration],0.78125,0.78125,0.0,True,1e-12
region[BPIC14/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC14/handover],0.540625,0.540625,0.0,True,1e-12
region[BPIC14/handover],sign-changing,sign-changing,,True,
rho[BPIC15_1/duration],0.2,0.2,0.0,True,1e-12
region[BPIC15_1/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC15_1/handover],0.0333333333333333,0.03333333333333333,3.469446951953614e-17,True,1e-12
region[BPIC15_1/handover],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC15_3/duration],0.5,0.5,0.0,True,1e-12
region[BPIC15_3/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC15_3/handover],0.0,0.0,0.0,True,1e-12
region[BPIC15_3/handover],unresolved,unresolved,,True,
rho[BPIC15_4/duration],0.0333333333333333,0.03333333333333333,3.469446951953614e-17,True,1e-12
region[BPIC15_4/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC15_4/handover],0.0,0.0,0.0,True,1e-12
region[BPIC15_4/handover],unresolved,unresolved,,True,
rho[BPIC15_5/duration],0.2666666666666666,0.26666666666666666,5.551115123125783e-17,True,1e-12
region[BPIC15_5/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC17/duration],0.2,0.2,0.0,True,1e-12
region[BPIC17/duration],conditionally beneficial,conditionally beneficial,,True,
rho[BPIC19/duration],-0.3666666666666666,-0.36666666666666664,5.551115123125783e-17,True,1e-12
region[BPIC19/duration],sign-changing,sign-changing,,True,
rho[Helpdesk/duration],0.0333333333333333,0.03333333333333333,3.469446951953614e-17,True,1e-12
region[Helpdesk/duration],conditionally beneficial,conditionally beneficial,,True,
rho[RoadFines/duration],0.4,0.4,0.0,True,1e-12
region[RoadFines/duration],sign-changing,sign-changing,,True,
rho[Sepsis/duration],1.0,1.0,0.0,True,1e-12
region[Sepsis/duration],uniformly beneficial,uniformly beneficial,,True,
rho[UCI498/duration],0.1333333333333333,0.13333333333333333,2.7755575615628914e-17,True,1e-12
region[UCI498/duration],conditionally beneficial,conditionally beneficial,,True,
rho[UCI498/handover],0.2333333333333333,0.23333333333333334,2.7755575615628914e-17,True,1e-12
region[UCI498/handover],sign-changing,sign-changing,,True,
