log,target,metric,draw,interaction_total
BPIC13_closed,handover,brier_skill,30,0.6360195744978443
BPIC13_closed,handover,brier_skill,31,0.3644571302490899
BPIC13_closed,handover,brier_skill,32,0.3644160957329887
BPIC13_closed,handover,brier_skill,33,0.7243170261845131
BPIC13_closed,handover,brier_skill,34,0.2567823929113726
BPIC13_closed,handover,brier_skill,35,0.5265631553078445
BPIC13_closed,handover,brier_skill,36,0.23127895413826438
BPIC13_closed,handover,brier_skill,37,0.603654350206519
BPIC13_closed,handover,brier_skill,38,0.6624674417438863
BPIC13_closed,handover,brier_skill,39,0.32045109436664276
BPIC13_closed,handover,brier_skill,40,0.41204342952350226
BPIC13_closed,handover,brier_skill,41,0.48954898371412026
BPIC13_closed,handover,brier_skill,42,0.45561804250610627
BPIC13_closed,handover,brier_skill,43,0.4142829489278068
BPIC13_closed,handover,brier_skill,44,0.491659623938109
BPIC13_closed,handover,brier_skill,45,0.5298937941078234
BPIC13_closed,handover,brier_skill,46,0.3906450261957679
BPIC13_closed,handover,brier_skill,47,0.4622108174033216
BPIC13_closed,handover,brier_skill,48,0.5901714139337196
BPIC13_closed,handover,brier_skill,49,0.562049627988972
BPIC13_closed,handover,brier_skill,50,0.6649049478334789
BPIC13_closed,handover,brier_skill,51,0.2610663587165172
BPIC13_closed,handover,brier_skill,52,0.6800353406346704
BPIC13_closed,handover,brier_skill,53,0.7671667572269973
BPIC13_closed,handover,brier_skill,54,0.49015295491615507
BPIC13_closed,handover,brier_skill,55,0.4171324068094342
BPIC13_closed,handover,brier_skill,56,0.7322415978066328
BPIC13_closed,handover,brier_skill,57,0.5917698386923183
BPIC13_closed,handover,brier_skill,58,0.6512532450254545
BPIC13_closed,handover,brier_skill,59,0.23855133960641262
BPIC13_closed,handover,brier_skill,60,0.34683572310478605
BPIC13_closed,handover,brier_skill,61,0.5491938346701457
BPIC13_closed,handover,brier_skill,62,0.8878056497192316
BPIC13_closed,handover,brier_skill,63,0.4631104013580727
BPIC13_closed,handover,brier_skill,64,0.3319053861504718
BPIC13_closed,handover,brier_skill,65,0.5460634472548804
BPIC13_closed,handover,brier_skill,66,0.5722314931419821
BPIC13_closed,handover,brier_skill,67,0.5104661297832211
BPIC13_closed,handover,brier_skill,68,0.5163435535359446
BPIC13_closed,handover,brier_skill,69,0.7359131740594926
BPIC13_closed,handover,brier_skill,70,0.8420244435896913
BPIC13_closed,handover,brier_skill,71,0.5352926286277111
BPIC13_closed,handover,brier_skill,72,0.7788806720228836
BPIC13_closed,handover,brier_skill,73,0.3600473340316859
BPIC13_closed,handover,brier_skill,74,0.35029453801816435
BPIC13_closed,handover,brier_skill,75,0.41206073758196626
BPIC13_closed,handover,brier_skill,76,0.6870482131348713
BPIC13_closed,handover,brier_skill,77,0.4872311663470583
BPIC13_closed,handover,brier_skill,78,0.44244554448934026
BPIC13_closed,handover,brier_skill,79,0.606310807941279
BPIC13_closed,handover,logloss_skill,0,0.2943964353183246
BPIC13_closed,handover,logloss_skill,1,0.550446451496066
BPIC13_closed,handover,logloss_skill,2,0.5297845929659657
BPIC13_closed,handover,logloss_skill,3,0.3115392448410821
BPIC13_closed,handover,logloss_skill,4,0.41007561606223775
BPIC13_closed,handover,logloss_skill,5,0.6968920259896325
BPIC13_closed,handover,logloss_skill,6,0.3614685878293762
BPIC13_closed,handover,logloss_skill,7,0.3497650091594221
BPIC13_closed,handover,logloss_skill,8,0.5066809626861758
BPIC13_closed,handover,logloss_skill,9,0.39252112321294996
BPIC13_closed,handover,logloss_skill,10,0.6178679699253377
BPIC13_closed,handover,logloss_skill,11,0.3462471004453317
BPIC13_closed,handover,logloss_skill,12,0.25609104174094965
BPIC13_closed,handover,logloss_skill,13,0.43868039462889086
BPIC13_closed,handover,logloss_skill,14,0.3656865318330582
BPIC13_closed,handover,logloss_skill,15,0.4178650514719239
BPIC13_closed,handover,logloss_skill,16,0.31049427536333296
BPIC13_closed,handover,logloss_skill,17,0.40705718358675214
BPIC13_closed,handover,logloss_skill,18,0.5484617318060285
BPIC13_closed,handover,logloss_skill,19,0.4405231915731752
BPIC13_closed,handover,logloss_skill,20,0.5051419378584535
BPIC13_closed,handover,logloss_skill,21,0.38278411920604893
BPIC13_closed,handover,logloss_skill,22,0.5735935309668653
BPIC13_closed,handover,logloss_skill,23,0.5572141217010529
BPIC13_closed,handover,logloss_skill,24,0.3302646769506221
BPIC13_closed,handover,logloss_skill,25,0.34837594912038805
BPIC13_closed,handover,logloss_skill,26,0.45870786602863634
BPIC13_closed,handover,logloss_skill,27,0.34929408963671404
BPIC13_closed,handover,logloss_skill,28,0.6270648951281718
BPIC13_closed,handover,logloss_skill,29,0.35311743115890903
BPIC13_closed,handover,logloss_skill,30,0.41310625159735104
BPIC13_closed,handover,logloss_skill,31,0.3259756127107223
BPIC13_closed,handover,logloss_skill,32,0.32900542461538795
BPIC13_closed,handover,logloss_skill,33,0.5715431527431568
BPIC13_closed,handover,logloss_skill,34,0.25395458430365303
BPIC13_closed,handover,logloss_skill,35,0.4985693739758663
BPIC13_closed,handover,logloss_skill,36,0.27869379760155366
BPIC13_closed,handover,logloss_skill,37,0.5652664457388982
BPIC13_closed,handover,logloss_skill,38,0.5060899472473391
BPIC13_closed,handover,logloss_skill,39,0.38035577938458776
BPIC13_closed,handover,logloss_skill,40,0.4022108670554517
BPIC13_closed,handover,logloss_skill,41,0.39944329095579334
BPIC13_closed,handover,logloss_skill,42,0.46389333587361425
BPIC13_closed,handover,logloss_skill,43,0.34105679244081766
BPIC13_closed,handover,logloss_skill,44,0.3466854723731031
BPIC13_closed,handover,logloss_skill,45,0.5841463414269357
BPIC13_closed,handover,logloss_skill,46,0.3763353302728438
BPIC13_closed,handover,logloss_skill,47,0.5087391751476518
BPIC13_closed,handover,logloss_skill,48,0.4981668004755261
BPIC13_closed,handover,logloss_skill,49,0.4547171617419593
BPIC13_closed,handover,logloss_skill,50,0.5226702193361055
BPIC13_closed,handover,logloss_skill,51,0.25474552918876747
BPIC13_closed,handover,logloss_skill,52,0.4926054488050048
BPIC13_closed,handover,logloss_skill,53,0.6411211067113776
BPIC13_closed,handover,logloss_skill,54,0.4050038632876918
BPIC13_closed,handover,logloss_skill,55,0.3179697491237876
BPIC13_closed,handover,logloss_skill,56,0.6659146366046093
BPIC13_closed,handover,logloss_skill,57,0.6322289419406693
BPIC13_closed,handover,logloss_skill,58,0.6089810816221403
BPIC13_closed,handover,logloss_skill,59,0.23191290109113438
BPIC13_closed,handover,logloss_skill,60,0.3544133685668881
BPIC13_closed,handover,logloss_skill,61,0.6521921664644273
BPIC13_closed,handover,logloss_skill,62,0.5911830976498655
BPIC13_closed,handover,logloss_skill,63,0.4138612437763167
BPIC13_closed,handover,logloss_skill,64,0.3489011162742851
BPIC13_closed,handover,logloss_skill,65,0.45014946790732635
BPIC13_closed,handover,logloss_skill,66,0.3922633168846813
BPIC13_closed,handover,logloss_skill,67,0.34669342704391215
BPIC13_closed,handover,logloss_skill,68,0.3534275406309241
BPIC13_closed,handover,logloss_skill,69,0.5271577157179722
BPIC13_closed,handover,logloss_skill,70,0.6162628682214568
BPIC13_closed,handover,logloss_skill,71,0.36363221044623295
BPIC13_closed,handover,logloss_skill,72,0.6721969200541122
BPIC13_closed,handover,logloss_skill,73,0.3110796759340416
BPIC13_closed,handover,logloss_skill,74,0.369485759440338
BPIC13_closed,handover,logloss_skill,75,0.2622713673385113
BPIC13_closed,handover,logloss_skill,76,0.5986553589383768
BPIC13_closed,handover,logloss_skill,77,0.5692782052190009
BPIC13_closed,handover,logloss_skill,78,0.48639720534460795
BPIC13_closed,handover,logloss_skill,79,0.5555914975737511
BPIC13_closed,handover,nagelkerke,0,0.40964664333251
BPIC13_closed,handover,nagelkerke,1,0.55551014877221
BPIC13_closed,handover,nagelkerke,2,0.5506478361204912
BPIC13_closed,handover,nagelkerke,3,0.3035824480872078
