family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
decision-curve,nonzero,534,40,q_emp_hi,2000,0.889,534.0,0.007024208140424086,0.9965271535580524,0.9045477528089888,10.602671936494206,5.442973392863747,9.545450827020959,1.7725703163877184,0.348,16.491,1.5976240514828293,0.4867974691160524,7.170360571853682,0.0
decision-curve,nonzero,534,40,q_rad,2000,0.6225,534.0,0.010839597547879718,0.9883455056179775,0.9045477528089888,6.814377523417705,3.4754178377114435,9.545450827020959,2.743979056320153,1.1955,73.767,1.5976240514828293,0.4867974691160524,7.170360571853682,0.0
decision-curve,nonzero,1100,80,q_mult,2000,0.831,1100.0,0.008379707632131328,0.992845,0.926149090909091,7.867666855979227,3.977825915629822,9.076709536825163,2.284973750072235,1.437,97.4495,1.6156326760257047,0.8740976901784363,9.373280242370772,0.0
decision-curve,nonzero,1100,80,q_mult_hi,2000,0.835,1100.0,0.008299849396224006,0.9929454545454546,0.926149090909091,7.900996370850681,3.994683447339238,9.076709536825163,2.2732706528737405,1.415,96.067,1.6156326760257047,0.8740976901784363,9.373280242370772,0.0
decision-curve,nonzero,1100,80,q_emp,2000,0.8915,1100.0,0.00695441406590088,0.9980427272727272,0.926149090909091,12.162290911005533,6.288867758154458,9.076709536825163,1.4432053196662498,0.3865,20.2535,1.6156326760257047,0.8740976901784363,9.373280242370772,0.0
decision-curve,nonzero,1100,80,q_emp_hi,2000,0.9015,1100.0,0.0066632480818291625,0.9993218181818181,0.926149090909091,13.891927789429067,7.041966056294195,9.076709536825163,1.2876187755115363,0.1125,6.214,1.6156326760257047,0.8740976901784363,9.373280242370772,0.0
decision-curve,nonzero,1100,80,q_rad,2000,0.7655,1100.0,0.009473904949913736,0.9917440909090909,0.926149090909091,7.463480753814026,3.7723392668004534,9.076709536825163,2.406946748667573,1.676,115.294,1.6156326760257047,0.8740976901784363,9.373280242370772,0.0
decision-curve,nonzero,2966,150,q_mult,2000,0.8545,2966.0,0.007884470495854492,0.9947619689817937,0.9387016183412001,8.405248528354544,4.224801589933955,9.327557870269773,2.2074267058554766,2.7475,210.812,1.6373731530741684,1.1900480929128328,10.540591404139183,0.0
decision-curve,nonzero,2966,150,q_mult_hi,2000,0.859,2966.0,0.007781998457979801,0.9948272083614295,0.9387016183412001,8.43718240837584,4.240791078173187,9.327557870269773,2.198586947507597,2.715,207.845,1.6373731530741684,1.1900480929128328,10.540591404139183,0.0
decision-curve,nonzero,2966,150,q_emp,2000,0.906,2966.0,0.0065254884874620675,0.9994546527309508,0.9387016183412001,14.632637576610941,7.406928878018037,9.327557870269773,1.2570161014825465,0.2635,12.6315,1.6373731530741684,1.1900480929128328,10.540591404139183,0.0
