experiment,world,K,n_train,block_mult,estimand,interval,n,coverage,coverage_se,bias,bias_se,mean_width,width_se,rmse,truth
core,sparse,200,4000,1.0,V_limit,naive_basic,1000,0.643,0.015150940564862632,-0.01229158392853242,0.0002609660789291297,0.03069184219298483,9.451274556347194e-05,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_limit,naive_bc,1000,0.62,0.015349267083479915,-0.01229158392853242,0.0002609660789291297,0.030518620815826843,9.637205681382718e-05,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_limit,nested_pct,1000,0.372,0.015284501954594399,-0.01229158392853242,0.0002609660789291297,0.03364620894946482,0.00010855652281698099,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_limit,nested_basic,1000,0.899,0.009528850927577784,-0.01229158392853242,0.0002609660789291297,0.03364620894946482,0.00010855652281698099,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_limit,nested_bc,1000,0.631,0.015259062880793171,-0.01229158392853242,0.0002609660789291297,0.026072261917576497,0.0001741113846667612,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_limit,nested_mofn,1000,0.728,0.014071815803228808,-0.01229158392853242,0.0002609660789291297,0.025482823520486295,0.00015954199424901135,0.014802642552242137,0.0909080229746062
core,sparse,200,4000,1.0,V_oracle,naive_pct,1000,0.601,0.015485444778888335,-0.012872478975532115,0.0002609660789291297,0.03069184219298483,9.451274556347194e-05,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,naive_basic,1000,0.61,0.01542400726140908,-0.012872478975532115,0.0002609660789291297,0.03069184219298483,9.451274556347194e-05,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,naive_bc,1000,0.593,0.015535475531827148,-0.012872478975532115,0.0002609660789291297,0.030518620815826843,9.637205681382718e-05,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,nested_pct,1000,0.355,0.015131919904625453,-0.012872478975532115,0.0002609660789291297,0.03364620894946482,0.00010855652281698099,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,nested_basic,1000,0.883,0.010164201887015036,-0.012872478975532115,0.0002609660789291297,0.03364620894946482,0.00010855652281698099,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,nested_bc,1000,0.607,0.015445096309184997,-0.012872478975532115,0.0002609660789291297,0.026072261917576497,0.0001741113846667612,0.015288423922458763,0.0914889180216059
core,sparse,200,4000,1.0,V_oracle,nested_mofn,1000,0.716,0.014259873772232349,-0.012872478975532115,0.0002609660789291297,0.025482823520486295,0.00015954199424901135,0.015288423922458763,0.0914889180216059
grid,linear,20,2000,1.0,V_limit,naive_pct,150,0.8666666666666667,0.027755546659548436,-0.0035363194511934216,0.0018416102675024371,0.07740558763173122,0.0008317486605994786,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_limit,naive_basic,150,0.9,0.02449489742783178,-0.0035363194511934216,0.0018416102675024371,0.07740558763173122,0.0008317486605994786,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_limit,naive_bc,150,0.8733333333333333,0.027156610272298008,-0.0035363194511934216,0.0018416102675024371,0.07635860790887894,0.0008735843620888955,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_limit,nested_pct,150,0.8866666666666667,0.025882927305966103,-0.0035363194511934216,0.0018416102675024371,0.0849142906739372,0.001088919586348005,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_limit,nested_basic,150,0.8866666666666667,0.025882927305966103,-0.0035363194511934216,0.0018416102675024371,0.0849142906739372,0.0010889195863480051,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_limit,nested_bc,150,0.8666666666666667,0.027755546659548436,-0.0035363194511934216,0.0018416102675024371,0.08006340488161191,0.001032025941603834,0.022756170228952814,0.19189645322729698
grid,linear,20,2000,1.0,V_oracle,naive_pct,150,0.8666666666666667,0.027755546659548436,-0.0036072095812262296,0.0018416102675024371,0.07740558763173122,0.0008317486605994786,0.022767294287883218,0.1919673433573298
grid,linear,20,2000,1.0,V_oracle,naive_basic,150,0.9,0.02449489742783178,-0.0036072095812262296,0.0018416102675024371,0.07740558763173122,0.0008317486605994786,0.022767294287883218,0.1919673433573298
grid,linear,20,2000,1.0,V_oracle,naive_bc,150,0.8733333333333333,0.027156610272298008,-0.0036072095812262296,0.0018416102675024371,0.07635860790887894,0.0008735843620888955,0.022767294287883218,0.1919673433573298
grid,linear,20,2000,1.0,V_oracle,nested_pct,150,0.8866666666666667,0.025882927305966103,-0.0036072095812262296,0.0018416102675024371,0.0849142906739372,0.001088919586348005,0.022767294287883218,0.1919673433573298
grid,linear,20,2000,1.0,V_oracle,nested_basic,150,0.8866666666666667,0.025882927305966103,-0.0036072095812262296,0.0018416102675024371,0.0849142906739372,0.0010889195863480051,0.022767294287883218,0.1919673433573298
grid,linear,20,2000,1.0,V_oracle,nested_bc,150,0.8666666666666667,0.027755546659548436,-0.0036072095812262296,0.0018416102675024371,0.08006340488161191,0.001032025941603834,0.022767294287883218,0.1919673433573298
grid,linear,20,4000,1.0,V_limit,naive_pct,150,0.9,0.02449489742783178,-0.0025388883558450357,0.0013067330696126935,0.053766844231328895,0.0005768281736635863,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_limit,naive_basic,150,0.8666666666666667,0.027755546659548436,-0.0025388883558450357,0.0013067330696126935,0.053766844231328895,0.0005768281736635863,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_limit,naive_bc,150,0.8933333333333333,0.02520435000668058,-0.0025388883558450357,0.0013067330696126935,0.053206273709425676,0.0006016275817543783,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_limit,nested_pct,150,0.9066666666666666,0.023751803050466473,-0.0025388883558450357,0.0013067330696126935,0.056848728918115925,0.0006378067840687941,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_limit,nested_basic,150,0.9,0.02449489742783178,-0.0025388883558450357,0.0013067330696126935,0.056848728918115925,0.0006378067840687941,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_limit,nested_bc,150,0.88,0.0265329983228432,-0.0025388883558450357,0.0013067330696126935,0.05509330693055942,0.0006442101117332399,0.01615150457546101,0.19189645322729698
grid,linear,20,4000,1.0,V_oracle,naive_pct,150,0.9,0.02449489742783178,-0.0026097784858778437,0.0013067330696126935,0.053766844231328895,0.0005768281736635863,0.01616279956297928,0.1919673433573298
grid,linear,20,4000,1.0,V_oracle,naive_basic,150,0.8666666666666667,0.027755546659548436,-0.0026097784858778437,0.0013067330696126935,0.053766844231328895,0.0005768281736635863,0.01616279956297928,0.1919673433573298
grid,linear,20,4000,1.0,V_oracle,naive_bc,150,0.8933333333333333,0.02520435000668058,-0.0026097784858778437,0.0013067330696126935,0.053206273709425676,0.0006016275817543783,0.01616279956297928,0.1919673433573298
grid,linear,20,4000,1.0,V_oracle,nested_pct,150,0.9066666666666666,0.023751803050466473,-0.0026097784858778437,0.0013067330696126935,0.056848728918115925,0.0006378067840687941,0.01616279956297928,0.1919673433573298
grid,linear,20,4000,1.0,V_oracle,nested_basic,150,0.8933333333333333,0.02520435000668058,-0.0026097784858778437,0.0013067330696126935,0.056848728918115925,0.0006378067840687941,0.01616279956297928,0.1919673433573298
grid,linear,20,4000,1.0,V_oracle,nested_bc,150,0.8866666666666667,0.025882927305966103,-0.0026097784858778437,0.0013067330696126935,0.05509330693055942,0.0006442101117332399,0.01616279956297928,0.1919673433573298
grid,linear,20,8000,1.0,V_limit,naive_pct,150,0.9,0.02449489742783178,-0.0006159729031423596,0.0009305852717052236,0.03885469150888781,0.00039815930840210456,0.011375929669995928,0.19189645322729698
grid,linear,20,8000,1.0,V_limit,naive_basic,150,0.92,0.022150996967781528,-0.0006159729031423596,0.0009305852717052236,0.03885469150888781,0.00039815930840210456,0.011375929669995928,0.19189645322729698
grid,linear,20,8000,1.0,V_limit,naive_bc,150,0.9066666666666666,0.023751803050466473,-0.0006159729031423596,0.0009305852717052236,0.038705231061686364,0.00036793288415203323,0.011375929669995928,0.19189645322729698
grid,linear,20,8000,1.0,V_limit,nested_pct,150,0.9,0.02449489742783178,-0.0006159729031423596,0.0009305852717052236,0.039137029852297875,0.00041140983132158953,0.011375929669995928,0.19189645322729698
grid,linear,20,8000,1.0,V_limit,nested_basic,150,0.8933333333333333,0.02520435000668058,-0.0006159729031423596,0.0009305852717052236,0.039137029852297875,0.00041140983132158953,0.011375929669995928,0.19189645322729698
