log,target,metric,measure,axis,S,S_total,involvement,levels,n_cells,scale
BPIC15_1,handover,auc,reference,split,0.03346729889739358,0.2510933355202037,0.2176260366228101,6,216,raw-within-metric
BPIC15_1,handover,auc,reference,quality_level,0.04492824897705289,0.16382348800685761,0.11889523902980473,6,216,raw-within-metric
BPIC15_1,handover,auc,reference,rung,0.5545953750449774,0.8590210028369721,0.3044256277919948,3,216,raw-within-metric
BPIC15_1,handover,brier_skill,reference,learner,0.08297744165078702,0.4802605575907753,0.3972831159399883,2,216,raw-within-metric
BPIC15_1,handover,brier_skill,reference,split,0.16175025652283656,0.5474500351537642,0.38569977863092764,6,216,raw-within-metric
BPIC15_1,handover,brier_skill,reference,quality_level,0.16129461102573867,0.37047260129946763,0.20917799027372896,6,216,raw-within-metric
BPIC15_1,handover,brier_skill,reference,rung,0.07912616620230568,0.27188955673605686,0.1927633905337512,3,216,raw-within-metric
BPIC15_1,handover,logloss_skill,reference,learner,0.031526927584419044,0.49703188319249336,0.4655049556080743,2,216,raw-within-metric
BPIC15_1,handover,logloss_skill,reference,split,0.05892078800689146,0.6759017043623777,0.6169809163554862,6,216,raw-within-metric
BPIC15_1,handover,logloss_skill,reference,quality_level,0.06045633322406674,0.23414242439499636,0.17368609117092962,6,216,raw-within-metric
BPIC15_1,handover,logloss_skill,reference,rung,0.03070106186077214,0.7411085056546327,0.7104074437938606,3,216,raw-within-metric
BPIC15_1,handover,nagelkerke,reference,learner,0.0015458403100924289,0.49111994311630663,0.4895741028062142,2,216,raw-within-metric
BPIC15_1,handover,nagelkerke,reference,split,0.08497946496514623,0.894652128287584,0.8096726633224378,6,216,raw-within-metric
BPIC15_1,handover,nagelkerke,reference,quality_level,0.0016292474394121413,0.1002303504789663,0.09860110303955416,6,216,raw-within-metric
BPIC15_1,handover,nagelkerke,reference,rung,0.03394233451548342,0.8171479401749302,0.7832056056594467,3,216,raw-within-metric
BPIC15_3,duration,ap,reference,learner,0.05828989964227012,0.4984139074058782,0.4401240077636081,2,216,raw-within-metric
BPIC15_3,duration,ap,reference,split,0.1987784829896632,0.5788037308607032,0.3800252478710401,6,216,raw-within-metric
BPIC15_3,duration,ap,reference,quality_level,0.10019802998309338,0.21840701810631857,0.1182089881232252,6,216,raw-within-metric
BPIC15_3,duration,ap,reference,rung,0.024247768815947826,0.5112296269250294,0.48698185810908157,3,216,raw-within-metric
BPIC15_3,duration,auc,reference,learner,0.07585674777601988,0.4627056436279512,0.38684889585193133,2,216,raw-within-metric
BPIC15_3,duration,auc,reference,split,0.24989241783286786,0.6011853474642691,0.35129292963140124,6,216,raw-within-metric
BPIC15_3,duration,auc,reference,quality_level,0.1091903351764446,0.21220097439750454,0.10301063922105995,6,216,raw-within-metric
