log,instrument,population,regime,b_lo,b_hi,V_lo,V_hi,R
BPIC13_incidents,nb_0.150,0.75,rare-first,empty,B0_half,0.0061236669347933224,0.005267391473572225,0.1398305084745759
BPIC13_incidents,nb_0.150,0.75,rare-first,empty,B0,0.0061236669347933224,0.004981966319831866,0.18644067796609998
BPIC13_incidents,nb_0.150,0.75,rare-first,empty,B0+g,0.0061236669347933224,0.006979942396014422,-0.13983050847457612
BPIC13_incidents,nb_0.150,0.75,rare-first,B0_half,B0,0.005267391473572225,0.004981966319831866,0.05418719211822509
BPIC13_incidents,nb_0.150,0.75,rare-first,B0_half,B0+g,0.005267391473572225,0.006979942396014422,-0.325123152709359
BPIC13_incidents,nb_0.150,0.75,rare-first,B0,B0+g,0.004981966319831866,0.006979942396014422,-0.40104166666666363
BPIC13_incidents,nb_0.150,1.0,full,empty,B0_half,0.0061236669347933224,0.0050598095435792426,0.17372881355931968
BPIC13_incidents,nb_0.150,1.0,full,empty,B0,0.0061236669347933224,0.004385168271101999,0.28389830508474556
BPIC13_incidents,nb_0.150,1.0,full,empty,B0+g,0.0061236669347933224,0.008692493318456646,-0.4194915254237326
BPIC13_incidents,nb_0.150,1.0,full,B0_half,B0,0.0050598095435792426,0.004385168271101999,0.13333333333333552
BPIC13_incidents,nb_0.150,1.0,full,B0_half,B0+g,0.0050598095435792426,0.008692493318456646,-0.7179487179487176
BPIC13_incidents,nb_0.150,1.0,full,B0,B0+g,0.004385168271101999,0.008692493318456646,-0.9822485207100635
BPIC13_incidents,nb_0.175,0.25,rare-first,empty,B0_half,0.005012631832217191,0.004544786194543588,0.09333333333333305
BPIC13_incidents,nb_0.175,0.25,rare-first,empty,B0,0.005012631832217191,0.004705190413174517,0.06133333333333724
BPIC13_incidents,nb_0.175,0.25,rare-first,empty,B0+g,0.005012631832217191,0.003381855609469204,0.32533333333333225
BPIC13_incidents,nb_0.175,0.25,rare-first,B0_half,B0,0.004544786194543588,0.004705190413174517,-0.035294117647054035
BPIC13_incidents,nb_0.175,0.25,rare-first,B0_half,B0+g,0.004544786194543588,0.003381855609469204,0.25588235294117545
BPIC13_incidents,nb_0.175,0.25,rare-first,B0,B0+g,0.004705190413174517,0.003381855609469204,0.2812499999999958
BPIC13_incidents,nb_0.175,0.5,random,empty,B0_half,0.003421956664126931,0.003381855609469204,0.011718749999996891
BPIC13_incidents,nb_0.175,0.5,random,empty,B0,0.003421956664126931,0.003208084372618991,0.06250000000000189
BPIC13_incidents,nb_0.175,0.5,random,empty,B0+g,0.003421956664126931,0.00477202550427076,-0.3945312500000002
BPIC13_incidents,nb_0.175,0.5,random,B0_half,B0,0.003381855609469204,0.003208084372618991,0.05138339920949109
BPIC13_incidents,nb_0.175,0.5,random,B0_half,B0+g,0.003381855609469204,0.00477202550427076,-0.4110671936758852
BPIC13_incidents,nb_0.175,0.5,random,B0,B0+g,0.003208084372618991,0.00477202550427076,-0.48750000000000315
BPIC13_incidents,nb_0.175,0.5,rare-first,empty,B0_half,0.006897381401130845,0.006803812273596135,0.013565891472866687
BPIC13_incidents,nb_0.175,0.5,rare-first,empty,B0,0.006897381401130845,0.007712769512504852,-0.11821705426356766
BPIC13_incidents,nb_0.175,0.5,rare-first,empty,B0+g,0.006897381401130845,0.008875700097579235,-0.28682170542635776
BPIC13_incidents,nb_0.175,0.5,rare-first,B0_half,B0,0.006803812273596135,0.007712769512504852,-0.13359528487229855
BPIC13_incidents,nb_0.175,0.5,rare-first,B0_half,B0+g,0.006803812273596135,0.008875700097579235,-0.30451866404715044
BPIC13_incidents,nb_0.175,0.5,rare-first,B0,B0+g,0.007712769512504852,0.008875700097579235,-0.150779896013864
BPIC13_incidents,nb_0.175,0.75,rare-first,empty,B0_half,0.011709507960059356,0.01073371563005442,0.08333333333333248
